기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Southern Company,SO,2011Q2,2011-06-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),56023000000,공시,https://www.sec.gov/Archives/edgar/data/92122/000009212211000103/,,https://www.sec.gov/Archives/edgar/data/92122/000009212211000103/,6
Southern Company,SO,2011Q2,2011-06-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),37959000000,공시,https://www.sec.gov/Archives/edgar/data/92122/000009212211000103/,,https://www.sec.gov/Archives/edgar/data/92122/000009212211000103/,6
Southern Company,SO,2011Q2,2011-06-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),17689000000,공시,https://www.sec.gov/Archives/edgar/data/92122/000009212211000103/,,https://www.sec.gov/Archives/edgar/data/92122/000009212211000103/,6
Southern Company,SO,2013Q4,2013-12-31,분기별 당기순이익(지배),재작성 반영,414000000,계산(연간(연결-비지배)-3분기누적),https://www.sec.gov/Archives/edgar/data/92122/000009212214000012/ ; https://www.sec.gov/Archives/edgar/data/92122/000009212213000076/,480000000,https://www.sec.gov/Archives/edgar/data/92122/000009212214000012/ ; https://www.sec.gov/Archives/edgar/data/92122/000009212213000076/,6
Southern Company,SO,2013Q4,2013-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),64546000000,공시,https://www.sec.gov/Archives/edgar/data/92122/000009212214000012/,,https://www.sec.gov/Archives/edgar/data/92122/000009212214000012/,6
Southern Company,SO,2013Q4,2013-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),44407000000,공시,https://www.sec.gov/Archives/edgar/data/92122/000009212214000012/,,https://www.sec.gov/Archives/edgar/data/92122/000009212214000012/,6
Southern Company,SO,2013Q4,2013-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),19764000000,공시,https://www.sec.gov/Archives/edgar/data/92122/000009212214000012/,,https://www.sec.gov/Archives/edgar/data/92122/000009212214000012/,6
Southern Company,SO,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,70923000000,공시,https://www.sec.gov/Archives/edgar/data/92122/000009212215000015/,70233000000,https://www.sec.gov/Archives/edgar/data/92122/000009212217000007/,6
Southern Company,SO,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,49583000000,공시,https://www.sec.gov/Archives/edgar/data/92122/000009212215000015/,48893000000,https://www.sec.gov/Archives/edgar/data/92122/000009212216000126/,6
Southern Company,SO,2016Q1,2016-03-31,분기별 매출액,재작성 반영,3965000000,공시,https://www.sec.gov/Archives/edgar/data/92122/000009212216000144/,3992000000,https://www.sec.gov/Archives/edgar/data/92122/000009212218000012/,6
