기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
S&P Global,SPGI,2010Q1,2010-03-31,분기별 매출액,재분류(미반영),1190390000,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310039279/,1171000000,https://www.sec.gov/Archives/edgar/data/64040/000119312512043165/,5
S&P Global,SPGI,2010Q1,2010-03-31,분기별 영업활동현금흐름,재작성 반영,102824000,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310039279/,106400000,https://www.sec.gov/Archives/edgar/data/64040/000095012311039726/,5
S&P Global,SPGI,2010Q2,2010-06-30,분기별 매출액,재분류(미반영),1474056000,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310067554/,1449000000,https://www.sec.gov/Archives/edgar/data/64040/000119312512043165/,5
S&P Global,SPGI,2010Q2,2010-06-30,분기별 영업활동현금흐름,재작성 반영,256710000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/64040/000095012310067554/ ; https://www.sec.gov/Archives/edgar/data/64040/000095012310039279/,253134000,https://www.sec.gov/Archives/edgar/data/64040/000095012310067554/ ; https://www.sec.gov/Archives/edgar/data/64040/000095012311039726/,5
S&P Global,SPGI,2010Q3,2010-09-30,분기별 매출액,재분류(미반영),1979806000,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310097799/,1956000000,https://www.sec.gov/Archives/edgar/data/64040/000119312512043165/,5
S&P Global,SPGI,2010Q4,2010-12-31,분기별 매출액,재분류(미반영),1524079000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/64040/000095012311017079/ ; https://www.sec.gov/Archives/edgar/data/64040/000095012310097799/,-937600000,https://www.sec.gov/Archives/edgar/data/64040/000006404013000008/ ; https://www.sec.gov/Archives/edgar/data/64040/000095012311091082/,5
S&P Global,SPGI,2010Q4,2010-12-31,분기별 영업이익,재분류(미반영),283549000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/64040/000095012311017079/ ; https://www.sec.gov/Archives/edgar/data/64040/000095012310097799/,-119400000,https://www.sec.gov/Archives/edgar/data/64040/000006404013000008/ ; https://www.sec.gov/Archives/edgar/data/64040/000095012311091082/,5
S&P Global,SPGI,2010Q4,2010-12-31,분기별 영업활동현금흐름,재분류(미반영),404836000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/64040/000095012311017079/ ; https://www.sec.gov/Archives/edgar/data/64040/000095012310097799/,-349343000,https://www.sec.gov/Archives/edgar/data/64040/000006404013000008/ ; https://www.sec.gov/Archives/edgar/data/64040/000095012310097799/,5
S&P Global,SPGI,2011Q1,2011-03-31,분기별 매출액,재분류(미반영),1281900000,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012311039726/,959000000,https://www.sec.gov/Archives/edgar/data/64040/000006404013000008/,5
S&P Global,SPGI,2011Q1,2011-03-31,분기별 영업이익,재분류(미반영),214400000,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012311039726/,216000000,https://www.sec.gov/Archives/edgar/data/64040/000119312512181173/,5
S&P Global,SPGI,2011Q2,2011-06-30,분기별 매출액,재분류(미반영),1580800000,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012311069322/,1020000000,https://www.sec.gov/Archives/edgar/data/64040/000006404013000008/,5
S&P Global,SPGI,2011Q3,2011-09-30,분기별 매출액,재분류(미반영),1908000000,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012311091082/,1035000000,https://www.sec.gov/Archives/edgar/data/64040/000144530513000976/,5
S&P Global,SPGI,2011Q3,2011-09-30,분기별 영업이익,재분류(미반영),606800000,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012311091082/,282000000,https://www.sec.gov/Archives/edgar/data/64040/000144530513000976/,5
S&P Global,SPGI,2011Q4,2011-12-31,분기별 매출액,재분류(미반영),1519600000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/64040/000119312512043165/ ; https://www.sec.gov/Archives/edgar/data/64040/000095012311091082/,-772400000,https://www.sec.gov/Archives/edgar/data/64040/000006404014000007/ ; https://www.sec.gov/Archives/edgar/data/64040/000095012311091082/,5
S&P Global,SPGI,2011Q4,2011-12-31,분기별 영업이익,재분류(미반영),241900000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/64040/000119312512043165/ ; https://www.sec.gov/Archives/edgar/data/64040/000095012311091082/,-103100000,https://www.sec.gov/Archives/edgar/data/64040/000006404014000007/ ; https://www.sec.gov/Archives/edgar/data/64040/000095012311091082/,5
S&P Global,SPGI,2011Q4,2011-12-31,분기별 영업활동현금흐름,재분류(미반영),306400000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/64040/000119312512043165/ ; https://www.sec.gov/Archives/edgar/data/64040/000095012311091082/,-113600000,https://www.sec.gov/Archives/edgar/data/64040/000006404014000007/ ; https://www.sec.gov/Archives/edgar/data/64040/000095012311091082/,5
S&P Global,SPGI,2011Q4,2011-12-31,분기말 자산총계,재작성 반영,6427000000,공시,https://www.sec.gov/Archives/edgar/data/64040/000119312512043165/,6620000000,https://www.sec.gov/Archives/edgar/data/64040/000006404013000008/,5
S&P Global,SPGI,2011Q4,2011-12-31,분기말 부채총계,재작성 반영,4843000000,공시,https://www.sec.gov/Archives/edgar/data/64040/000119312512043165/,5036000000,https://www.sec.gov/Archives/edgar/data/64040/000006404013000008/,5
S&P Global,SPGI,2012Q1,2012-03-31,분기별 매출액,재분류(미반영),1331000000,공시,https://www.sec.gov/Archives/edgar/data/64040/000119312512181173/,1035000000,https://www.sec.gov/Archives/edgar/data/64040/000006404014000007/,5
S&P Global,SPGI,2012Q1,2012-03-31,분기별 영업이익,재분류(미반영),221000000,공시,https://www.sec.gov/Archives/edgar/data/64040/000119312512181173/,282000000,https://www.sec.gov/Archives/edgar/data/64040/000006404014000007/,5
S&P Global,SPGI,2012Q2,2012-06-30,분기별 매출액,재분류(미반영),1547000000,공시,https://www.sec.gov/Archives/edgar/data/64040/000006404012000006/,1072000000,https://www.sec.gov/Archives/edgar/data/64040/000006404014000007/,5
S&P Global,SPGI,2012Q2,2012-06-30,분기별 영업이익,재분류(미반영),365000000,공시,https://www.sec.gov/Archives/edgar/data/64040/000006404012000006/,308000000,https://www.sec.gov/Archives/edgar/data/64040/000006404014000007/,5
S&P Global,SPGI,2012Q2,2012-06-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),7310000000,공시,https://www.sec.gov/Archives/edgar/data/64040/000006404012000006/,,https://www.sec.gov/Archives/edgar/data/64040/000006404012000006/,5
S&P Global,SPGI,2012Q2,2012-06-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),4788000000,공시,https://www.sec.gov/Archives/edgar/data/64040/000006404012000006/,,https://www.sec.gov/Archives/edgar/data/64040/000006404012000006/,5
