기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
S&P Global,SPGI,2010Q1,2010-03-31,분기별 매출액,1190390000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310039279/,,5
S&P Global,SPGI,2010Q1,2010-03-31,분기별 영업이익,190264000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310039279/,,5
S&P Global,SPGI,2010Q1,2010-03-31,분기별 당기순이익(지배),103286000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310039279/,,5
S&P Global,SPGI,2010Q1,2010-03-31,분기별 영업활동현금흐름,106400000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/64040/000095012311039726/,원 공시 102824000 (https://www.sec.gov/Archives/edgar/data/64040/000095012310039279/),5
S&P Global,SPGI,2010Q1,2010-03-31,분기말 자산총계,6289236000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310039279/,,5
S&P Global,SPGI,2010Q1,2010-03-31,분기말 부채총계,4304251000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310039279/,,5
S&P Global,SPGI,2010Q1,2010-03-31,분기말 총자본(자기자본),1984985000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310039279/,,5
S&P Global,SPGI,2010Q1,2010-03-31,분기말 지배지분 자본,1900796000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310039279/,,5
S&P Global,SPGI,2010Q1,2010-03-31,분기말 종가,35.65,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SPGI?interval=1d&events=splits (2010-03-31),분할조정 종가 33.7275 × 이후 분할계수 1.057,5
S&P Global,SPGI,2010Q1,2010-04-16,분기말 상장주식수,315500000,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/64040/000095012310039279/,dei:EntityCommonStockSharesOutstanding 클래스 합,5
S&P Global,SPGI,2010Q1,2010-03-31,분기말 시가총액,11247575000,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SPGI?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/64040/000095012310039279/,종가 35.65 × 주식수 315500000,5
S&P Global,SPGI,2010Q2,2010-06-30,분기별 매출액,1474056000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310067554/,,5
S&P Global,SPGI,2010Q2,2010-06-30,분기별 영업이익,326258000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310067554/,,5
S&P Global,SPGI,2010Q2,2010-06-30,분기별 당기순이익(지배),191084000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310067554/,,5
S&P Global,SPGI,2010Q2,2010-06-30,분기별 영업활동현금흐름,253134000,USD,계산(누적차감)(재작성 반영),https://www.sec.gov/Archives/edgar/data/64040/000095012310067554/ ; https://www.sec.gov/Archives/edgar/data/64040/000095012311039726/,누적 359534000 − 직전누적 106400000 (시작 2010-01-01) ; 원 공시 256710000 (https://www.sec.gov/Archives/edgar/data/64040/000095012310067554/ ; https://www.sec.gov/Archives/edgar/data/64040/000095012310039279/),5
S&P Global,SPGI,2010Q2,2010-06-30,분기말 자산총계,6364026000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310067554/,,5
S&P Global,SPGI,2010Q2,2010-06-30,분기말 부채총계,4444100000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310067554/,,5
S&P Global,SPGI,2010Q2,2010-06-30,분기말 총자본(자기자본),1919926000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310067554/,,5
S&P Global,SPGI,2010Q2,2010-06-30,분기말 지배지분 자본,1842946000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310067554/,,5
S&P Global,SPGI,2010Q2,2010-06-30,분기말 종가,28.14,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SPGI?interval=1d&events=splits (2010-06-30),분할조정 종가 26.6225 × 이후 분할계수 1.057,5
S&P Global,SPGI,2010Q2,2010-07-16,분기말 상장주식수,309100000,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/64040/000095012310067554/,dei:EntityCommonStockSharesOutstanding 클래스 합,5
S&P Global,SPGI,2010Q2,2010-06-30,분기말 시가총액,8698074000,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SPGI?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/64040/000095012310067554/,종가 28.14 × 주식수 309100000,5
S&P Global,SPGI,2010Q3,2010-09-30,분기별 매출액,1979806000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310097799/,,5
S&P Global,SPGI,2010Q3,2010-09-30,분기별 영업이익,620988000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310097799/,,5
S&P Global,SPGI,2010Q3,2010-09-30,분기별 당기순이익(지배),379850000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310097799/,,5
S&P Global,SPGI,2010Q3,2010-09-30,분기별 영업활동현금흐름,693809000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/64040/000095012310097799/ ; https://www.sec.gov/Archives/edgar/data/64040/000095012310067554/,누적 1053343000 − 직전누적 359534000 (시작 2010-01-01),5
S&P Global,SPGI,2010Q3,2010-09-30,분기말 자산총계,6884288000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310097799/,,5
S&P Global,SPGI,2010Q3,2010-09-30,분기말 부채총계,4669802000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310097799/,,5
S&P Global,SPGI,2010Q3,2010-09-30,분기말 총자본(자기자본),2214486000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310097799/,,5
S&P Global,SPGI,2010Q3,2010-09-30,분기말 지배지분 자본,2130065000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012310097799/,,5
S&P Global,SPGI,2010Q3,2010-09-30,분기말 종가,33.06,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SPGI?interval=1d&events=splits (2010-09-30),분할조정 종가 31.2772 × 이후 분할계수 1.057,5
S&P Global,SPGI,2010Q3,2010-10-15,분기말 상장주식수,307000000,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/64040/000095012310097799/,dei:EntityCommonStockSharesOutstanding 클래스 합,5
S&P Global,SPGI,2010Q3,2010-09-30,분기말 시가총액,10149420000,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SPGI?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/64040/000095012310097799/,종가 33.06 × 주식수 307000000,5
S&P Global,SPGI,2010Q4,2010-12-31,분기별 매출액,1524079000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/64040/000095012311017079/ ; https://www.sec.gov/Archives/edgar/data/64040/000095012310097799/,연간 6168331000 − 9개월누적 4644252000 (Revenues),5
S&P Global,SPGI,2010Q4,2010-12-31,분기별 영업이익,283549000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/64040/000095012311017079/ ; https://www.sec.gov/Archives/edgar/data/64040/000095012310097799/,연간 1421059000 − 9개월누적 1137510000 (OperatingIncomeLoss),5
S&P Global,SPGI,2010Q4,2010-12-31,분기별 당기순이익(지배),153843000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/64040/000095012311017079/ ; https://www.sec.gov/Archives/edgar/data/64040/000095012310097799/,연간 828063000 − 9개월누적 674220000 (NetIncomeLoss),5
S&P Global,SPGI,2010Q4,2010-12-31,분기별 영업활동현금흐름,404836000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/64040/000095012311017079/ ; https://www.sec.gov/Archives/edgar/data/64040/000095012310097799/,누적 1458179000 − 직전누적 1053343000 (시작 2010-01-01),5
S&P Global,SPGI,2010Q4,2010-12-31,분기말 자산총계,7046561000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012311017079/,,5
S&P Global,SPGI,2010Q4,2010-12-31,분기말 부채총계,4755170000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012311017079/,,5
S&P Global,SPGI,2010Q4,2010-12-31,분기말 총자본(자기자본),2291391000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012311017079/,,5
S&P Global,SPGI,2010Q4,2010-12-31,분기말 지배지분 자본,2210296000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012311017079/,,5
S&P Global,SPGI,2010Q4,2010-12-31,분기말 종가,36.41,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SPGI?interval=1d&events=splits (2010-12-31),분할조정 종가 34.4465 × 이후 분할계수 1.057,5
S&P Global,SPGI,2010Q4,2011-02-11,분기말 상장주식수,306674766,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/64040/000095012311017079/,dei:EntityCommonStockSharesOutstanding 클래스 합,5
S&P Global,SPGI,2010Q4,2010-12-31,분기말 시가총액,11166028230,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SPGI?interval=1d&events=splits (2010-12-31) ; https://www.sec.gov/Archives/edgar/data/64040/000095012311017079/,종가 36.41 × 주식수 306674766,5
S&P Global,SPGI,2011Q1,2011-03-31,분기별 매출액,1281900000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012311039726/,,5
S&P Global,SPGI,2011Q1,2011-03-31,분기별 영업이익,214400000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012311039726/,,5
S&P Global,SPGI,2011Q1,2011-03-31,분기별 당기순이익(지배),120000000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012311039726/,,5
S&P Global,SPGI,2011Q1,2011-03-31,분기별 영업활동현금흐름,49300000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012311039726/,,5
S&P Global,SPGI,2011Q1,2011-03-31,분기말 자산총계,6789700000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012311039726/,,5
S&P Global,SPGI,2011Q1,2011-03-31,분기말 부채총계,4474000000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012311039726/,,5
S&P Global,SPGI,2011Q1,2011-03-31,분기말 총자본(자기자본),2315700000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012311039726/,,5
S&P Global,SPGI,2011Q1,2011-03-31,분기말 지배지분 자본,2229200000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012311039726/,,5
S&P Global,SPGI,2011Q1,2011-03-31,분기말 종가,39.4,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SPGI?interval=1d&events=splits (2011-03-31),분할조정 종가 37.2753 × 이후 분할계수 1.057,5
S&P Global,SPGI,2011Q1,2011-04-15,분기말 상장주식수,304700000,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/64040/000095012311039726/,dei:EntityCommonStockSharesOutstanding 클래스 합,5
S&P Global,SPGI,2011Q1,2011-03-31,분기말 시가총액,12005180000,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SPGI?interval=1d&events=splits (2011-03-31) ; https://www.sec.gov/Archives/edgar/data/64040/000095012311039726/,종가 39.4 × 주식수 304700000,5
S&P Global,SPGI,2011Q2,2011-06-30,분기별 매출액,1580800000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012311069322/,,5
S&P Global,SPGI,2011Q2,2011-06-30,분기별 영업이익,358800000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012311069322/,,5
S&P Global,SPGI,2011Q2,2011-06-30,분기별 당기순이익(지배),211100000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012311069322/,,5
S&P Global,SPGI,2011Q2,2011-06-30,분기별 영업활동현금흐름,289100000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/64040/000095012311069322/ ; https://www.sec.gov/Archives/edgar/data/64040/000095012311039726/,누적 338400000 − 직전누적 49300000 (시작 2011-01-01),5
S&P Global,SPGI,2011Q2,2011-06-30,분기말 자산총계,6944000000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012311069322/,,5
S&P Global,SPGI,2011Q2,2011-06-30,분기말 부채총계,4608200000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012311069322/,,5
S&P Global,SPGI,2011Q2,2011-06-30,분기말 총자본(자기자본),2335800000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012311069322/,,5
S&P Global,SPGI,2011Q2,2011-06-30,분기말 지배지분 자본,2255000000,USD,공시,https://www.sec.gov/Archives/edgar/data/64040/000095012311069322/,,5
S&P Global,SPGI,2011Q2,2011-06-30,분기말 종가,41.91,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SPGI?interval=1d&events=splits (2011-06-30),분할조정 종가 39.65 × 이후 분할계수 1.057,5
S&P Global,SPGI,2011Q2,2011-07-15,분기말 상장주식수,301300000,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/64040/000095012311069322/,dei:EntityCommonStockSharesOutstanding 클래스 합,5
