기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Steel Dynamics,STLD,2010Q4,2010-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),2076835000,공시,https://www.sec.gov/Archives/edgar/data/1022671/000104746911001181/,,https://www.sec.gov/Archives/edgar/data/1022671/000104746911001181/,13
Steel Dynamics,STLD,2010Q4,2010-12-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),2092870000,공시,https://www.sec.gov/Archives/edgar/data/1022671/000104746911001181/,,https://www.sec.gov/Archives/edgar/data/1022671/000104746911001181/,13
Steel Dynamics,STLD,2013Q4,2013-12-31,분기말 자산총계,재작성 반영,5933006000,공시,https://www.sec.gov/Archives/edgar/data/1022671/000104746914001662/,5888534000,https://www.sec.gov/Archives/edgar/data/1022671/000104746916010496/,13
Steel Dynamics,STLD,2013Q4,2013-12-31,분기말 부채총계,재작성 반영,3320637000,공시,https://www.sec.gov/Archives/edgar/data/1022671/000104746914001662/,3276165000,https://www.sec.gov/Archives/edgar/data/1022671/000104746916010496/,13
Steel Dynamics,STLD,2014Q4,2014-12-31,분기별 영업활동현금흐름,재작성 반영,319581000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1022671/000104746915001486/ ; https://www.sec.gov/Archives/edgar/data/1022671/000110465914078874/,330233000,https://www.sec.gov/Archives/edgar/data/1022671/000114420417011732/ ; https://www.sec.gov/Archives/edgar/data/1022671/000110465914078874/,13
Steel Dynamics,STLD,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,7311027000,공시,https://www.sec.gov/Archives/edgar/data/1022671/000104746915001486/,7233159000,https://www.sec.gov/Archives/edgar/data/1022671/000104746916010496/,13
Steel Dynamics,STLD,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,4389160000,공시,https://www.sec.gov/Archives/edgar/data/1022671/000104746915001486/,4311292000,https://www.sec.gov/Archives/edgar/data/1022671/000104746916010496/,13
Steel Dynamics,STLD,2015Q4,2015-12-31,분기별 영업활동현금흐름,재작성 반영,330186000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1022671/000104746916010496/ ; https://www.sec.gov/Archives/edgar/data/1022671/000110465915076646/,345328000,https://www.sec.gov/Archives/edgar/data/1022671/000114420418011155/ ; https://www.sec.gov/Archives/edgar/data/1022671/000110465915076646/,13
Steel Dynamics,STLD,2016Q1,2016-03-31,분기별 영업활동현금흐름,재작성 반영,288899000,공시,https://www.sec.gov/Archives/edgar/data/1022671/000110465916118631/,291028000,https://www.sec.gov/Archives/edgar/data/1022671/000114420417025170/,13
Steel Dynamics,STLD,2016Q3,2016-09-30,분기별 영업활동현금흐름,재작성 반영,196340000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1022671/000114420416132751/ ; https://www.sec.gov/Archives/edgar/data/1022671/000110465916137648/,196362000,https://www.sec.gov/Archives/edgar/data/1022671/000114420417057598/ ; https://www.sec.gov/Archives/edgar/data/1022671/000114420417040780/,13
Steel Dynamics,STLD,2016Q4,2016-12-31,분기별 영업활동현금흐름,재작성 반영,209558000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1022671/000114420417011732/ ; https://www.sec.gov/Archives/edgar/data/1022671/000114420416132751/,207407000,https://www.sec.gov/Archives/edgar/data/1022671/000114420417011732/ ; https://www.sec.gov/Archives/edgar/data/1022671/000114420417057598/,13
Steel Dynamics,STLD,2020Q3,2020-09-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),8617556000,공시,https://www.sec.gov/Archives/edgar/data/1022671/000155837020013295/,,https://www.sec.gov/Archives/edgar/data/1022671/000155837020013295/,13
Steel Dynamics,STLD,2020Q3,2020-09-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),4418757000,공시,https://www.sec.gov/Archives/edgar/data/1022671/000155837020013295/,,https://www.sec.gov/Archives/edgar/data/1022671/000155837020013295/,13
Steel Dynamics,STLD,2020Q3,2020-09-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),4043385000,공시,https://www.sec.gov/Archives/edgar/data/1022671/000155837020013295/,,https://www.sec.gov/Archives/edgar/data/1022671/000155837020013295/,13
Steel Dynamics,STLD,2020Q3,2020-09-30,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),4201183000,공시,https://www.sec.gov/Archives/edgar/data/1022671/000155837020013295/,,https://www.sec.gov/Archives/edgar/data/1022671/000155837020013295/,13
Steel Dynamics,STLD,2010Q4,2010-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),3513099000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1022671/000104746911001181/,3497064000,https://www.sec.gov/Archives/edgar/data/1022671/000104746911001181/,13
