기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Seagate,STX,2010Q1,2010-04-02,분기별 매출액,3049000000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1137789/000110465911025330/,SalesRevenueNet ; 그 분기 보고서에 연결 총계가 없어 2011-05-03 제출본의 비교기간에서 읽었다,4
Seagate,STX,2010Q1,2010-04-02,분기별 영업이익,560000000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1137789/000110465911025330/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-05-03 제출본의 비교기간에서 읽었다,4
Seagate,STX,2010Q1,2010-04-02,분기별 당기순이익(지배),518000000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1137789/000110465911025330/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-05-03 제출본의 비교기간에서 읽었다,4
Seagate,STX,2010Q1,2010-04-02,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1137789/000110465910025829/,,4
Seagate,STX,2010Q1,2010-04-02,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1137789/000110465910025829/,,4
Seagate,STX,2010Q1,2010-04-02,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1137789/000110465910025829/,,4
Seagate,STX,2010Q1,2010-04-02,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1137789/000110465910025829/,,4
Seagate,STX,2010Q1,2010-04-02,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1137789/000110465910025829/,,4
Seagate,STX,2010Q1,2010-04-01,분기말 종가,18.11,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/STX?interval=1d&events=splits (2010-04-01),,4
Seagate,STX,2010Q1,2010-04-02,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,4
Seagate,STX,2010Q1,2010-04-02,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,4
Seagate,STX,2010Q2,2010-07-02,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1137789/000110465910051297/,,4
Seagate,STX,2010Q2,2010-07-02,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1137789/000110465910051297/,,4
Seagate,STX,2010Q2,2010-07-02,분기별 당기순이익(지배),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1137789/000110465910051297/,,4
Seagate,STX,2010Q2,2010-07-02,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1137789/000110465910051297/,,4
Seagate,STX,2010Q2,2010-07-02,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1137789/000110465910051297/,,4
Seagate,STX,2010Q2,2010-07-02,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1137789/000110465910051297/,,4
Seagate,STX,2010Q2,2010-07-02,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1137789/000110465910051297/,,4
Seagate,STX,2010Q2,2010-07-02,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1137789/000110465910051297/,,4
Seagate,STX,2010Q2,2010-07-02,분기말 종가,13.17,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/STX?interval=1d&events=splits (2010-07-02),,4
Seagate,STX,2010Q2,2010-07-02,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,4
Seagate,STX,2010Q2,2010-07-02,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,4
Seagate,STX,2010Q3,2010-10-01,분기별 매출액,2697000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1137789/000110465910055612/,,4
Seagate,STX,2010Q3,2010-10-01,분기별 영업이익,231000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1137789/000110465910055612/,,4
Seagate,STX,2010Q3,2010-10-01,분기별 당기순이익(지배),149000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1137789/000110465910055612/,,4
Seagate,STX,2010Q3,2010-10-01,분기별 영업활동현금흐름,245000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1137789/000110465910055612/,,4
