기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Skyworks,SWKS,2010Q1,2010-12-31,분기별 매출액,335120000,USD,공시,https://www.sec.gov/Archives/edgar/data/4127/000095012311010342/,,26
Skyworks,SWKS,2010Q1,2010-12-31,분기별 영업이익,77342000,USD,공시,https://www.sec.gov/Archives/edgar/data/4127/000095012311010342/,,26
Skyworks,SWKS,2010Q1,2010-12-31,분기별 당기순이익(지배),60868000,USD,공시,https://www.sec.gov/Archives/edgar/data/4127/000095012311010342/,,26
Skyworks,SWKS,2010Q1,2010-12-31,분기별 영업활동현금흐름,64822000,USD,공시,https://www.sec.gov/Archives/edgar/data/4127/000095012311010342/,,26
Skyworks,SWKS,2010Q1,2010-12-31,분기말 자산총계,1614076000,USD,공시,https://www.sec.gov/Archives/edgar/data/4127/000095012311010342/,,26
Skyworks,SWKS,2010Q1,2010-12-31,분기말 부채총계,202669000,USD,공시,https://www.sec.gov/Archives/edgar/data/4127/000095012311010342/,,26
Skyworks,SWKS,2010Q1,2010-12-31,분기말 총자본(자기자본),1411407000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/4127/000095012311010342/,"StockholdersEquity, MinorityInterest 태그 없음",26
Skyworks,SWKS,2010Q1,2010-12-31,분기말 지배지분 자본,1411407000,USD,공시,https://www.sec.gov/Archives/edgar/data/4127/000095012311010342/,,26
Skyworks,SWKS,2010Q1,2010-12-31,분기말 종가,28.63,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SWKS?interval=1d&events=splits (2010-12-31),,26
Skyworks,SWKS,2010Q1,2011-01-27,분기말 상장주식수,185435623,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/4127/000095012311010342/,dei:EntityCommonStockSharesOutstanding 클래스 합,26
Skyworks,SWKS,2010Q1,2010-12-31,분기말 시가총액,5309021886,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SWKS?interval=1d&events=splits (2010-12-31) ; https://www.sec.gov/Archives/edgar/data/4127/000095012311010342/,종가 28.63 × 주식수 185435623,26
Skyworks,SWKS,2010Q2,2011-04-01,분기별 매출액,325411000,USD,공시,https://www.sec.gov/Archives/edgar/data/4127/000095012311048857/,,26
Skyworks,SWKS,2010Q2,2011-04-01,분기별 영업이익,68060000,USD,공시,https://www.sec.gov/Archives/edgar/data/4127/000095012311048857/,,26
Skyworks,SWKS,2010Q2,2011-04-01,분기별 당기순이익(지배),49960000,USD,공시,https://www.sec.gov/Archives/edgar/data/4127/000095012311048857/,,26
Skyworks,SWKS,2010Q2,2011-04-01,분기별 영업활동현금흐름,92223000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/4127/000095012311048857/ ; https://www.sec.gov/Archives/edgar/data/4127/000095012311010342/,누적 157045000 − 직전누적 64822000 (시작 2010-10-02),26
Skyworks,SWKS,2010Q2,2011-04-01,분기말 자산총계,1678797000,USD,공시,https://www.sec.gov/Archives/edgar/data/4127/000095012311048857/,,26
Skyworks,SWKS,2010Q2,2011-04-01,분기말 부채총계,202405000,USD,공시,https://www.sec.gov/Archives/edgar/data/4127/000095012311048857/,,26
Skyworks,SWKS,2010Q2,2011-04-01,분기말 총자본(자기자본),1476392000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/4127/000095012311048857/,"StockholdersEquity, MinorityInterest 태그 없음",26
Skyworks,SWKS,2010Q2,2011-04-01,분기말 지배지분 자본,1476392000,USD,공시,https://www.sec.gov/Archives/edgar/data/4127/000095012311048857/,,26
Skyworks,SWKS,2010Q2,2011-04-01,분기말 종가,31.45,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SWKS?interval=1d&events=splits (2011-04-01),,26
Skyworks,SWKS,2010Q2,2011-04-29,분기말 상장주식수,186187121,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/4127/000095012311048857/,dei:EntityCommonStockSharesOutstanding 클래스 합,26
Skyworks,SWKS,2010Q2,2011-04-01,분기말 시가총액,5855584955,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SWKS?interval=1d&events=splits (2011-04-01) ; https://www.sec.gov/Archives/edgar/data/4127/000095012311048857/,종가 31.45 × 주식수 186187121,26
Skyworks,SWKS,2010Q3,2011-07-01,분기별 매출액,356075000,USD,공시,https://www.sec.gov/Archives/edgar/data/4127/000119312511216494/,,26
Skyworks,SWKS,2010Q3,2011-07-01,분기별 영업이익,72226000,USD,공시,https://www.sec.gov/Archives/edgar/data/4127/000119312511216494/,,26
Skyworks,SWKS,2010Q3,2011-07-01,분기별 당기순이익(지배),51548000,USD,공시,https://www.sec.gov/Archives/edgar/data/4127/000119312511216494/,,26
Skyworks,SWKS,2010Q3,2011-07-01,분기별 영업활동현금흐름,85974000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/4127/000119312511216494/ ; https://www.sec.gov/Archives/edgar/data/4127/000095012311048857/,누적 243019000 − 직전누적 157045000 (시작 2010-10-02),26
Skyworks,SWKS,2010Q3,2011-07-01,분기말 자산총계,1805599000,USD,공시,https://www.sec.gov/Archives/edgar/data/4127/000119312511216494/,,26
Skyworks,SWKS,2010Q3,2011-07-01,분기말 부채총계,273425000,USD,공시,https://www.sec.gov/Archives/edgar/data/4127/000119312511216494/,,26
Skyworks,SWKS,2010Q3,2011-07-01,분기말 총자본(자기자본),1532174000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/4127/000119312511216494/,"StockholdersEquity, MinorityInterest 태그 없음",26
Skyworks,SWKS,2010Q3,2011-07-01,분기말 지배지분 자본,1532174000,USD,공시,https://www.sec.gov/Archives/edgar/data/4127/000119312511216494/,,26
Skyworks,SWKS,2010Q3,2011-07-01,분기말 종가,23.44,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SWKS?interval=1d&events=splits (2011-07-01),,26
Skyworks,SWKS,2010Q3,2011-07-31,분기말 상장주식수,186277145,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/4127/000119312511216494/,dei:EntityCommonStockSharesOutstanding 클래스 합,26
Skyworks,SWKS,2010Q3,2011-07-01,분기말 시가총액,4366336279,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SWKS?interval=1d&events=splits (2011-07-01) ; https://www.sec.gov/Archives/edgar/data/4127/000119312511216494/,종가 23.44 × 주식수 186277145,26
Skyworks,SWKS,2010Q4,2011-09-30,분기별 매출액,402316000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/4127/000000412711000015/ ; https://www.sec.gov/Archives/edgar/data/4127/000119312511216494/,연간 1418922000 − 9개월누적 1016606000 (SalesRevenueNet),26
Skyworks,SWKS,2010Q4,2011-09-30,분기별 영업이익,77696000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/4127/000000412711000015/ ; https://www.sec.gov/Archives/edgar/data/4127/000119312511216494/,연간 295324000 − 9개월누적 217628000 (OperatingIncomeLoss),26
Skyworks,SWKS,2010Q4,2011-09-30,분기별 당기순이익(지배),64209000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/4127/000000412711000015/ ; https://www.sec.gov/Archives/edgar/data/4127/000119312511216494/,연간 226585000 − 9개월누적 162376000 (NetIncomeLoss),26
Skyworks,SWKS,2010Q4,2011-09-30,분기별 영업활동현금흐름,122799000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/4127/000000412711000015/ ; https://www.sec.gov/Archives/edgar/data/4127/000119312511216494/,누적 365818000 − 직전누적 243019000 (시작 2010-10-02),26
Skyworks,SWKS,2010Q4,2011-09-30,분기말 자산총계,1890389000,USD,공시,https://www.sec.gov/Archives/edgar/data/4127/000000412711000015/,,26
Skyworks,SWKS,2010Q4,2011-09-30,분기말 부채총계,281294000,USD,공시,https://www.sec.gov/Archives/edgar/data/4127/000000412711000015/,,26
Skyworks,SWKS,2010Q4,2011-09-30,분기말 총자본(자기자본),1609095000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/4127/000000412711000015/,"StockholdersEquity, MinorityInterest 태그 없음",26
Skyworks,SWKS,2010Q4,2011-09-30,분기말 지배지분 자본,1609095000,USD,공시,https://www.sec.gov/Archives/edgar/data/4127/000000412711000015/,,26
Skyworks,SWKS,2010Q4,2011-09-30,분기말 종가,17.96,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SWKS?interval=1d&events=splits (2011-09-30),,26
Skyworks,SWKS,2010Q4,2011-11-22,분기말 상장주식수,187889808000,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/4127/000000412711000015/,dei:EntityCommonStockSharesOutstanding 클래스 합,26
