기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Stryker,SYK,2010Q4,2010-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),10895100000,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312511039845/,,https://www.sec.gov/Archives/edgar/data/310764/000119312511039845/,6
Stryker,SYK,2010Q4,2010-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),3721500000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/310764/000119312511039845/,,https://www.sec.gov/Archives/edgar/data/310764/000119312511039845/,6
Stryker,SYK,2010Q4,2010-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),7173600000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/310764/000119312511039845/,,https://www.sec.gov/Archives/edgar/data/310764/000119312511039845/,6
Stryker,SYK,2011Q4,2011-12-31,분기말 자산총계,재작성 반영,12405000000,공시,https://www.sec.gov/Archives/edgar/data/310764/000031076412000031/,12146000000,https://www.sec.gov/Archives/edgar/data/310764/000031076414000021/,6
Stryker,SYK,2011Q4,2011-12-31,분기말 부채총계,재작성 반영,4722000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/310764/000031076412000031/,4463000000,https://www.sec.gov/Archives/edgar/data/310764/000031076413000054/,6
Stryker,SYK,2013Q4,2013-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),15743000000,공시,https://www.sec.gov/Archives/edgar/data/310764/000031076414000021/,,https://www.sec.gov/Archives/edgar/data/310764/000031076414000021/,6
Stryker,SYK,2013Q4,2013-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),6696000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/310764/000031076414000021/,,https://www.sec.gov/Archives/edgar/data/310764/000031076414000021/,6
Stryker,SYK,2013Q4,2013-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),9047000000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/310764/000031076414000021/,,https://www.sec.gov/Archives/edgar/data/310764/000031076414000021/,6
Stryker,SYK,2014Q1,2014-03-31,분기별 영업활동현금흐름,재작성 반영,206000000,공시,https://www.sec.gov/Archives/edgar/data/310764/000031076414000091/,209000000,https://www.sec.gov/Archives/edgar/data/310764/000031076415000074/,6
Stryker,SYK,2014Q2,2014-06-30,분기별 영업활동현금흐름,재작성 반영,366000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/310764/000031076414000137/ ; https://www.sec.gov/Archives/edgar/data/310764/000031076414000091/,370000000,https://www.sec.gov/Archives/edgar/data/310764/000031076415000109/ ; https://www.sec.gov/Archives/edgar/data/310764/000031076415000074/,6
Stryker,SYK,2014Q3,2014-09-30,분기별 영업활동현금흐름,재작성 반영,535000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/310764/000031076414000187/ ; https://www.sec.gov/Archives/edgar/data/310764/000031076414000137/,524000000,https://www.sec.gov/Archives/edgar/data/310764/000031076415000153/ ; https://www.sec.gov/Archives/edgar/data/310764/000031076415000109/,6
Stryker,SYK,2014Q4,2014-12-31,분기별 영업활동현금흐름,재작성 반영,675000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/310764/000031076415000022/ ; https://www.sec.gov/Archives/edgar/data/310764/000031076414000187/,679000000,https://www.sec.gov/Archives/edgar/data/310764/000031076415000022/ ; https://www.sec.gov/Archives/edgar/data/310764/000031076415000153/,6
Stryker,SYK,2014Q4,2014-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),17713000000,공시,https://www.sec.gov/Archives/edgar/data/310764/000031076415000022/,,https://www.sec.gov/Archives/edgar/data/310764/000031076415000022/,6
Stryker,SYK,2014Q4,2014-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),9118000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/310764/000031076415000022/,,https://www.sec.gov/Archives/edgar/data/310764/000031076415000022/,6
Stryker,SYK,2014Q4,2014-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),8595000000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/310764/000031076415000022/,,https://www.sec.gov/Archives/edgar/data/310764/000031076415000022/,6
Stryker,SYK,2015Q4,2015-12-31,분기별 영업활동현금흐름,재작성 반영,671000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/310764/000031076416000226/ ; https://www.sec.gov/Archives/edgar/data/310764/000031076415000153/,753000000,https://www.sec.gov/Archives/edgar/data/310764/000031076418000031/ ; https://www.sec.gov/Archives/edgar/data/310764/000031076415000153/,6
Stryker,SYK,2015Q4,2015-12-31,분기말 자산총계,재작성 반영,16247000000,공시,https://www.sec.gov/Archives/edgar/data/310764/000031076416000226/,16223000000,https://www.sec.gov/Archives/edgar/data/310764/000031076418000031/,6
Stryker,SYK,2015Q4,2015-12-31,분기말 부채총계,재작성 반영,7736000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/310764/000031076416000226/,7712000000,https://www.sec.gov/Archives/edgar/data/310764/000031076417000034/,6
Stryker,SYK,2016Q1,2016-03-31,분기별 영업활동현금흐름,재작성 반영,203000000,공시,https://www.sec.gov/Archives/edgar/data/310764/000031076416000320/,262000000,https://www.sec.gov/Archives/edgar/data/310764/000031076417000102/,6
Stryker,SYK,2016Q2,2016-06-30,분기별 영업활동현금흐름,재작성 반영,468000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/310764/000031076416000392/ ; https://www.sec.gov/Archives/edgar/data/310764/000031076416000320/,493000000,https://www.sec.gov/Archives/edgar/data/310764/000031076417000136/ ; https://www.sec.gov/Archives/edgar/data/310764/000031076417000102/,6
Stryker,SYK,2016Q3,2016-09-30,분기별 영업활동현금흐름,재작성 반영,493000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/310764/000031076416000458/ ; https://www.sec.gov/Archives/edgar/data/310764/000031076416000392/,502000000,https://www.sec.gov/Archives/edgar/data/310764/000031076417000164/ ; https://www.sec.gov/Archives/edgar/data/310764/000031076417000136/,6
Stryker,SYK,2016Q4,2016-12-31,분기별 영업이익,재작성 반영,661000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/310764/000031076417000034/ ; https://www.sec.gov/Archives/edgar/data/310764/000031076416000458/,670000000,https://www.sec.gov/Archives/edgar/data/310764/000031076419000014/ ; https://www.sec.gov/Archives/edgar/data/310764/000031076416000458/,6
Stryker,SYK,2016Q4,2016-12-31,분기별 영업활동현금흐름,재작성 반영,648000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/310764/000031076417000034/ ; https://www.sec.gov/Archives/edgar/data/310764/000031076416000458/,658000000,https://www.sec.gov/Archives/edgar/data/310764/000031076419000014/ ; https://www.sec.gov/Archives/edgar/data/310764/000031076417000164/,6
Stryker,SYK,2017Q1,2017-03-31,분기별 영업이익,재작성 반영,554000000,공시,https://www.sec.gov/Archives/edgar/data/310764/000031076417000102/,556000000,https://www.sec.gov/Archives/edgar/data/310764/000031076418000110/,6
Stryker,SYK,2017Q2,2017-06-30,분기별 영업이익,재작성 반영,501000000,공시,https://www.sec.gov/Archives/edgar/data/310764/000031076417000136/,502000000,https://www.sec.gov/Archives/edgar/data/310764/000031076418000185/,6
Stryker,SYK,2017Q3,2017-09-30,분기별 영업이익,재작성 반영,523000000,공시,https://www.sec.gov/Archives/edgar/data/310764/000031076417000164/,525000000,https://www.sec.gov/Archives/edgar/data/310764/000031076418000205/,6
Stryker,SYK,2017Q4,2017-12-31,분기별 영업이익,재작성 반영,712000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/310764/000031076418000031/ ; https://www.sec.gov/Archives/edgar/data/310764/000031076417000164/,714000000,https://www.sec.gov/Archives/edgar/data/310764/000031076420000014/ ; https://www.sec.gov/Archives/edgar/data/310764/000031076418000205/,6
