기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
AT&T,T,2010Q1,2010-03-31,분기별 매출액,재분류(미반영),30649000000,공시,https://www.sec.gov/Archives/edgar/data/732717/000073271710000033/,30530000000,https://www.sec.gov/Archives/edgar/data/732717/000073271712000025/,4
AT&T,T,2010Q1,2010-03-31,분기별 영업이익,재분류(미반영),6010000000,공시,https://www.sec.gov/Archives/edgar/data/732717/000073271710000033/,5971000000,https://www.sec.gov/Archives/edgar/data/732717/000073271712000025/,4
AT&T,T,2010Q1,2010-03-31,분기별 당기순이익(지배),재분류(미반영),2475000000,공시,https://www.sec.gov/Archives/edgar/data/732717/000073271710000033/,2453000000,https://www.sec.gov/Archives/edgar/data/732717/000073271712000025/,4
AT&T,T,2010Q1,2010-03-31,분기별 영업활동현금흐름,재분류(미반영),7253000000,공시,https://www.sec.gov/Archives/edgar/data/732717/000073271710000033/,7238000000,https://www.sec.gov/Archives/edgar/data/732717/000119312511130267/,4
AT&T,T,2010Q2,2010-06-30,분기별 영업이익,재분류(미반영),6114000000,공시,https://www.sec.gov/Archives/edgar/data/732717/000073271710000074/,6083000000,https://www.sec.gov/Archives/edgar/data/732717/000073271712000025/,4
AT&T,T,2010Q2,2010-06-30,분기별 당기순이익(지배),재분류(미반영),4023000000,공시,https://www.sec.gov/Archives/edgar/data/732717/000073271710000074/,4003000000,https://www.sec.gov/Archives/edgar/data/732717/000073271712000025/,4
AT&T,T,2010Q2,2010-06-30,분기별 영업활동현금흐름,재분류(미반영),8557000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/732717/000073271710000074/ ; https://www.sec.gov/Archives/edgar/data/732717/000073271710000033/,8573000000,https://www.sec.gov/Archives/edgar/data/732717/000119312511211863/ ; https://www.sec.gov/Archives/edgar/data/732717/000119312511130267/,4
AT&T,T,2010Q3,2010-09-30,분기별 영업이익,재분류(미반영),5464000000,공시,https://www.sec.gov/Archives/edgar/data/732717/000073271710000091/,5431000000,https://www.sec.gov/Archives/edgar/data/732717/000073271712000025/,4
AT&T,T,2010Q3,2010-09-30,분기별 당기순이익(지배),재분류(미반영),12339000000,공시,https://www.sec.gov/Archives/edgar/data/732717/000073271710000091/,12319000000,https://www.sec.gov/Archives/edgar/data/732717/000073271712000025/,4
AT&T,T,2010Q3,2010-09-30,분기별 영업활동현금흐름,재분류(미반영),9540000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/732717/000073271710000091/ ; https://www.sec.gov/Archives/edgar/data/732717/000073271710000074/,9539000000,https://www.sec.gov/Archives/edgar/data/732717/000073271710000091/ ; https://www.sec.gov/Archives/edgar/data/732717/000119312511211863/,4
