기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
TransDigm Group,TDG,2010Q1,2010-04-03,분기별 매출액,206077000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1260221/000119312511135253/,SalesRevenueNet ; 그 분기 보고서에 연결 총계가 없어 2011-05-11 제출본의 비교기간에서 읽었다,9
TransDigm Group,TDG,2010Q1,2010-04-03,분기별 영업이익,88059000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1260221/000119312511135253/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-05-11 제출본의 비교기간에서 읽었다,9
TransDigm Group,TDG,2010Q1,2010-04-03,분기별 당기순이익(지배),38045000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1260221/000119312511135253/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-05-11 제출본의 비교기간에서 읽었다,9
TransDigm Group,TDG,2010Q1,2010-04-03,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1260221/000119312510115742/,,9
TransDigm Group,TDG,2010Q1,2010-04-03,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1260221/000119312510115742/,,9
TransDigm Group,TDG,2010Q1,2010-04-03,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1260221/000119312510115742/,,9
TransDigm Group,TDG,2010Q1,2010-04-03,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1260221/000119312510115742/,,9
TransDigm Group,TDG,2010Q1,2010-04-03,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1260221/000119312510115742/,,9
TransDigm Group,TDG,2010Q1,2010-04-01,분기말 종가,52.78,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/TDG?interval=1d&events=splits (2010-04-01),,9
TransDigm Group,TDG,2010Q1,2010-04-03,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,9
TransDigm Group,TDG,2010Q1,2010-04-03,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,9
TransDigm Group,TDG,2010Q2,2010-07-03,분기별 매출액,214182000,USD,공시,https://www.sec.gov/Archives/edgar/data/1260221/000119312510185495/,,9
TransDigm Group,TDG,2010Q2,2010-07-03,분기별 영업이익,95277000,USD,공시,https://www.sec.gov/Archives/edgar/data/1260221/000119312510185495/,,9
TransDigm Group,TDG,2010Q2,2010-07-03,분기별 당기순이익(지배),44005000,USD,공시,https://www.sec.gov/Archives/edgar/data/1260221/000119312510185495/,,9
TransDigm Group,TDG,2010Q2,2010-07-03,분기별 영업활동현금흐름,데이터 없음(직전 분기 누적 보고서 없음),USD,데이터 없음(직전 보고서 없음),https://www.sec.gov/Archives/edgar/data/1260221/000119312510185495/,,9
TransDigm Group,TDG,2010Q2,2010-07-03,분기말 자산총계,2615956000,USD,공시,https://www.sec.gov/Archives/edgar/data/1260221/000119312510185495/,,9
TransDigm Group,TDG,2010Q2,2010-07-03,분기말 부채총계,2080110000,USD,공시,https://www.sec.gov/Archives/edgar/data/1260221/000119312510185495/,,9
TransDigm Group,TDG,2010Q2,2010-07-03,분기말 총자본(자기자본),535846000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1260221/000119312510185495/,"StockholdersEquity, MinorityInterest 태그 없음",9
TransDigm Group,TDG,2010Q2,2010-07-03,분기말 지배지분 자본,535846000,USD,공시,https://www.sec.gov/Archives/edgar/data/1260221/000119312510185495/,,9
TransDigm Group,TDG,2010Q2,2010-07-02,분기말 종가,50.25,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/TDG?interval=1d&events=splits (2010-07-02),,9
TransDigm Group,TDG,2010Q2,2010-07-30,분기말 상장주식수,49339787,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1260221/000119312510185495/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
TransDigm Group,TDG,2010Q2,2010-07-02,분기말 시가총액,2479324297,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/TDG?interval=1d&events=splits (2010-07-02) ; https://www.sec.gov/Archives/edgar/data/1260221/000119312510185495/,종가 50.25 × 주식수 49339787,9
TransDigm Group,TDG,2010Q3,2010-09-30,분기별 매출액,223117000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1260221/000119312510260837/ ; https://www.sec.gov/Archives/edgar/data/1260221/000119312510185495/,연간 827654000 − 9개월누적 604537000 (SalesRevenueNet),9
TransDigm Group,TDG,2010Q3,2010-09-30,분기별 영업이익,103280000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1260221/000119312510260837/ ; https://www.sec.gov/Archives/edgar/data/1260221/000119312510185495/,연간 363069000 − 9개월누적 259789000 (OperatingIncomeLoss),9
TransDigm Group,TDG,2010Q3,2010-09-30,분기별 당기순이익(지배),50635000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1260221/000119312510260837/ ; https://www.sec.gov/Archives/edgar/data/1260221/000119312510185495/,연간 163445000 − 9개월누적 112810000 (NetIncomeLoss),9
TransDigm Group,TDG,2010Q3,2010-09-30,분기별 영업활동현금흐름,42041000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1260221/000119312510260837/ ; https://www.sec.gov/Archives/edgar/data/1260221/000119312510185495/,누적 197304000 − 직전누적 155263000 (시작 2009-10-01),9
TransDigm Group,TDG,2010Q3,2010-09-30,분기말 자산총계,2677818000,USD,공시,https://www.sec.gov/Archives/edgar/data/1260221/000119312510260837/,,9
TransDigm Group,TDG,2010Q3,2010-09-30,분기말 부채총계,2084839000,USD,공시,https://www.sec.gov/Archives/edgar/data/1260221/000119312510260837/,,9
TransDigm Group,TDG,2010Q3,2010-09-30,분기말 총자본(자기자본),592979000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1260221/000119312510260837/,"StockholdersEquity, MinorityInterest 태그 없음",9
TransDigm Group,TDG,2010Q3,2010-09-30,분기말 지배지분 자본,592979000,USD,공시,https://www.sec.gov/Archives/edgar/data/1260221/000119312510260837/,,9
TransDigm Group,TDG,2010Q3,2010-09-30,분기말 종가,62.05,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/TDG?interval=1d&events=splits (2010-09-30),,9
TransDigm Group,TDG,2010Q3,2009-10-29,분기말 상장주식수,49448405,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1260221/000119312510260837/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
TransDigm Group,TDG,2010Q3,2010-09-30,분기말 시가총액,3068273530,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/TDG?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/1260221/000119312510260837/,종가 62.05 × 주식수 49448405,9
TransDigm Group,TDG,2010Q4,2011-01-01,분기별 매출액,240046000,USD,공시,https://www.sec.gov/Archives/edgar/data/1260221/000119312511027069/,,9
TransDigm Group,TDG,2010Q4,2011-01-01,분기별 영업이익,21557000,USD,공시,https://www.sec.gov/Archives/edgar/data/1260221/000119312511027069/,,9
TransDigm Group,TDG,2010Q4,2011-01-01,분기별 당기순이익(지배),-7347000,USD,공시,https://www.sec.gov/Archives/edgar/data/1260221/000119312511027069/,,9
TransDigm Group,TDG,2010Q4,2011-01-01,분기별 영업활동현금흐름,62148000,USD,공시,https://www.sec.gov/Archives/edgar/data/1260221/000119312511027069/,,9
TransDigm Group,TDG,2010Q4,2011-01-01,분기말 자산총계,4212912000,USD,공시,https://www.sec.gov/Archives/edgar/data/1260221/000119312511027069/,,9
TransDigm Group,TDG,2010Q4,2011-01-01,분기말 부채총계,3616650000,USD,공시,https://www.sec.gov/Archives/edgar/data/1260221/000119312511027069/,,9
TransDigm Group,TDG,2010Q4,2011-01-01,분기말 총자본(자기자본),596262000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1260221/000119312511027069/,"StockholdersEquity, MinorityInterest 태그 없음",9
TransDigm Group,TDG,2010Q4,2011-01-01,분기말 지배지분 자본,596262000,USD,공시,https://www.sec.gov/Archives/edgar/data/1260221/000119312511027069/,,9
TransDigm Group,TDG,2010Q4,2010-12-31,분기말 종가,72.01,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/TDG?interval=1d&events=splits (2010-12-31),,9
TransDigm Group,TDG,2010Q4,2011-01-28,분기말 상장주식수,49649280,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1260221/000119312511027069/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
TransDigm Group,TDG,2010Q4,2010-12-31,분기말 시가총액,3575244653,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/TDG?interval=1d&events=splits (2010-12-31) ; https://www.sec.gov/Archives/edgar/data/1260221/000119312511027069/,종가 72.01 × 주식수 49649280,9
TransDigm Group,TDG,2011Q1,2011-04-02,분기별 매출액,311345000,USD,공시,https://www.sec.gov/Archives/edgar/data/1260221/000119312511135253/,,9
TransDigm Group,TDG,2011Q1,2011-04-02,분기별 영업이익,113204000,USD,공시,https://www.sec.gov/Archives/edgar/data/1260221/000119312511135253/,,9
TransDigm Group,TDG,2011Q1,2011-04-02,분기별 당기순이익(지배),55817000,USD,공시,https://www.sec.gov/Archives/edgar/data/1260221/000119312511135253/,,9
TransDigm Group,TDG,2011Q1,2011-04-02,분기별 영업활동현금흐름,67003000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1260221/000119312511135253/ ; https://www.sec.gov/Archives/edgar/data/1260221/000119312511027069/,누적 129151000 − 직전누적 62148000 (시작 2010-10-01),9
TransDigm Group,TDG,2011Q1,2011-04-02,분기말 자산총계,4386468000,USD,공시,https://www.sec.gov/Archives/edgar/data/1260221/000119312511135253/,,9
TransDigm Group,TDG,2011Q1,2011-04-02,분기말 부채총계,3719442000,USD,공시,https://www.sec.gov/Archives/edgar/data/1260221/000119312511135253/,,9
TransDigm Group,TDG,2011Q1,2011-04-02,분기말 총자본(자기자본),667026000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1260221/000119312511135253/,"StockholdersEquity, MinorityInterest 태그 없음",9
TransDigm Group,TDG,2011Q1,2011-04-02,분기말 지배지분 자본,667026000,USD,공시,https://www.sec.gov/Archives/edgar/data/1260221/000119312511135253/,,9
TransDigm Group,TDG,2011Q1,2011-04-01,분기말 종가,84.18,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/TDG?interval=1d&events=splits (2011-04-01),,9
TransDigm Group,TDG,2011Q1,2011-04-29,분기말 상장주식수,49980782,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1260221/000119312511135253/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
