기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Teledyne,TDY,2010Q2,2010-07-04,분기별 매출액,재분류(미반영),442500000,공시,https://www.sec.gov/Archives/edgar/data/1094285/000095012310075306/,408000000,https://www.sec.gov/Archives/edgar/data/1094285/000119312512089549/,14
Teledyne,TDY,2010Q2,2010-07-04,분기별 영업이익,재분류(미반영),45700000,공시,https://www.sec.gov/Archives/edgar/data/1094285/000095012310075306/,43700000,https://www.sec.gov/Archives/edgar/data/1094285/000095012311075029/,14
Teledyne,TDY,2010Q3,2010-10-03,분기별 매출액,재분류(미반영),443900000,공시,https://www.sec.gov/Archives/edgar/data/1094285/000095012310103465/,409800000,https://www.sec.gov/Archives/edgar/data/1094285/000119312512089549/,14
Teledyne,TDY,2010Q3,2010-10-03,분기별 영업이익,재분류(미반영),46900000,공시,https://www.sec.gov/Archives/edgar/data/1094285/000095012310103465/,45900000,https://www.sec.gov/Archives/edgar/data/1094285/000119312511299894/,14
Teledyne,TDY,2010Q4,2011-01-02,분기별 매출액,재분류(미반영),318600000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1094285/000095012311021752/ ; https://www.sec.gov/Archives/edgar/data/1094285/000095012310103465/,421500000,https://www.sec.gov/Archives/edgar/data/1094285/000095012311021752/ ; https://www.sec.gov/Archives/edgar/data/1094285/000119312511299894/,14
Teledyne,TDY,2010Q4,2011-01-02,분기별 영업이익,재분류(미반영),46000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1094285/000095012311021752/ ; https://www.sec.gov/Archives/edgar/data/1094285/000095012310103465/,48900000,https://www.sec.gov/Archives/edgar/data/1094285/000095012311021752/ ; https://www.sec.gov/Archives/edgar/data/1094285/000119312511299894/,14
Teledyne,TDY,2011Q1,2011-04-03,분기별 당기순이익(지배),재분류(미반영),32000000,계산(연결-비지배),https://www.sec.gov/Archives/edgar/data/1094285/000095012311050175/,32500000,https://www.sec.gov/Archives/edgar/data/1094285/000095012311050175/,14
Teledyne,TDY,2011Q4,2012-01-01,분기별 당기순이익(지배),재분류(미반영),36900000,계산(연간(연결-비지배)-3분기누적),https://www.sec.gov/Archives/edgar/data/1094285/000119312512089549/ ; https://www.sec.gov/Archives/edgar/data/1094285/000119312511299894/,36800000,https://www.sec.gov/Archives/edgar/data/1094285/000119312512089549/ ; https://www.sec.gov/Archives/edgar/data/1094285/000119312511299894/,14
Teledyne,TDY,2012Q1,2012-04-01,분기별 영업활동현금흐름,재작성 반영,19700000,공시,https://www.sec.gov/Archives/edgar/data/1094285/000119312512212008/,-19700000,https://www.sec.gov/Archives/edgar/data/1094285/000109428513000140/,14
Teledyne,TDY,2012Q2,2012-07-01,분기별 영업활동현금흐름,재작성 반영,29600000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1094285/000119312512341092/ ; https://www.sec.gov/Archives/edgar/data/1094285/000119312512212008/,69000000,https://www.sec.gov/Archives/edgar/data/1094285/000119312512341092/ ; https://www.sec.gov/Archives/edgar/data/1094285/000109428513000140/,14
Teledyne,TDY,2012Q4,2012-12-30,분기별 영업활동현금흐름,재분류(미반영),121900000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1094285/000109428513000064/ ; https://www.sec.gov/Archives/edgar/data/1094285/000144530512003473/,121600000,https://www.sec.gov/Archives/edgar/data/1094285/000109428515000037/ ; https://www.sec.gov/Archives/edgar/data/1094285/000144530512003473/,14
Teledyne,TDY,2013Q4,2013-12-29,분기별 영업활동현금흐름,재작성 반영,98500000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1094285/000109428514000072/ ; https://www.sec.gov/Archives/edgar/data/1094285/000109428513000206/,97700000,https://www.sec.gov/Archives/edgar/data/1094285/000109428516000177/ ; https://www.sec.gov/Archives/edgar/data/1094285/000109428513000206/,14
Teledyne,TDY,2014Q3,2014-09-28,분기별 영업활동현금흐름,재작성 반영,79200000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1094285/000109428514000203/ ; https://www.sec.gov/Archives/edgar/data/1094285/000109428514000164/,81900000,https://www.sec.gov/Archives/edgar/data/1094285/000109428515000136/ ; https://www.sec.gov/Archives/edgar/data/1094285/000109428514000164/,14
Teledyne,TDY,2014Q4,2014-12-28,분기별 영업활동현금흐름,재작성 반영,88300000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1094285/000109428515000037/ ; https://www.sec.gov/Archives/edgar/data/1094285/000109428514000203/,85600000,https://www.sec.gov/Archives/edgar/data/1094285/000109428515000037/ ; https://www.sec.gov/Archives/edgar/data/1094285/000109428515000136/,14
Teledyne,TDY,2014Q4,2014-12-28,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),1468500000,공시,https://www.sec.gov/Archives/edgar/data/1094285/000109428515000037/,,https://www.sec.gov/Archives/edgar/data/1094285/000109428515000037/,14
Teledyne,TDY,2014Q4,2014-12-28,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),1427300000,공시,https://www.sec.gov/Archives/edgar/data/1094285/000109428515000037/,,https://www.sec.gov/Archives/edgar/data/1094285/000109428515000037/,14
Teledyne,TDY,2015Q1,2015-03-29,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),1329500000,공시,https://www.sec.gov/Archives/edgar/data/1094285/000109428515000078/,,https://www.sec.gov/Archives/edgar/data/1094285/000109428515000078/,14
Teledyne,TDY,2015Q1,2015-03-29,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),1291400000,공시,https://www.sec.gov/Archives/edgar/data/1094285/000109428515000078/,,https://www.sec.gov/Archives/edgar/data/1094285/000109428515000078/,14
Teledyne,TDY,2015Q2,2015-06-28,분기별 영업활동현금흐름,재분류(미반영),59000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1094285/000109428515000111/ ; https://www.sec.gov/Archives/edgar/data/1094285/000109428515000078/,57400000,https://www.sec.gov/Archives/edgar/data/1094285/000109428516000246/ ; https://www.sec.gov/Archives/edgar/data/1094285/000109428515000078/,14
Teledyne,TDY,2015Q2,2015-06-28,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),1396600000,공시,https://www.sec.gov/Archives/edgar/data/1094285/000109428515000111/,,https://www.sec.gov/Archives/edgar/data/1094285/000109428515000111/,14
Teledyne,TDY,2015Q2,2015-06-28,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),1396600000,공시,https://www.sec.gov/Archives/edgar/data/1094285/000109428515000111/,,https://www.sec.gov/Archives/edgar/data/1094285/000109428515000111/,14
Teledyne,TDY,2015Q3,2015-09-27,분기별 영업활동현금흐름,재분류(미반영),73500000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1094285/000109428515000136/ ; https://www.sec.gov/Archives/edgar/data/1094285/000109428515000111/,72300000,https://www.sec.gov/Archives/edgar/data/1094285/000109428516000282/ ; https://www.sec.gov/Archives/edgar/data/1094285/000109428516000246/,14
Teledyne,TDY,2015Q3,2015-09-27,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),1420800000,공시,https://www.sec.gov/Archives/edgar/data/1094285/000109428515000136/,,https://www.sec.gov/Archives/edgar/data/1094285/000109428515000136/,14
Teledyne,TDY,2015Q3,2015-09-27,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),1420800000,공시,https://www.sec.gov/Archives/edgar/data/1094285/000109428515000136/,,https://www.sec.gov/Archives/edgar/data/1094285/000109428515000136/,14
Teledyne,TDY,2015Q4,2016-01-03,분기별 매출액,재분류(미반영),-677700000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1094285/000109428516000177/ ; https://www.sec.gov/Archives/edgar/data/1094285/000109428515000136/,-666400000,https://www.sec.gov/Archives/edgar/data/1094285/000109428516000177/ ; https://www.sec.gov/Archives/edgar/data/1094285/000109428516000282/,14
Teledyne,TDY,2015Q4,2016-01-03,분기별 영업이익,재분류(미반영),76000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1094285/000109428516000177/ ; https://www.sec.gov/Archives/edgar/data/1094285/000109428515000136/,73200000,https://www.sec.gov/Archives/edgar/data/1094285/000109428516000177/ ; https://www.sec.gov/Archives/edgar/data/1094285/000109428516000282/,14
Teledyne,TDY,2015Q4,2016-01-03,분기별 영업활동현금흐름,재분류(미반영),61000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1094285/000109428516000177/ ; https://www.sec.gov/Archives/edgar/data/1094285/000109428515000136/,63800000,https://www.sec.gov/Archives/edgar/data/1094285/000109428516000177/ ; https://www.sec.gov/Archives/edgar/data/1094285/000109428516000282/,14
Teledyne,TDY,2015Q4,2016-01-03,분기말 자산총계,재작성 반영,2718500000,공시,https://www.sec.gov/Archives/edgar/data/1094285/000109428516000177/,2717100000,https://www.sec.gov/Archives/edgar/data/1094285/000109428517000031/,14
Teledyne,TDY,2015Q4,2016-01-03,분기말 부채총계,재작성 반영,1374400000,공시,https://www.sec.gov/Archives/edgar/data/1094285/000109428516000177/,1373000000,https://www.sec.gov/Archives/edgar/data/1094285/000109428517000031/,14
Teledyne,TDY,2016Q2,2016-07-03,분기별 매출액,재작성 반영,534900000,공시,https://www.sec.gov/Archives/edgar/data/1094285/000109428516000246/,539700000,https://www.sec.gov/Archives/edgar/data/1094285/000109428518000053/,14
Teledyne,TDY,2016Q2,2016-07-03,분기별 영업이익,재작성 반영,54300000,공시,https://www.sec.gov/Archives/edgar/data/1094285/000109428516000246/,53600000,https://www.sec.gov/Archives/edgar/data/1094285/000109428518000053/,14
Teledyne,TDY,2016Q2,2016-07-03,분기별 당기순이익(지배),재작성 반영,45700000,공시,https://www.sec.gov/Archives/edgar/data/1094285/000109428516000246/,46900000,https://www.sec.gov/Archives/edgar/data/1094285/000109428518000053/,14
Teledyne,TDY,2016Q3,2016-10-02,분기별 영업이익,재작성 반영,70500000,공시,https://www.sec.gov/Archives/edgar/data/1094285/000109428516000282/,68800000,https://www.sec.gov/Archives/edgar/data/1094285/000109428518000053/,14
Teledyne,TDY,2016Q4,2017-01-01,분기별 매출액,재작성 반영,563000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1094285/000109428517000031/ ; https://www.sec.gov/Archives/edgar/data/1094285/000109428516000282/,552900000,https://www.sec.gov/Archives/edgar/data/1094285/000109428517000031/ ; https://www.sec.gov/Archives/edgar/data/1094285/000109428517000119/,14
Teledyne,TDY,2016Q4,2017-01-01,분기별 영업이익,재작성 반영,68000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1094285/000109428517000031/ ; https://www.sec.gov/Archives/edgar/data/1094285/000109428516000282/,57200000,https://www.sec.gov/Archives/edgar/data/1094285/000109428519000064/ ; https://www.sec.gov/Archives/edgar/data/1094285/000109428517000119/,14
Teledyne,TDY,2017Q1,2017-04-02,분기별 영업이익,재작성 반영,58100000,공시,https://www.sec.gov/Archives/edgar/data/1094285/000109428517000075/,54800000,https://www.sec.gov/Archives/edgar/data/1094285/000109428519000064/,14
Teledyne,TDY,2017Q2,2017-07-02,분기별 영업이익,재작성 반영,86200000,공시,https://www.sec.gov/Archives/edgar/data/1094285/000109428517000105/,82800000,https://www.sec.gov/Archives/edgar/data/1094285/000109428519000064/,14
Teledyne,TDY,2017Q3,2017-10-01,분기별 영업이익,재작성 반영,92900000,공시,https://www.sec.gov/Archives/edgar/data/1094285/000109428517000119/,89500000,https://www.sec.gov/Archives/edgar/data/1094285/000109428519000064/,14
Teledyne,TDY,2017Q4,2017-12-31,분기별 영업이익,재작성 반영,98400000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1094285/000109428518000053/ ; https://www.sec.gov/Archives/edgar/data/1094285/000109428517000119/,94600000,https://www.sec.gov/Archives/edgar/data/1094285/000109428520000045/ ; https://www.sec.gov/Archives/edgar/data/1094285/000109428518000152/,14
