기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
TE Connectivity,TEL,2010Q3,2010-09-24,분기별 매출액,재분류(미반영),3137000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1385157/000104746910009566/ ; https://www.sec.gov/Archives/edgar/data/1385157/000104746910006583/,2748000000,https://www.sec.gov/Archives/edgar/data/1385157/000104746912010439/ ; https://www.sec.gov/Archives/edgar/data/1385157/000104746910006583/,9
TE Connectivity,TEL,2010Q3,2010-09-24,분기별 영업이익,재분류(미반영),382000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1385157/000104746910009566/ ; https://www.sec.gov/Archives/edgar/data/1385157/000104746910006583/,318000000,https://www.sec.gov/Archives/edgar/data/1385157/000104746912010439/ ; https://www.sec.gov/Archives/edgar/data/1385157/000104746910006583/,9
TE Connectivity,TEL,2010Q4,2010-12-24,분기별 매출액,재분류(미반영),3200000000,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746911000265/,3107000000,https://www.sec.gov/Archives/edgar/data/1385157/000104746912010439/,9
TE Connectivity,TEL,2011Q1,2011-03-25,분기별 매출액,재분류(미반영),3472000000,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746911004066/,3339000000,https://www.sec.gov/Archives/edgar/data/1385157/000104746912010439/,9
TE Connectivity,TEL,2011Q1,2011-03-25,분기별 영업이익,재분류(미반영),405000000,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746911004066/,392000000,https://www.sec.gov/Archives/edgar/data/1385157/000104746912004990/,9
TE Connectivity,TEL,2011Q2,2011-06-24,분기별 매출액,재분류(미반영),3729000000,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746911006546/,3579000000,https://www.sec.gov/Archives/edgar/data/1385157/000104746912010439/,9
TE Connectivity,TEL,2011Q2,2011-06-24,분기별 영업이익,재분류(미반영),471000000,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746911006546/,460000000,https://www.sec.gov/Archives/edgar/data/1385157/000104746912007456/,9
TE Connectivity,TEL,2011Q3,2011-09-30,분기별 매출액,재분류(미반영),3911000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1385157/000104746911009687/ ; https://www.sec.gov/Archives/edgar/data/1385157/000104746911006546/,3753000000,https://www.sec.gov/Archives/edgar/data/1385157/000104746913010572/ ; https://www.sec.gov/Archives/edgar/data/1385157/000104746912007456/,9
TE Connectivity,TEL,2011Q3,2011-09-30,분기별 영업이익,재분류(미반영),465000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1385157/000104746911009687/ ; https://www.sec.gov/Archives/edgar/data/1385157/000104746911006546/,445000000,https://www.sec.gov/Archives/edgar/data/1385157/000104746913010572/ ; https://www.sec.gov/Archives/edgar/data/1385157/000104746912007456/,9
TE Connectivity,TEL,2011Q4,2011-12-30,분기별 매출액,재분류(미반영),3309000000,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746912000427/,3170000000,https://www.sec.gov/Archives/edgar/data/1385157/000104746913010572/,9
TE Connectivity,TEL,2011Q4,2011-12-30,분기별 영업이익,재분류(미반영),378000000,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746912000427/,361000000,https://www.sec.gov/Archives/edgar/data/1385157/000104746913000426/,9
TE Connectivity,TEL,2013Q3,2013-09-27,분기별 매출액,재분류(미반영),3432000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1385157/000104746913010572/ ; https://www.sec.gov/Archives/edgar/data/1385157/000104746913007764/,1542000000,https://www.sec.gov/Archives/edgar/data/1385157/000104746915008508/ ; https://www.sec.gov/Archives/edgar/data/1385157/000104746913007764/,9
TE Connectivity,TEL,2013Q3,2013-09-27,분기별 영업이익,재분류(미반영),465000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1385157/000104746913010572/ ; https://www.sec.gov/Archives/edgar/data/1385157/000104746913007764/,294000000,https://www.sec.gov/Archives/edgar/data/1385157/000104746915008508/ ; https://www.sec.gov/Archives/edgar/data/1385157/000104746913007764/,9
TE Connectivity,TEL,2013Q4,2013-12-27,분기별 매출액,재분류(미반영),3326000000,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746914000305/,2862000000,https://www.sec.gov/Archives/edgar/data/1385157/000104746915008508/,9
TE Connectivity,TEL,2014Q1,2014-03-28,분기별 매출액,재분류(미반영),3431000000,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746914004115/,2964000000,https://www.sec.gov/Archives/edgar/data/1385157/000104746915008508/,9
TE Connectivity,TEL,2014Q1,2014-03-28,분기별 영업이익,재분류(미반영),510000000,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746914004115/,471000000,https://www.sec.gov/Archives/edgar/data/1385157/000104746915003840/,9
TE Connectivity,TEL,2014Q2,2014-06-27,분기별 매출액,재분류(미반영),3580000000,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746914006364/,3075000000,https://www.sec.gov/Archives/edgar/data/1385157/000104746915008508/,9
TE Connectivity,TEL,2014Q2,2014-06-27,분기별 영업이익,재분류(미반영),535000000,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746914006364/,464000000,https://www.sec.gov/Archives/edgar/data/1385157/000104746915006264/,9
TE Connectivity,TEL,2014Q3,2014-09-26,분기별 매출액,재분류(미반영),3575000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1385157/000104746914009088/ ; https://www.sec.gov/Archives/edgar/data/1385157/000104746914006364/,3072000000,https://www.sec.gov/Archives/edgar/data/1385157/000104746916016719/ ; https://www.sec.gov/Archives/edgar/data/1385157/000104746915006264/,9
TE Connectivity,TEL,2014Q3,2014-09-26,분기별 영업이익,재분류(미반영),521000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1385157/000104746914009088/ ; https://www.sec.gov/Archives/edgar/data/1385157/000104746914006364/,451000000,https://www.sec.gov/Archives/edgar/data/1385157/000104746916016719/ ; https://www.sec.gov/Archives/edgar/data/1385157/000104746915006264/,9
TE Connectivity,TEL,2014Q3,2014-09-26,분기말 자산총계,재작성 검증 실패(원 공시 유지),20152000000,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746914009088/,,https://www.sec.gov/Archives/edgar/data/1385157/000104746914009088/,9
TE Connectivity,TEL,2014Q3,2014-09-26,분기말 부채총계,재작성 검증 실패(원 공시 유지),11139000000,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746914009088/,,https://www.sec.gov/Archives/edgar/data/1385157/000104746914009088/,9
TE Connectivity,TEL,2014Q3,2014-09-26,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),9013000000,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746914009088/,,https://www.sec.gov/Archives/edgar/data/1385157/000104746914009088/,9
TE Connectivity,TEL,2014Q3,2014-09-26,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),9007000000,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746914009088/,,https://www.sec.gov/Archives/edgar/data/1385157/000104746914009088/,9
TE Connectivity,TEL,2014Q4,2014-12-26,분기별 매출액,재분류(미반영),3466000000,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746915000470/,3049000000,https://www.sec.gov/Archives/edgar/data/1385157/000104746916016719/,9
