기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
TE Connectivity,TEL,2010Q1,2010-03-26,분기별 매출액,2957000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746910004400/,,9
TE Connectivity,TEL,2010Q1,2010-03-26,분기별 영업이익,398000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746910004400/,,9
TE Connectivity,TEL,2010Q1,2010-03-26,분기별 당기순이익(지배),304000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746910004400/,,9
TE Connectivity,TEL,2010Q1,2010-03-26,분기별 영업활동현금흐름,500000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1385157/000104746910004400/ ; https://www.sec.gov/Archives/edgar/data/1385157/000104746910000391/,누적 830000000 − 직전누적 330000000 (시작 2009-09-26),9
TE Connectivity,TEL,2010Q1,2010-03-26,분기말 자산총계,16552000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746910004400/,,9
TE Connectivity,TEL,2010Q1,2010-03-26,분기말 부채총계,9756000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746910004400/,,9
TE Connectivity,TEL,2010Q1,2010-03-26,분기말 총자본(자기자본),6796000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746910004400/,,9
TE Connectivity,TEL,2010Q1,2010-03-26,분기말 지배지분 자본,6788000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746910004400/,,9
TE Connectivity,TEL,2010Q1,2010-03-26,분기말 종가,27.68,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/TEL?interval=1d&events=splits (2010-03-26),,9
TE Connectivity,TEL,2010Q1,2010-04-23,분기말 상장주식수,453553902,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1385157/000104746910004400/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
TE Connectivity,TEL,2010Q1,2010-03-26,분기말 시가총액,12554372007,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/TEL?interval=1d&events=splits (2010-03-26) ; https://www.sec.gov/Archives/edgar/data/1385157/000104746910004400/,종가 27.68 × 주식수 453553902,9
TE Connectivity,TEL,2010Q2,2010-06-25,분기별 매출액,3084000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746910006583/,,9
TE Connectivity,TEL,2010Q2,2010-06-25,분기별 영업이익,467000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746910006583/,,9
TE Connectivity,TEL,2010Q2,2010-06-25,분기별 당기순이익(지배),330000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746910006583/,,9
TE Connectivity,TEL,2010Q2,2010-06-25,분기별 영업활동현금흐름,375000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1385157/000104746910006583/ ; https://www.sec.gov/Archives/edgar/data/1385157/000104746910004400/,누적 1205000000 − 직전누적 830000000 (시작 2009-09-26),9
TE Connectivity,TEL,2010Q2,2010-06-25,분기말 자산총계,16469000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746910006583/,,9
TE Connectivity,TEL,2010Q2,2010-06-25,분기말 부채총계,9669000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746910006583/,,9
TE Connectivity,TEL,2010Q2,2010-06-25,분기말 총자본(자기자본),6800000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746910006583/,,9
TE Connectivity,TEL,2010Q2,2010-06-25,분기말 지배지분 자본,6792000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746910006583/,,9
TE Connectivity,TEL,2010Q2,2010-06-25,분기말 종가,27.55,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/TEL?interval=1d&events=splits (2010-06-25),,9
TE Connectivity,TEL,2010Q2,2010-07-19,분기말 상장주식수,446967357,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1385157/000104746910006583/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
TE Connectivity,TEL,2010Q2,2010-06-25,분기말 시가총액,12313950685,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/TEL?interval=1d&events=splits (2010-06-25) ; https://www.sec.gov/Archives/edgar/data/1385157/000104746910006583/,종가 27.55 × 주식수 446967357,9
TE Connectivity,TEL,2010Q3,2010-09-24,분기별 매출액,3137000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1385157/000104746910009566/ ; https://www.sec.gov/Archives/edgar/data/1385157/000104746910006583/,연간 12070000000 − 9개월누적 8933000000 (SalesRevenueNet),9
TE Connectivity,TEL,2010Q3,2010-09-24,분기별 영업이익,382000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1385157/000104746910009566/ ; https://www.sec.gov/Archives/edgar/data/1385157/000104746910006583/,연간 1516000000 − 9개월누적 1134000000 (OperatingIncomeLoss),9
TE Connectivity,TEL,2010Q3,2010-09-24,분기별 당기순이익(지배),297000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1385157/000104746910009566/ ; https://www.sec.gov/Archives/edgar/data/1385157/000104746910006583/,연간 1103000000 − 9개월누적 806000000 (NetIncomeLoss),9
TE Connectivity,TEL,2010Q3,2010-09-24,분기별 영업활동현금흐름,474000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1385157/000104746910009566/ ; https://www.sec.gov/Archives/edgar/data/1385157/000104746910006583/,누적 1679000000 − 직전누적 1205000000 (시작 2009-09-26),9
TE Connectivity,TEL,2010Q3,2010-09-24,분기말 자산총계,16992000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746910009566/,,9
TE Connectivity,TEL,2010Q3,2010-09-24,분기말 부채총계,9936000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746910009566/,,9
TE Connectivity,TEL,2010Q3,2010-09-24,분기말 총자본(자기자본),7056000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746910009566/,,9
TE Connectivity,TEL,2010Q3,2010-09-24,분기말 지배지분 자본,7048000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746910009566/,,9
TE Connectivity,TEL,2010Q3,2010-09-24,분기말 종가,29.26,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/TEL?interval=1d&events=splits (2010-09-24),,9
TE Connectivity,TEL,2010Q3,2010-11-05,분기말 상장주식수,443687034,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1385157/000104746910009566/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
TE Connectivity,TEL,2010Q3,2010-09-24,분기말 시가총액,12982282615,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/TEL?interval=1d&events=splits (2010-09-24) ; https://www.sec.gov/Archives/edgar/data/1385157/000104746910009566/,종가 29.26 × 주식수 443687034,9
TE Connectivity,TEL,2010Q4,2010-12-24,분기별 매출액,3200000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746911000265/,,9
TE Connectivity,TEL,2010Q4,2010-12-24,분기별 영업이익,400000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746911000265/,,9
TE Connectivity,TEL,2010Q4,2010-12-24,분기별 당기순이익(지배),265000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746911000265/,,9
TE Connectivity,TEL,2010Q4,2010-12-24,분기별 영업활동현금흐름,154000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746911000265/,,9
TE Connectivity,TEL,2010Q4,2010-12-24,분기말 자산총계,18102000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746911000265/,,9
TE Connectivity,TEL,2010Q4,2010-12-24,분기말 부채총계,10756000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746911000265/,,9
TE Connectivity,TEL,2010Q4,2010-12-24,분기말 총자본(자기자본),7346000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746911000265/,,9
TE Connectivity,TEL,2010Q4,2010-12-24,분기말 지배지분 자본,7339000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1385157/000104746911000265/,,9
TE Connectivity,TEL,2010Q4,2010-12-23,분기말 종가,35.63,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/TEL?interval=1d&events=splits (2010-12-23),,9
TE Connectivity,TEL,2010Q4,2011-01-18,분기말 상장주식수,445476062,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1385157/000104746911000265/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
TE Connectivity,TEL,2010Q4,2010-12-23,분기말 시가총액,15872312089,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/TEL?interval=1d&events=splits (2010-12-23) ; https://www.sec.gov/Archives/edgar/data/1385157/000104746911000265/,종가 35.63 × 주식수 445476062,9
