기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Target,TGT,2012Q1,2012-04-28,분기별 영업이익,재작성 반영,1283000000,공시,https://www.sec.gov/Archives/edgar/data/27419/000110465912039309/,1285000000,https://www.sec.gov/Archives/edgar/data/27419/000110465913045630/,8
Target,TGT,2012Q2,2012-07-28,분기별 영업이익,재작성 반영,1252000000,공시,https://www.sec.gov/Archives/edgar/data/27419/000110465912059766/,1255000000,https://www.sec.gov/Archives/edgar/data/27419/000110465913066569/,8
Target,TGT,2012Q3,2012-10-27,분기별 영업이익,재작성 반영,1005000000,공시,https://www.sec.gov/Archives/edgar/data/27419/000110465912079507/,1008000000,https://www.sec.gov/Archives/edgar/data/27419/000002741913000007/,8
Target,TGT,2012Q4,2013-02-02,분기별 영업이익,재작성 반영,1667000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/27419/000104746913003100/ ; https://www.sec.gov/Archives/edgar/data/27419/000110465912079507/,1659000000,https://www.sec.gov/Archives/edgar/data/27419/000104746913003100/ ; https://www.sec.gov/Archives/edgar/data/27419/000002741913000007/,8
Target,TGT,2012Q4,2013-02-02,분기별 영업활동현금흐름,재분류(미반영),1977000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/27419/000104746913003100/ ; https://www.sec.gov/Archives/edgar/data/27419/000110465912079507/,2220000000,https://www.sec.gov/Archives/edgar/data/27419/000002741915000012/ ; https://www.sec.gov/Archives/edgar/data/27419/000110465912079507/,8
Target,TGT,2013Q4,2014-02-01,분기별 매출액,재분류(미반영),21515000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/27419/000002741914000014/ ; https://www.sec.gov/Archives/edgar/data/27419/000002741913000007/,20198000000,https://www.sec.gov/Archives/edgar/data/27419/000002741915000012/ ; https://www.sec.gov/Archives/edgar/data/27419/000002741913000007/,8
Target,TGT,2013Q4,2014-02-01,분기별 영업활동현금흐름,재분류(미반영),1767000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/27419/000002741914000014/ ; https://www.sec.gov/Archives/edgar/data/27419/000002741913000007/,2766000000,https://www.sec.gov/Archives/edgar/data/27419/000002741916000043/ ; https://www.sec.gov/Archives/edgar/data/27419/000002741913000007/,8
Target,TGT,2014Q1,2014-05-03,분기별 매출액,재분류(미반영),17050000000,공시,https://www.sec.gov/Archives/edgar/data/27419/000002741914000021/,16657000000,https://www.sec.gov/Archives/edgar/data/27419/000002741916000043/,8
Target,TGT,2014Q1,2014-05-03,분기별 영업이익,재분류(미반영),860000000,공시,https://www.sec.gov/Archives/edgar/data/27419/000002741914000021/,1053000000,https://www.sec.gov/Archives/edgar/data/27419/000002741915000018/,8
Target,TGT,2014Q1,2014-05-03,분기별 영업활동현금흐름,재분류(미반영),520000000,공시,https://www.sec.gov/Archives/edgar/data/27419/000002741914000021/,815000000,https://www.sec.gov/Archives/edgar/data/27419/000002741915000018/,8
Target,TGT,2014Q2,2014-08-02,분기별 매출액,재분류(미반영),17406000000,공시,https://www.sec.gov/Archives/edgar/data/27419/000002741914000028/,16957000000,https://www.sec.gov/Archives/edgar/data/27419/000002741916000043/,8
Target,TGT,2014Q2,2014-08-02,분기별 영업이익,재분류(미반영),957000000,공시,https://www.sec.gov/Archives/edgar/data/27419/000002741914000028/,1149000000,https://www.sec.gov/Archives/edgar/data/27419/000002741915000029/,8
Target,TGT,2014Q2,2014-08-02,분기별 영업활동현금흐름,재분류(미반영),994000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/27419/000002741914000028/ ; https://www.sec.gov/Archives/edgar/data/27419/000002741914000021/,1120000000,https://www.sec.gov/Archives/edgar/data/27419/000002741915000029/ ; https://www.sec.gov/Archives/edgar/data/27419/000002741915000018/,8
Target,TGT,2014Q3,2014-11-01,분기별 매출액,재분류(미반영),17732000000,공시,https://www.sec.gov/Archives/edgar/data/27419/000002741914000036/,17254000000,https://www.sec.gov/Archives/edgar/data/27419/000002741916000043/,8
Target,TGT,2014Q3,2014-11-01,분기별 영업이익,재분류(미반영),716000000,공시,https://www.sec.gov/Archives/edgar/data/27419/000002741914000036/,916000000,https://www.sec.gov/Archives/edgar/data/27419/000002741915000036/,8
Target,TGT,2014Q3,2014-11-01,분기별 영업활동현금흐름,재분류(미반영),536000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/27419/000002741914000036/ ; https://www.sec.gov/Archives/edgar/data/27419/000002741914000028/,664000000,https://www.sec.gov/Archives/edgar/data/27419/000002741915000036/ ; https://www.sec.gov/Archives/edgar/data/27419/000002741915000029/,8
Target,TGT,2014Q4,2015-01-31,분기별 매출액,재분류(미반영),20430000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/27419/000002741915000012/ ; https://www.sec.gov/Archives/edgar/data/27419/000002741914000036/,21750000000,https://www.sec.gov/Archives/edgar/data/27419/000002741915000012/ ; https://www.sec.gov/Archives/edgar/data/27419/000002741915000036/,8
