기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Target,TGT,2010Q1,2010-05-01,분기별 매출액,15593000000,USD,공시,https://www.sec.gov/Archives/edgar/data/27419/000110465910031430/,,8
Target,TGT,2010Q1,2010-05-01,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/27419/000110465910031430/,,8
Target,TGT,2010Q1,2010-05-01,분기별 당기순이익(지배),671000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/27419/000110465910031430/,,8
Target,TGT,2010Q1,2010-05-01,분기별 영업활동현금흐름,1158000000,USD,공시,https://www.sec.gov/Archives/edgar/data/27419/000110465910031430/,,8
Target,TGT,2010Q1,2010-05-01,분기말 자산총계,43323000000,USD,공시,https://www.sec.gov/Archives/edgar/data/27419/000110465910031430/,,8
Target,TGT,2010Q1,2010-05-01,분기말 부채총계,27726000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/27419/000110465910031430/,부채및자본 43323000000 − 총자본 15597000000,8
Target,TGT,2010Q1,2010-05-01,분기말 총자본(자기자본),15597000000,USD,공시,https://www.sec.gov/Archives/edgar/data/27419/000110465910031430/,,8
Target,TGT,2010Q1,2010-05-01,분기말 지배지분 자본,15597000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/27419/000110465910031430/,"StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest, MinorityInterest 태그 없음",8
Target,TGT,2010Q1,2010-04-30,분기말 종가,56.87,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/TGT?interval=1d&events=splits (2010-04-30),,8
Target,TGT,2010Q1,2010-05-26,분기말 상장주식수,736470956,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/27419/000110465910031430/,dei:EntityCommonStockSharesOutstanding 클래스 합,8
Target,TGT,2010Q1,2010-04-30,분기말 시가총액,41883103268,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/TGT?interval=1d&events=splits (2010-04-30) ; https://www.sec.gov/Archives/edgar/data/27419/000110465910031430/,종가 56.87 × 주식수 736470956,8
Target,TGT,2010Q2,2010-07-31,분기별 매출액,15532000000,USD,공시,https://www.sec.gov/Archives/edgar/data/27419/000110465910046222/,,8
Target,TGT,2010Q2,2010-07-31,분기별 영업이익,1245000000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/27419/000110465911048645/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-08-25 제출본의 비교기간에서 읽었다,8
Target,TGT,2010Q2,2010-07-31,분기별 당기순이익(지배),679000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/27419/000110465910046222/,,8
Target,TGT,2010Q2,2010-07-31,분기별 영업활동현금흐름,670000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/27419/000110465910046222/ ; https://www.sec.gov/Archives/edgar/data/27419/000110465910031430/,누적 1828000000 − 직전누적 1158000000 (시작 2010-01-31),8
