기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
TKO Group Holdings,TKO,2023Q4,2023-12-31,분기별 매출액,재작성 반영,613995000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1973266/000156276224000038/ ; https://www.sec.gov/Archives/edgar/data/1973266/000197326623000009/,2163823000,https://www.sec.gov/Archives/edgar/data/1973266/000119312526071651/ ; https://www.sec.gov/Archives/edgar/data/1973266/000197326623000009/,13
TKO Group Holdings,TKO,2023Q4,2023-12-31,분기별 영업이익,재작성 반영,62876000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1973266/000156276224000038/ ; https://www.sec.gov/Archives/edgar/data/1973266/000197326623000009/,-8007000,https://www.sec.gov/Archives/edgar/data/1973266/000119312526071651/ ; https://www.sec.gov/Archives/edgar/data/1973266/000197326623000009/,13
TKO Group Holdings,TKO,2023Q4,2023-12-31,분기별 영업활동현금흐름,재작성 반영,220726000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1973266/000156276224000038/ ; https://www.sec.gov/Archives/edgar/data/1973266/000197326623000009/,18504000,https://www.sec.gov/Archives/edgar/data/1973266/000119312526071651/ ; https://www.sec.gov/Archives/edgar/data/1973266/000197326623000009/,13
TKO Group Holdings,TKO,2023Q4,2023-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),12690739000,공시,https://www.sec.gov/Archives/edgar/data/1973266/000156276224000038/,,https://www.sec.gov/Archives/edgar/data/1973266/000156276224000038/,13
TKO Group Holdings,TKO,2023Q4,2023-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),3840193000,공시,https://www.sec.gov/Archives/edgar/data/1973266/000156276224000038/,,https://www.sec.gov/Archives/edgar/data/1973266/000156276224000038/,13
TKO Group Holdings,TKO,2023Q4,2023-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),8838952000,공시,https://www.sec.gov/Archives/edgar/data/1973266/000156276224000038/,,https://www.sec.gov/Archives/edgar/data/1973266/000156276224000038/,13
TKO Group Holdings,TKO,2023Q4,2023-12-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),4108980000,공시,https://www.sec.gov/Archives/edgar/data/1973266/000156276224000038/,,https://www.sec.gov/Archives/edgar/data/1973266/000156276224000038/,13
TKO Group Holdings,TKO,2024Q1,2024-03-31,분기별 매출액,재작성 반영,629711000,공시,https://www.sec.gov/Archives/edgar/data/1973266/000197326624000013/,1222448000,https://www.sec.gov/Archives/edgar/data/1973266/000119312526071651/,13
TKO Group Holdings,TKO,2024Q1,2024-03-31,분기별 영업이익,재작성 반영,-210345000,공시,https://www.sec.gov/Archives/edgar/data/1973266/000197326624000013/,-173580000,https://www.sec.gov/Archives/edgar/data/1973266/000119312526071651/,13
TKO Group Holdings,TKO,2024Q1,2024-03-31,분기별 영업활동현금흐름,재작성 반영,59337000,공시,https://www.sec.gov/Archives/edgar/data/1973266/000197326624000013/,44873000,https://www.sec.gov/Archives/edgar/data/1973266/000095017025067220/,13
TKO Group Holdings,TKO,2024Q1,2024-03-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),12722266000,공시,https://www.sec.gov/Archives/edgar/data/1973266/000197326624000013/,,https://www.sec.gov/Archives/edgar/data/1973266/000197326624000013/,13
TKO Group Holdings,TKO,2024Q1,2024-03-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),4091884000,공시,https://www.sec.gov/Archives/edgar/data/1973266/000197326624000013/,,https://www.sec.gov/Archives/edgar/data/1973266/000197326624000013/,13
TKO Group Holdings,TKO,2024Q1,2024-03-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),8618028000,공시,https://www.sec.gov/Archives/edgar/data/1973266/000197326624000013/,,https://www.sec.gov/Archives/edgar/data/1973266/000197326624000013/,13
TKO Group Holdings,TKO,2024Q1,2024-03-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),4034777000,공시,https://www.sec.gov/Archives/edgar/data/1973266/000197326624000013/,,https://www.sec.gov/Archives/edgar/data/1973266/000197326624000013/,13
TKO Group Holdings,TKO,2024Q2,2024-06-30,분기별 매출액,재작성 반영,851161000,공시,https://www.sec.gov/Archives/edgar/data/1973266/000197326624000021/,1193191000,https://www.sec.gov/Archives/edgar/data/1973266/000119312526071651/,13
TKO Group Holdings,TKO,2024Q2,2024-06-30,분기별 영업이익,재작성 반영,254948000,공시,https://www.sec.gov/Archives/edgar/data/1973266/000197326624000021/,114856000,https://www.sec.gov/Archives/edgar/data/1973266/000119312526071651/,13
TKO Group Holdings,TKO,2024Q2,2024-06-30,분기별 영업활동현금흐름,재작성 반영,230703000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1973266/000197326624000021/ ; https://www.sec.gov/Archives/edgar/data/1973266/000197326624000013/,307129000,https://www.sec.gov/Archives/edgar/data/1973266/000095017025104095/ ; https://www.sec.gov/Archives/edgar/data/1973266/000095017025067220/,13
