기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
T-Mobile US,TMUS,2010Q4,2010-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),7918580000,공시,https://www.sec.gov/Archives/edgar/data/1283699/000119312511051403/,,https://www.sec.gov/Archives/edgar/data/1283699/000119312511051403/,5
T-Mobile US,TMUS,2010Q4,2010-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),5377004000,공시,https://www.sec.gov/Archives/edgar/data/1283699/000119312511051403/,,https://www.sec.gov/Archives/edgar/data/1283699/000119312511051403/,5
T-Mobile US,TMUS,2010Q4,2010-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),2541576000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1283699/000119312511051403/,,https://www.sec.gov/Archives/edgar/data/1283699/000119312511051403/,5
T-Mobile US,TMUS,2011Q4,2011-12-31,분기별 영업이익,재작성 반영,215115000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1283699/000144530512000521/ ; https://www.sec.gov/Archives/edgar/data/1283699/000144530511003134/,-4811423000,https://www.sec.gov/Archives/edgar/data/1283699/000128369914000012/ ; https://www.sec.gov/Archives/edgar/data/1283699/000144530511003134/,5
T-Mobile US,TMUS,2011Q4,2011-12-31,분기별 당기순이익(지배),재작성 반영,91270000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1283699/000144530512000521/ ; https://www.sec.gov/Archives/edgar/data/1283699/000144530511003134/,-4928040000,https://www.sec.gov/Archives/edgar/data/1283699/000128369914000012/ ; https://www.sec.gov/Archives/edgar/data/1283699/000144530511003134/,5
T-Mobile US,TMUS,2011Q4,2011-12-31,분기별 영업활동현금흐름,재작성 반영,308148000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1283699/000144530512000521/ ; https://www.sec.gov/Archives/edgar/data/1283699/000144530511003134/,4226340000,https://www.sec.gov/Archives/edgar/data/1283699/000128369914000012/ ; https://www.sec.gov/Archives/edgar/data/1283699/000144530511003134/,5
T-Mobile US,TMUS,2011Q4,2011-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),9482931000,공시,https://www.sec.gov/Archives/edgar/data/1283699/000144530512000521/,,https://www.sec.gov/Archives/edgar/data/1283699/000144530512000521/,5
T-Mobile US,TMUS,2011Q4,2011-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),6555331000,공시,https://www.sec.gov/Archives/edgar/data/1283699/000144530512000521/,,https://www.sec.gov/Archives/edgar/data/1283699/000144530512000521/,5
T-Mobile US,TMUS,2011Q4,2011-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),2927600000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1283699/000144530512000521/,,https://www.sec.gov/Archives/edgar/data/1283699/000144530512000521/,5
T-Mobile US,TMUS,2012Q1,2012-03-31,분기별 영업이익,재작성 반영,98267000,공시,https://www.sec.gov/Archives/edgar/data/1283699/000144530512001188/,497000000,https://www.sec.gov/Archives/edgar/data/1283699/000128369914000012/,5
T-Mobile US,TMUS,2012Q1,2012-03-31,분기별 당기순이익(지배),재작성 반영,21004000,공시,https://www.sec.gov/Archives/edgar/data/1283699/000144530512001188/,200000000,https://www.sec.gov/Archives/edgar/data/1283699/000128369914000012/,5
T-Mobile US,TMUS,2012Q2,2012-06-30,분기별 매출액,재작성 반영,1281180000,공시,https://www.sec.gov/Archives/edgar/data/1283699/000128369912000008/,4883000000,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000115/,5
T-Mobile US,TMUS,2012Q2,2012-06-30,분기별 영업이익,재작성 반영,311948000,공시,https://www.sec.gov/Archives/edgar/data/1283699/000128369912000008/,452000000,https://www.sec.gov/Archives/edgar/data/1283699/000128369914000012/,5
T-Mobile US,TMUS,2012Q2,2012-06-30,분기별 당기순이익(지배),재작성 반영,148835000,공시,https://www.sec.gov/Archives/edgar/data/1283699/000128369912000008/,207000000,https://www.sec.gov/Archives/edgar/data/1283699/000128369914000012/,5
T-Mobile US,TMUS,2012Q2,2012-06-30,분기별 영업활동현금흐름,재작성 반영,319666000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1283699/000128369912000008/ ; https://www.sec.gov/Archives/edgar/data/1283699/000144530512001188/,1772096000,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000115/ ; https://www.sec.gov/Archives/edgar/data/1283699/000144530512001188/,5
T-Mobile US,TMUS,2012Q3,2012-09-30,분기별 영업이익,재작성 반영,292238000,공시,https://www.sec.gov/Archives/edgar/data/1283699/000128369912000047/,-7593000000,https://www.sec.gov/Archives/edgar/data/1283699/000128369914000012/,5
T-Mobile US,TMUS,2012Q3,2012-09-30,분기별 당기순이익(지배),재작성 반영,192667000,공시,https://www.sec.gov/Archives/edgar/data/1283699/000128369912000047/,-7735000000,https://www.sec.gov/Archives/edgar/data/1283699/000128369914000012/,5
T-Mobile US,TMUS,2012Q3,2012-09-30,분기별 영업활동현금흐름,재작성 반영,391898000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1283699/000128369912000047/ ; https://www.sec.gov/Archives/edgar/data/1283699/000128369912000008/,798000000,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000127/ ; https://www.sec.gov/Archives/edgar/data/1283699/000128369913000115/,5
T-Mobile US,TMUS,2012Q4,2012-12-31,분기별 영업이익,재작성 반영,121515000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1283699/000128369913000031/ ; https://www.sec.gov/Archives/edgar/data/1283699/000128369912000047/,247000000,https://www.sec.gov/Archives/edgar/data/1283699/000128369915000010/ ; https://www.sec.gov/Archives/edgar/data/1283699/000128369913000127/,5
T-Mobile US,TMUS,2012Q4,2012-12-31,분기별 당기순이익(지배),재작성 반영,31665000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1283699/000128369913000031/ ; https://www.sec.gov/Archives/edgar/data/1283699/000128369912000047/,-8000000,https://www.sec.gov/Archives/edgar/data/1283699/000128369915000010/ ; https://www.sec.gov/Archives/edgar/data/1283699/000128369913000127/,5
T-Mobile US,TMUS,2012Q4,2012-12-31,분기별 영업활동현금흐름,재작성 반영,332983000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1283699/000128369913000031/ ; https://www.sec.gov/Archives/edgar/data/1283699/000128369912000047/,1155000000,https://www.sec.gov/Archives/edgar/data/1283699/000128369915000010/ ; https://www.sec.gov/Archives/edgar/data/1283699/000128369913000127/,5
T-Mobile US,TMUS,2012Q4,2012-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),10189415000,공시,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000031/,,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000031/,5
T-Mobile US,TMUS,2012Q4,2012-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),6830508000,공시,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000031/,,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000031/,5
T-Mobile US,TMUS,2012Q4,2012-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),3358907000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1283699/000128369913000031/,,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000031/,5
T-Mobile US,TMUS,2013Q1,2013-03-31,분기별 영업이익,재작성 반영,107828000,공시,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000088/,379000000,https://www.sec.gov/Archives/edgar/data/1283699/000128369915000010/,5
T-Mobile US,TMUS,2013Q1,2013-03-31,분기별 당기순이익(지배),재작성 반영,19396000,공시,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000088/,107000000,https://www.sec.gov/Archives/edgar/data/1283699/000128369915000010/,5
T-Mobile US,TMUS,2013Q1,2013-03-31,분기별 영업활동현금흐름,재작성 반영,223451000,공시,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000088/,909000000,https://www.sec.gov/Archives/edgar/data/1283699/000128369914000022/,5
T-Mobile US,TMUS,2013Q2,2013-06-30,분기별 영업활동현금흐름,재작성 반영,1491549000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1283699/000128369913000115/ ; https://www.sec.gov/Archives/edgar/data/1283699/000128369913000088/,806000000,https://www.sec.gov/Archives/edgar/data/1283699/000128369913000115/ ; https://www.sec.gov/Archives/edgar/data/1283699/000128369914000022/,5
