기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Tapestry,TPR,2018Q2,2018-06-30,분기별 영업이익,재작성 반영,187200000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1116132/000111613218000021/ ; https://www.sec.gov/Archives/edgar/data/1116132/000111613218000017/,188400000,https://www.sec.gov/Archives/edgar/data/1116132/000111613220000022/ ; https://www.sec.gov/Archives/edgar/data/1116132/000111613218000017/,16
Tapestry,TPR,2018Q2,2018-06-30,분기별 영업활동현금흐름,재작성 반영,410200000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1116132/000111613218000021/ ; https://www.sec.gov/Archives/edgar/data/1116132/000111613218000017/,411000000,https://www.sec.gov/Archives/edgar/data/1116132/000111613220000022/ ; https://www.sec.gov/Archives/edgar/data/1116132/000111613218000017/,16
Tapestry,TPR,2018Q3,2018-09-29,분기별 영업이익,재작성 반영,157700000,공시,https://www.sec.gov/Archives/edgar/data/1116132/000111613218000027/,162300000,https://www.sec.gov/Archives/edgar/data/1116132/000111613219000021/,16
Tapestry,TPR,2018Q3,2018-09-29,분기별 영업활동현금흐름,재작성 반영,-19300000,공시,https://www.sec.gov/Archives/edgar/data/1116132/000111613218000027/,-19100000,https://www.sec.gov/Archives/edgar/data/1116132/000111613219000021/,16
Tapestry,TPR,2018Q4,2018-12-29,분기별 영업이익,재작성 반영,380700000,공시,https://www.sec.gov/Archives/edgar/data/1116132/000111613219000007/,376500000,https://www.sec.gov/Archives/edgar/data/1116132/000111613220000007/,16
Tapestry,TPR,2018Q4,2018-12-29,분기별 영업활동현금흐름,재작성 반영,618300000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1116132/000111613219000007/ ; https://www.sec.gov/Archives/edgar/data/1116132/000111613218000027/,618400000,https://www.sec.gov/Archives/edgar/data/1116132/000111613220000007/ ; https://www.sec.gov/Archives/edgar/data/1116132/000111613219000021/,16
Tapestry,TPR,2019Q1,2019-03-30,분기별 영업이익,재작성 반영,105800000,공시,https://www.sec.gov/Archives/edgar/data/1116132/000111613219000010/,109800000,https://www.sec.gov/Archives/edgar/data/1116132/000111613220000012/,16
Tapestry,TPR,2019Q1,2019-03-30,분기별 영업활동현금흐름,재작성 반영,3200000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1116132/000111613219000010/ ; https://www.sec.gov/Archives/edgar/data/1116132/000111613219000007/,3500000,https://www.sec.gov/Archives/edgar/data/1116132/000111613220000012/ ; https://www.sec.gov/Archives/edgar/data/1116132/000111613220000007/,16
Tapestry,TPR,2019Q2,2019-06-29,분기별 영업이익,재작성 반영,169900000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1116132/000111613219000016/ ; https://www.sec.gov/Archives/edgar/data/1116132/000111613219000010/,171100000,https://www.sec.gov/Archives/edgar/data/1116132/000111613221000020/ ; https://www.sec.gov/Archives/edgar/data/1116132/000111613220000012/,16
Tapestry,TPR,2019Q2,2019-06-29,분기별 영업활동현금흐름,재작성 반영,189500000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1116132/000111613219000016/ ; https://www.sec.gov/Archives/edgar/data/1116132/000111613219000010/,189600000,https://www.sec.gov/Archives/edgar/data/1116132/000111613221000020/ ; https://www.sec.gov/Archives/edgar/data/1116132/000111613220000012/,16
