기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Targa Resources,TRGP,2010Q1,,분기별 매출액,데이터 없음(최초 보고기간 이전),USD,데이터 없음(최초 보고기간 전),https://data.sec.gov/submissions/CIK0001389170.json (최초 보고기간 2010Q3),,9
Targa Resources,TRGP,2010Q1,,분기별 영업이익,데이터 없음(최초 보고기간 이전),USD,데이터 없음(최초 보고기간 전),https://data.sec.gov/submissions/CIK0001389170.json (최초 보고기간 2010Q3),,9
Targa Resources,TRGP,2010Q1,,분기별 당기순이익(지배),데이터 없음(최초 보고기간 이전),USD,데이터 없음(최초 보고기간 전),https://data.sec.gov/submissions/CIK0001389170.json (최초 보고기간 2010Q3),,9
Targa Resources,TRGP,2010Q1,,분기별 영업활동현금흐름,데이터 없음(최초 보고기간 이전),USD,데이터 없음(최초 보고기간 전),https://data.sec.gov/submissions/CIK0001389170.json (최초 보고기간 2010Q3),,9
Targa Resources,TRGP,2010Q1,,분기말 자산총계,데이터 없음(최초 보고기간 이전),USD,데이터 없음(최초 보고기간 전),https://data.sec.gov/submissions/CIK0001389170.json (최초 보고기간 2010Q3),,9
Targa Resources,TRGP,2010Q1,,분기말 부채총계,데이터 없음(최초 보고기간 이전),USD,데이터 없음(최초 보고기간 전),https://data.sec.gov/submissions/CIK0001389170.json (최초 보고기간 2010Q3),,9
Targa Resources,TRGP,2010Q1,,분기말 총자본(자기자본),데이터 없음(최초 보고기간 이전),USD,데이터 없음(최초 보고기간 전),https://data.sec.gov/submissions/CIK0001389170.json (최초 보고기간 2010Q3),,9
Targa Resources,TRGP,2010Q1,,분기말 지배지분 자본,데이터 없음(최초 보고기간 이전),USD,데이터 없음(최초 보고기간 전),https://data.sec.gov/submissions/CIK0001389170.json (최초 보고기간 2010Q3),,9
Targa Resources,TRGP,2010Q1,,분기말 종가,데이터 없음(상장 전),,데이터 없음(상장 전),https://query1.finance.yahoo.com/v8/finance/chart/TRGP (최초 거래일 이전),,9
Targa Resources,TRGP,2010Q1,,분기말 상장주식수,데이터 없음(상장 전),,데이터 없음(상장 전),https://query1.finance.yahoo.com/v8/finance/chart/TRGP (최초 거래일 이전),,9
Targa Resources,TRGP,2010Q1,,분기말 시가총액,데이터 없음(상장 전),,데이터 없음(상장 전),https://query1.finance.yahoo.com/v8/finance/chart/TRGP (최초 거래일 이전),,9
Targa Resources,TRGP,2010Q2,,분기별 매출액,데이터 없음(최초 보고기간 이전),USD,데이터 없음(최초 보고기간 전),https://data.sec.gov/submissions/CIK0001389170.json (최초 보고기간 2010Q3),,9
Targa Resources,TRGP,2010Q2,,분기별 영업이익,데이터 없음(최초 보고기간 이전),USD,데이터 없음(최초 보고기간 전),https://data.sec.gov/submissions/CIK0001389170.json (최초 보고기간 2010Q3),,9
Targa Resources,TRGP,2010Q2,,분기별 당기순이익(지배),데이터 없음(최초 보고기간 이전),USD,데이터 없음(최초 보고기간 전),https://data.sec.gov/submissions/CIK0001389170.json (최초 보고기간 2010Q3),,9
Targa Resources,TRGP,2010Q2,,분기별 영업활동현금흐름,데이터 없음(최초 보고기간 이전),USD,데이터 없음(최초 보고기간 전),https://data.sec.gov/submissions/CIK0001389170.json (최초 보고기간 2010Q3),,9
Targa Resources,TRGP,2010Q2,,분기말 자산총계,데이터 없음(최초 보고기간 이전),USD,데이터 없음(최초 보고기간 전),https://data.sec.gov/submissions/CIK0001389170.json (최초 보고기간 2010Q3),,9
Targa Resources,TRGP,2010Q2,,분기말 부채총계,데이터 없음(최초 보고기간 이전),USD,데이터 없음(최초 보고기간 전),https://data.sec.gov/submissions/CIK0001389170.json (최초 보고기간 2010Q3),,9
Targa Resources,TRGP,2010Q2,,분기말 총자본(자기자본),데이터 없음(최초 보고기간 이전),USD,데이터 없음(최초 보고기간 전),https://data.sec.gov/submissions/CIK0001389170.json (최초 보고기간 2010Q3),,9
Targa Resources,TRGP,2010Q2,,분기말 지배지분 자본,데이터 없음(최초 보고기간 이전),USD,데이터 없음(최초 보고기간 전),https://data.sec.gov/submissions/CIK0001389170.json (최초 보고기간 2010Q3),,9
Targa Resources,TRGP,2010Q2,,분기말 종가,데이터 없음(상장 전),,데이터 없음(상장 전),https://query1.finance.yahoo.com/v8/finance/chart/TRGP (최초 거래일 이전),,9
Targa Resources,TRGP,2010Q2,,분기말 상장주식수,데이터 없음(상장 전),,데이터 없음(상장 전),https://query1.finance.yahoo.com/v8/finance/chart/TRGP (최초 거래일 이전),,9
Targa Resources,TRGP,2010Q2,,분기말 시가총액,데이터 없음(상장 전),,데이터 없음(상장 전),https://query1.finance.yahoo.com/v8/finance/chart/TRGP (최초 거래일 이전),,9
Targa Resources,TRGP,2010Q3,2010-12-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1389170/000138917011000005/,,9
Targa Resources,TRGP,2010Q3,2010-12-31,분기별 영업이익,49600000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1389170/000138917012000011/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2012-03-20 제출본의 비교기간에서 읽었다,9
Targa Resources,TRGP,2010Q3,2010-12-31,분기별 당기순이익(지배),-7800000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1389170/000138917012000011/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2012-03-20 제출본의 비교기간에서 읽었다,9
Targa Resources,TRGP,2010Q3,2010-12-31,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1389170/000138917011000005/,,9
Targa Resources,TRGP,2010Q3,2010-12-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1389170/000138917011000005/,,9
Targa Resources,TRGP,2010Q3,2010-12-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1389170/000138917011000005/,,9
Targa Resources,TRGP,2010Q3,2010-12-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1389170/000138917011000005/,,9
Targa Resources,TRGP,2010Q3,2010-12-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1389170/000138917011000005/,,9
Targa Resources,TRGP,2010Q3,2010-12-31,분기말 종가,26.81,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/TRGP?interval=1d&events=splits (2010-12-31),,9
Targa Resources,TRGP,2010Q3,2010-12-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,9
Targa Resources,TRGP,2010Q3,2010-12-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,9
