기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Tractor Supply,TSCO,2010Q1,2010-09-25,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636510000028/,,22
Tractor Supply,TSCO,2010Q1,2010-09-25,분기별 영업이익,50858000,USD,공시,https://www.sec.gov/Archives/edgar/data/916365/000091636510000028/,,22
Tractor Supply,TSCO,2010Q1,2010-09-25,분기별 당기순이익(지배),32017000,USD,공시,https://www.sec.gov/Archives/edgar/data/916365/000091636510000028/,,22
Tractor Supply,TSCO,2010Q1,2010-09-25,분기별 영업활동현금흐름,23536000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/916365/000091636510000028/ ; https://www.sec.gov/Archives/edgar/data/916365/000091636510000020/,누적 94517000 − 직전누적 70981000 (시작 2009-12-27),22
Tractor Supply,TSCO,2010Q1,2010-09-25,분기말 자산총계,1487968000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/916365/000091636511000054/,원 공시 1428058000 (https://www.sec.gov/Archives/edgar/data/916365/000091636510000028/),22
Tractor Supply,TSCO,2010Q1,2010-09-25,분기말 부채총계,595726000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/916365/000091636511000054/,원 공시 581715000 (https://www.sec.gov/Archives/edgar/data/916365/000091636510000028/),22
Tractor Supply,TSCO,2010Q1,2010-09-25,분기말 총자본(자기자본),892242000,USD,공시(비지배 없음)(재작성 반영),https://www.sec.gov/Archives/edgar/data/916365/000091636511000054/,"StockholdersEquity, MinorityInterest 태그 없음 ; 원 공시 846343000 (https://www.sec.gov/Archives/edgar/data/916365/000091636510000028/)",22
Tractor Supply,TSCO,2010Q1,2010-09-25,분기말 지배지분 자본,892242000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/916365/000091636511000054/,원 공시 846343000 (https://www.sec.gov/Archives/edgar/data/916365/000091636510000028/),22
Tractor Supply,TSCO,2010Q1,2010-09-24,분기말 종가,38.59,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/TSCO?interval=1d&events=splits (2010-09-24),분할조정 종가 3.859 × 이후 분할계수 10,22
Tractor Supply,TSCO,2010Q1,2010-10-23,분기말 상장주식수,72911934,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/916365/000091636510000028/,dei:EntityCommonStockSharesOutstanding 클래스 합,22
Tractor Supply,TSCO,2010Q1,2010-09-24,분기말 시가총액,2813671533,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/TSCO?interval=1d&events=splits (2010-09-24) ; https://www.sec.gov/Archives/edgar/data/916365/000091636510000028/,종가 38.59 × 주식수 72911934,22
Tractor Supply,TSCO,2010Q2,,분기별 매출액,미확인,,미확인,해당 라벨 보고서 없음,,22
Tractor Supply,TSCO,2010Q2,,분기별 영업이익,미확인,,미확인,해당 라벨 보고서 없음,,22
Tractor Supply,TSCO,2010Q2,,분기별 당기순이익(지배),미확인,,미확인,해당 라벨 보고서 없음,,22
Tractor Supply,TSCO,2010Q2,,분기별 영업활동현금흐름,미확인,,미확인,해당 라벨 보고서 없음,,22
Tractor Supply,TSCO,2010Q2,,분기말 자산총계,미확인,,미확인,해당 라벨 보고서 없음,,22
Tractor Supply,TSCO,2010Q2,,분기말 부채총계,미확인,,미확인,해당 라벨 보고서 없음,,22
Tractor Supply,TSCO,2010Q2,,분기말 총자본(자기자본),미확인,,미확인,해당 라벨 보고서 없음,,22
Tractor Supply,TSCO,2010Q2,,분기말 지배지분 자본,미확인,,미확인,해당 라벨 보고서 없음,,22
Tractor Supply,TSCO,2010Q2,,분기말 종가,미확인,,미확인,해당 라벨 보고서 없음,,22
Tractor Supply,TSCO,2010Q2,,분기말 상장주식수,미확인,,미확인,해당 라벨 보고서 없음,,22
Tractor Supply,TSCO,2010Q2,,분기말 시가총액,미확인,,미확인,해당 라벨 보고서 없음,,22
Tractor Supply,TSCO,2010Q3,2011-02-23,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000013/,,22
Tractor Supply,TSCO,2010Q3,2011-02-23,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000013/,,22
Tractor Supply,TSCO,2010Q3,2011-02-23,분기별 당기순이익(지배),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000013/,,22
Tractor Supply,TSCO,2010Q3,2011-02-23,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000013/,,22
Tractor Supply,TSCO,2010Q3,2011-02-23,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000013/,,22
Tractor Supply,TSCO,2010Q3,2011-02-23,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000013/,,22
Tractor Supply,TSCO,2010Q3,2011-02-23,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000013/,,22
Tractor Supply,TSCO,2010Q3,2011-02-23,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000013/,,22
Tractor Supply,TSCO,2010Q3,2011-02-23,분기말 종가,50.29,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/TSCO?interval=1d&events=splits (2011-02-23),분할조정 종가 5.029 × 이후 분할계수 10,22
Tractor Supply,TSCO,2010Q3,2010-07-24,분기말 상장주식수,36299512,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/916365/000091636511000013/,dei:EntityCommonStockSharesOutstanding 클래스 합,22
Tractor Supply,TSCO,2010Q3,2011-02-23,분기말 시가총액,1825502458,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/TSCO?interval=1d&events=splits (2011-02-23) ; https://www.sec.gov/Archives/edgar/data/916365/000091636511000013/,종가 50.29 × 주식수 36299512,22
Tractor Supply,TSCO,2010Q4,2011-05-03,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000030/,,22
Tractor Supply,TSCO,2010Q4,2011-05-03,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000030/,,22
Tractor Supply,TSCO,2010Q4,2011-05-03,분기별 당기순이익(지배),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000030/,,22
Tractor Supply,TSCO,2010Q4,2011-05-03,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000030/,,22
Tractor Supply,TSCO,2010Q4,2011-05-03,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000030/,,22
Tractor Supply,TSCO,2010Q4,2011-05-03,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000030/,,22
Tractor Supply,TSCO,2010Q4,2011-05-03,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000030/,,22
Tractor Supply,TSCO,2010Q4,2011-05-03,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000030/,,22
Tractor Supply,TSCO,2010Q4,2011-05-03,분기말 종가,59.51,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/TSCO?interval=1d&events=splits (2011-05-03),분할조정 종가 5.951 × 이후 분할계수 10,22
Tractor Supply,TSCO,2010Q4,2011-04-23,분기말 상장주식수,72244620,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/916365/000091636511000030/,dei:EntityCommonStockSharesOutstanding 클래스 합,22
Tractor Supply,TSCO,2010Q4,2011-05-03,분기말 시가총액,4299277336,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/TSCO?interval=1d&events=splits (2011-05-03) ; https://www.sec.gov/Archives/edgar/data/916365/000091636511000030/,종가 59.51 × 주식수 72244620,22
Tractor Supply,TSCO,2011Q1,2011-08-04,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000040/,,22
Tractor Supply,TSCO,2011Q1,2011-08-04,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000040/,,22
Tractor Supply,TSCO,2011Q1,2011-08-04,분기별 당기순이익(지배),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000040/,,22
Tractor Supply,TSCO,2011Q1,2011-08-04,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000040/,,22
Tractor Supply,TSCO,2011Q1,2011-08-04,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000040/,,22
Tractor Supply,TSCO,2011Q1,2011-08-04,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000040/,,22
Tractor Supply,TSCO,2011Q1,2011-08-04,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000040/,,22
Tractor Supply,TSCO,2011Q1,2011-08-04,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000040/,,22
Tractor Supply,TSCO,2011Q1,2011-08-04,분기말 종가,60.77,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/TSCO?interval=1d&events=splits (2011-08-04),분할조정 종가 6.077 × 이후 분할계수 10,22
Tractor Supply,TSCO,2011Q1,2011-07-23,분기말 상장주식수,71407144,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/916365/000091636511000040/,dei:EntityCommonStockSharesOutstanding 클래스 합,22
Tractor Supply,TSCO,2011Q1,2011-08-04,분기말 시가총액,4339412141,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/TSCO?interval=1d&events=splits (2011-08-04) ; https://www.sec.gov/Archives/edgar/data/916365/000091636511000040/,종가 60.77 × 주식수 71407144,22
Tractor Supply,TSCO,2011Q2,2011-11-03,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000054/,,22
Tractor Supply,TSCO,2011Q2,2011-11-03,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000054/,,22
Tractor Supply,TSCO,2011Q2,2011-11-03,분기별 당기순이익(지배),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000054/,,22
Tractor Supply,TSCO,2011Q2,2011-11-03,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000054/,,22
Tractor Supply,TSCO,2011Q2,2011-11-03,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000054/,,22
Tractor Supply,TSCO,2011Q2,2011-11-03,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000054/,,22
Tractor Supply,TSCO,2011Q2,2011-11-03,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000054/,,22
Tractor Supply,TSCO,2011Q2,2011-11-03,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/916365/000091636511000054/,,22
Tractor Supply,TSCO,2011Q2,2011-11-03,분기말 종가,72.77,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/TSCO?interval=1d&events=splits (2011-11-03),분할조정 종가 7.277 × 이후 분할계수 10,22
Tractor Supply,TSCO,2011Q2,2011-10-22,분기말 상장주식수,71024867,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/916365/000091636511000054/,dei:EntityCommonStockSharesOutstanding 클래스 합,22
