기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Take-Two Interactive,TTWO,2010Q1,2010-04-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/946581/000104746910005839/,,12
Take-Two Interactive,TTWO,2010Q1,2010-04-30,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/946581/000104746910005839/,,12
Take-Two Interactive,TTWO,2010Q1,2010-04-30,분기별 당기순이익(지배),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/946581/000104746910005839/,,12
Take-Two Interactive,TTWO,2010Q1,2010-04-30,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/946581/000104746910005839/,,12
Take-Two Interactive,TTWO,2010Q1,2010-04-30,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/946581/000104746910005839/,,12
Take-Two Interactive,TTWO,2010Q1,2010-04-30,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/946581/000104746910005839/,,12
Take-Two Interactive,TTWO,2010Q1,2010-04-30,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/946581/000104746910005839/,,12
Take-Two Interactive,TTWO,2010Q1,2010-04-30,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/946581/000104746910005839/,,12
Take-Two Interactive,TTWO,2010Q1,2010-04-30,분기말 종가,10.85,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/TTWO?interval=1d&events=splits (2010-04-30),,12
Take-Two Interactive,TTWO,2010Q1,2010-04-30,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,12
Take-Two Interactive,TTWO,2010Q1,2010-04-30,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,12
Take-Two Interactive,TTWO,2010Q2,2010-07-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/946581/000104746910007879/,,12
Take-Two Interactive,TTWO,2010Q2,2010-07-31,분기별 영업이익,20685000,USD,공시,https://www.sec.gov/Archives/edgar/data/946581/000104746910007879/,,12
Take-Two Interactive,TTWO,2010Q2,2010-07-31,분기별 당기순이익(지배),5920000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/946581/000104746910007879/,,12
Take-Two Interactive,TTWO,2010Q2,2010-07-31,분기별 영업활동현금흐름,데이터 없음(직전 분기 누적 보고서 없음),USD,데이터 없음(직전 보고서 없음),https://www.sec.gov/Archives/edgar/data/946581/000104746910007879/,,12
Take-Two Interactive,TTWO,2010Q2,2010-07-31,분기말 자산총계,944159000,USD,공시,https://www.sec.gov/Archives/edgar/data/946581/000104746910007879/,,12
Take-Two Interactive,TTWO,2010Q2,2010-07-31,분기말 부채총계,395961000,USD,공시,https://www.sec.gov/Archives/edgar/data/946581/000104746910007879/,,12
Take-Two Interactive,TTWO,2010Q2,2010-07-31,분기말 총자본(자기자본),548198000,USD,공시,https://www.sec.gov/Archives/edgar/data/946581/000104746910007879/,,12
Take-Two Interactive,TTWO,2010Q2,2010-07-31,분기말 지배지분 자본,548198000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/946581/000104746910007879/,"StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest, MinorityInterest 태그 없음",12
Take-Two Interactive,TTWO,2010Q2,2010-07-30,분기말 종가,10.25,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/TTWO?interval=1d&events=splits (2010-07-30),,12
