기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Texas Instruments,TXN,2011Q2,2011-06-30,분기별 영업활동현금흐름,재작성 반영,631000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/97476/000009747611000030/ ; https://www.sec.gov/Archives/edgar/data/97476/000114036111025120/,629000000,https://www.sec.gov/Archives/edgar/data/97476/000009747612000042/ ; https://www.sec.gov/Archives/edgar/data/97476/000114036111025120/,3
Texas Instruments,TXN,2011Q3,2011-09-30,분기별 영업활동현금흐름,재작성 반영,1138000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/97476/000009747611000055/ ; https://www.sec.gov/Archives/edgar/data/97476/000009747611000030/,1140000000,https://www.sec.gov/Archives/edgar/data/97476/000009747611000055/ ; https://www.sec.gov/Archives/edgar/data/97476/000009747612000042/,3
Texas Instruments,TXN,2012Q3,2012-09-30,분기별 영업활동현금흐름,재작성 반영,1202000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/97476/000009747612000056/ ; https://www.sec.gov/Archives/edgar/data/97476/000009747612000042/,1205000000,https://www.sec.gov/Archives/edgar/data/97476/000009747613000056/ ; https://www.sec.gov/Archives/edgar/data/97476/000009747612000042/,3
Texas Instruments,TXN,2012Q4,2012-12-31,분기별 영업활동현금흐름,재작성 반영,1088000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/97476/000009747613000009/ ; https://www.sec.gov/Archives/edgar/data/97476/000009747612000056/,1085000000,https://www.sec.gov/Archives/edgar/data/97476/000009747613000009/ ; https://www.sec.gov/Archives/edgar/data/97476/000009747613000056/,3
Texas Instruments,TXN,2014Q4,2014-12-31,분기별 영업활동현금흐름,재작성 반영,1272000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/97476/000009747615000003/ ; https://www.sec.gov/Archives/edgar/data/97476/000009747614000034/,1434000000,https://www.sec.gov/Archives/edgar/data/97476/000156459017002142/ ; https://www.sec.gov/Archives/edgar/data/97476/000009747614000034/,3
Texas Instruments,TXN,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,17722000000,공시,https://www.sec.gov/Archives/edgar/data/97476/000009747615000003/,17372000000,https://www.sec.gov/Archives/edgar/data/97476/000156459016013126/,3
Texas Instruments,TXN,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,7332000000,공시,https://www.sec.gov/Archives/edgar/data/97476/000009747615000003/,6982000000,https://www.sec.gov/Archives/edgar/data/97476/000156459016013126/,3
Texas Instruments,TXN,2015Q4,2015-12-31,분기별 영업이익,재작성 반영,1142000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/97476/000156459016013126/ ; https://www.sec.gov/Archives/edgar/data/97476/000156459015009541/,1190000000,https://www.sec.gov/Archives/edgar/data/97476/000156459018002832/ ; https://www.sec.gov/Archives/edgar/data/97476/000156459015009541/,3
Texas Instruments,TXN,2015Q4,2015-12-31,분기별 영업활동현금흐름,재작성 반영,1430000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/97476/000156459016013126/ ; https://www.sec.gov/Archives/edgar/data/97476/000156459015009541/,1559000000,https://www.sec.gov/Archives/edgar/data/97476/000156459018002832/ ; https://www.sec.gov/Archives/edgar/data/97476/000156459015009541/,3
Texas Instruments,TXN,2016Q1,2016-03-31,분기별 영업이익,재작성 반영,968000000,공시,https://www.sec.gov/Archives/edgar/data/97476/000156459016017570/,984000000,https://www.sec.gov/Archives/edgar/data/97476/000156459018002832/,3
Texas Instruments,TXN,2016Q1,2016-03-31,분기별 당기순이익(지배),재작성 반영,668000000,공시,https://www.sec.gov/Archives/edgar/data/97476/000156459016017570/,711000000,https://www.sec.gov/Archives/edgar/data/97476/000156459018002832/,3
Texas Instruments,TXN,2016Q1,2016-03-31,분기별 영업활동현금흐름,재작성 반영,547000000,공시,https://www.sec.gov/Archives/edgar/data/97476/000156459016017570/,653000000,https://www.sec.gov/Archives/edgar/data/97476/000156459017008260/,3
Texas Instruments,TXN,2016Q2,2016-06-30,분기별 영업이익,재작성 반영,1117000000,공시,https://www.sec.gov/Archives/edgar/data/97476/000156459016022552/,1131000000,https://www.sec.gov/Archives/edgar/data/97476/000156459018002832/,3
Texas Instruments,TXN,2016Q2,2016-06-30,분기별 당기순이익(지배),재작성 반영,779000000,공시,https://www.sec.gov/Archives/edgar/data/97476/000156459016022552/,819000000,https://www.sec.gov/Archives/edgar/data/97476/000156459018002832/,3
Texas Instruments,TXN,2016Q2,2016-06-30,분기별 영업활동현금흐름,재작성 반영,1069000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/97476/000156459016022552/ ; https://www.sec.gov/Archives/edgar/data/97476/000156459016017570/,1109000000,https://www.sec.gov/Archives/edgar/data/97476/000156459017015153/ ; https://www.sec.gov/Archives/edgar/data/97476/000156459017008260/,3
Texas Instruments,TXN,2016Q3,2016-09-30,분기별 영업이익,재작성 반영,1395000000,공시,https://www.sec.gov/Archives/edgar/data/97476/000156459016027067/,1408000000,https://www.sec.gov/Archives/edgar/data/97476/000156459018002832/,3
Texas Instruments,TXN,2016Q3,2016-09-30,분기별 당기순이익(지배),재작성 반영,968000000,공시,https://www.sec.gov/Archives/edgar/data/97476/000156459016027067/,1018000000,https://www.sec.gov/Archives/edgar/data/97476/000156459018002832/,3
Texas Instruments,TXN,2016Q3,2016-09-30,분기별 영업활동현금흐름,재작성 반영,1413000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/97476/000156459016027067/ ; https://www.sec.gov/Archives/edgar/data/97476/000156459016022552/,1465000000,https://www.sec.gov/Archives/edgar/data/97476/000156459017021032/ ; https://www.sec.gov/Archives/edgar/data/97476/000156459017015153/,3
Texas Instruments,TXN,2016Q4,2016-12-31,분기별 영업이익,재작성 반영,1319000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/97476/000156459017002142/ ; https://www.sec.gov/Archives/edgar/data/97476/000156459016027067/,1332000000,https://www.sec.gov/Archives/edgar/data/97476/000156459019003839/ ; https://www.sec.gov/Archives/edgar/data/97476/000156459017021032/,3
Texas Instruments,TXN,2016Q4,2016-12-31,분기별 당기순이익(지배),재작성 반영,1180000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/97476/000156459017002142/ ; https://www.sec.gov/Archives/edgar/data/97476/000156459016027067/,1047000000,https://www.sec.gov/Archives/edgar/data/97476/000156459017002142/ ; https://www.sec.gov/Archives/edgar/data/97476/000156459017021032/,3
Texas Instruments,TXN,2016Q4,2016-12-31,분기별 영업활동현금흐름,재작성 반영,1585000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/97476/000156459017002142/ ; https://www.sec.gov/Archives/edgar/data/97476/000156459016027067/,1387000000,https://www.sec.gov/Archives/edgar/data/97476/000156459017002142/ ; https://www.sec.gov/Archives/edgar/data/97476/000156459017021032/,3
