기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Texas Instruments,TXN,2010Q1,2010-03-31,분기별 매출액,3205000000,USD,공시,https://www.sec.gov/Archives/edgar/data/97476/000114036110018271/,,3
Texas Instruments,TXN,2010Q1,2010-03-31,분기별 영업이익,950000000,USD,공시,https://www.sec.gov/Archives/edgar/data/97476/000114036110018271/,,3
Texas Instruments,TXN,2010Q1,2010-03-31,분기별 당기순이익(지배),658000000,USD,공시,https://www.sec.gov/Archives/edgar/data/97476/000114036110018271/,,3
Texas Instruments,TXN,2010Q1,2010-03-31,분기별 영업활동현금흐름,710000000,USD,공시,https://www.sec.gov/Archives/edgar/data/97476/000114036110018271/,,3
Texas Instruments,TXN,2010Q1,2010-03-31,분기말 자산총계,12370000000,USD,공시,https://www.sec.gov/Archives/edgar/data/97476/000114036110018271/,,3
Texas Instruments,TXN,2010Q1,2010-03-31,분기말 부채총계,2565000000,USD,공시,https://www.sec.gov/Archives/edgar/data/97476/000114036110018271/,,3
Texas Instruments,TXN,2010Q1,2010-03-31,분기말 총자본(자기자본),9805000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/97476/000114036110018271/,"StockholdersEquity, MinorityInterest 태그 없음",3
Texas Instruments,TXN,2010Q1,2010-03-31,분기말 지배지분 자본,9805000000,USD,공시,https://www.sec.gov/Archives/edgar/data/97476/000114036110018271/,,3
Texas Instruments,TXN,2010Q1,2010-03-31,분기말 종가,24.47,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/TXN?interval=1d&events=splits (2010-03-31),,3
Texas Instruments,TXN,2010Q1,2010-03-31,분기말 상장주식수,1222226383,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/97476/000114036110018271/,dei:EntityCommonStockSharesOutstanding 클래스 합,3
Texas Instruments,TXN,2010Q1,2010-03-31,분기말 시가총액,29907879592,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/TXN?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/97476/000114036110018271/,종가 24.47 × 주식수 1222226383,3
Texas Instruments,TXN,2010Q2,2010-06-30,분기별 매출액,3496000000,USD,공시,https://www.sec.gov/Archives/edgar/data/97476/000114036110030855/,,3
Texas Instruments,TXN,2010Q2,2010-06-30,분기별 영업이익,1107000000,USD,공시,https://www.sec.gov/Archives/edgar/data/97476/000114036110030855/,,3
Texas Instruments,TXN,2010Q2,2010-06-30,분기별 당기순이익(지배),769000000,USD,공시,https://www.sec.gov/Archives/edgar/data/97476/000114036110030855/,,3
Texas Instruments,TXN,2010Q2,2010-06-30,분기별 영업활동현금흐름,562000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/97476/000114036110030855/ ; https://www.sec.gov/Archives/edgar/data/97476/000114036110018271/,누적 1272000000 − 직전누적 710000000 (시작 2010-01-01),3
Texas Instruments,TXN,2010Q2,2010-06-30,분기말 자산총계,12164000000,USD,공시,https://www.sec.gov/Archives/edgar/data/97476/000114036110030855/,,3
Texas Instruments,TXN,2010Q2,2010-06-30,분기말 부채총계,2409000000,USD,공시,https://www.sec.gov/Archives/edgar/data/97476/000114036110030855/,,3
Texas Instruments,TXN,2010Q2,2010-06-30,분기말 총자본(자기자본),9755000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/97476/000114036110030855/,"StockholdersEquity, MinorityInterest 태그 없음",3
Texas Instruments,TXN,2010Q2,2010-06-30,분기말 지배지분 자본,9755000000,USD,공시,https://www.sec.gov/Archives/edgar/data/97476/000114036110030855/,,3
Texas Instruments,TXN,2010Q2,2010-06-30,분기말 종가,23.28,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/TXN?interval=1d&events=splits (2010-06-30),,3
Texas Instruments,TXN,2010Q2,2010-06-30,분기말 상장주식수,1195195435,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/97476/000114036110030855/,dei:EntityCommonStockSharesOutstanding 클래스 합,3
Texas Instruments,TXN,2010Q2,2010-06-30,분기말 시가총액,27824149727,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/TXN?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/97476/000114036110030855/,종가 23.28 × 주식수 1195195435,3
Texas Instruments,TXN,2010Q3,2010-09-30,분기별 매출액,3740000000,USD,공시,https://www.sec.gov/Archives/edgar/data/97476/000114036110043558/,,3
Texas Instruments,TXN,2010Q3,2010-09-30,분기별 영업이익,1227000000,USD,공시,https://www.sec.gov/Archives/edgar/data/97476/000114036110043558/,,3
Texas Instruments,TXN,2010Q3,2010-09-30,분기별 당기순이익(지배),859000000,USD,공시,https://www.sec.gov/Archives/edgar/data/97476/000114036110043558/,,3
Texas Instruments,TXN,2010Q3,2010-09-30,분기별 영업활동현금흐름,1318000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/97476/000114036110043558/ ; https://www.sec.gov/Archives/edgar/data/97476/000114036110030855/,누적 2590000000 − 직전누적 1272000000 (시작 2010-01-01),3
Texas Instruments,TXN,2010Q3,2010-09-30,분기말 자산총계,12649000000,USD,공시,https://www.sec.gov/Archives/edgar/data/97476/000114036110043558/,,3
Texas Instruments,TXN,2010Q3,2010-09-30,분기말 부채총계,2687000000,USD,공시,https://www.sec.gov/Archives/edgar/data/97476/000114036110043558/,,3
Texas Instruments,TXN,2010Q3,2010-09-30,분기말 총자본(자기자본),9962000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/97476/000114036110043558/,"StockholdersEquity, MinorityInterest 태그 없음",3
Texas Instruments,TXN,2010Q3,2010-09-30,분기말 지배지분 자본,9962000000,USD,공시,https://www.sec.gov/Archives/edgar/data/97476/000114036110043558/,,3
Texas Instruments,TXN,2010Q3,2010-09-30,분기말 종가,27.14,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/TXN?interval=1d&events=splits (2010-09-30),,3
Texas Instruments,TXN,2010Q3,2010-09-30,분기말 상장주식수,1174157492,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/97476/000114036110043558/,dei:EntityCommonStockSharesOutstanding 클래스 합,3
Texas Instruments,TXN,2010Q3,2010-09-30,분기말 시가총액,31866634333,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/TXN?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/97476/000114036110043558/,종가 27.14 × 주식수 1174157492,3
Texas Instruments,TXN,2010Q4,2010-12-31,분기별 매출액,3525000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/97476/000114036111012312/ ; https://www.sec.gov/Archives/edgar/data/97476/000114036110043558/,연간 13966000000 − 9개월누적 10441000000 (SalesRevenueNet),3
Texas Instruments,TXN,2010Q4,2010-12-31,분기별 영업이익,1230000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/97476/000114036111012312/ ; https://www.sec.gov/Archives/edgar/data/97476/000114036110043558/,연간 4514000000 − 9개월누적 3284000000 (OperatingIncomeLoss),3
Texas Instruments,TXN,2010Q4,2010-12-31,분기별 당기순이익(지배),942000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/97476/000114036111012312/ ; https://www.sec.gov/Archives/edgar/data/97476/000114036110043558/,연간 3228000000 − 9개월누적 2286000000 (NetIncomeLoss),3
Texas Instruments,TXN,2010Q4,2010-12-31,분기별 영업활동현금흐름,1230000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/97476/000114036111012312/ ; https://www.sec.gov/Archives/edgar/data/97476/000114036110043558/,누적 3820000000 − 직전누적 2590000000 (시작 2010-01-01),3
Texas Instruments,TXN,2010Q4,2010-12-31,분기말 자산총계,13401000000,USD,공시,https://www.sec.gov/Archives/edgar/data/97476/000114036111012312/,,3
