기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
United Airlines,UAL,2010Q2,2010-06-30,분기별 매출액,재작성 반영,5161000000,공시,https://www.sec.gov/Archives/edgar/data/100517/000119312510161812/,5184000000,https://www.sec.gov/Archives/edgar/data/100517/000119312512073010/,13
United Airlines,UAL,2010Q2,2010-06-30,분기별 영업이익,재작성 반영,434000000,공시,https://www.sec.gov/Archives/edgar/data/100517/000119312510161812/,441000000,https://www.sec.gov/Archives/edgar/data/100517/000119312512073010/,13
United Airlines,UAL,2010Q3,2010-09-30,분기별 매출액,재작성 반영,5394000000,공시,https://www.sec.gov/Archives/edgar/data/100517/000119312510233734/,5417000000,https://www.sec.gov/Archives/edgar/data/100517/000119312512073010/,13
United Airlines,UAL,2010Q3,2010-09-30,분기별 영업이익,재작성 반영,535000000,공시,https://www.sec.gov/Archives/edgar/data/100517/000119312510233734/,541000000,https://www.sec.gov/Archives/edgar/data/100517/000119312512073010/,13
United Airlines,UAL,2010Q4,2010-12-31,분기별 매출액,재작성 반영,8433000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/100517/000119312511042335/ ; https://www.sec.gov/Archives/edgar/data/100517/000119312510233734/,8464000000,https://www.sec.gov/Archives/edgar/data/100517/000119312512073010/ ; https://www.sec.gov/Archives/edgar/data/100517/000119312511284246/,13
United Airlines,UAL,2010Q4,2010-12-31,분기별 영업이익,재작성 반영,-62000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/100517/000119312511042335/ ; https://www.sec.gov/Archives/edgar/data/100517/000119312510233734/,-82000000,https://www.sec.gov/Archives/edgar/data/100517/000119312511042335/ ; https://www.sec.gov/Archives/edgar/data/100517/000119312511284246/,13
United Airlines,UAL,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,37353000000,공시,https://www.sec.gov/Archives/edgar/data/100517/000119312515056493/,36595000000,https://www.sec.gov/Archives/edgar/data/100517/000119312516468479/,13
United Airlines,UAL,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,34957000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/100517/000119312515056493/,34199000000,https://www.sec.gov/Archives/edgar/data/100517/000119312516468479/,13
United Airlines,UAL,2016Q1,2016-03-31,분기말 부채총계,재작성 반영,32533000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/100517/000119312516550432/,41150000000,https://www.sec.gov/Archives/edgar/data/100517/000119312516550432/,13
United Airlines,UAL,2016Q1,2016-03-31,분기말 총자본(자기자본),재작성 반영,7840000000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/100517/000119312516550432/,-777000000,https://www.sec.gov/Archives/edgar/data/100517/000119312517231250/,13
United Airlines,UAL,2016Q1,2016-03-31,분기말 지배지분 자본,재작성 반영,7840000000,공시,https://www.sec.gov/Archives/edgar/data/100517/000119312516550432/,-777000000,https://www.sec.gov/Archives/edgar/data/100517/000119312517231250/,13
United Airlines,UAL,2016Q2,2016-06-30,분기말 부채총계,재작성 반영,32692000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/100517/000119312516651221/,41210000000,https://www.sec.gov/Archives/edgar/data/100517/000119312516651221/,13
United Airlines,UAL,2016Q2,2016-06-30,분기말 총자본(자기자본),재작성 반영,7784000000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/100517/000119312516651221/,-734000000,https://www.sec.gov/Archives/edgar/data/100517/000119312517313831/,13
United Airlines,UAL,2016Q2,2016-06-30,분기말 지배지분 자본,재작성 반영,7784000000,공시,https://www.sec.gov/Archives/edgar/data/100517/000119312516651221/,-734000000,https://www.sec.gov/Archives/edgar/data/100517/000119312517313831/,13
United Airlines,UAL,2016Q3,2016-09-30,분기말 부채총계,재작성 반영,31888000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/100517/000119312516739859/,41125000000,https://www.sec.gov/Archives/edgar/data/100517/000119312516739859/,13
United Airlines,UAL,2016Q3,2016-09-30,분기말 총자본(자기자본),재작성 반영,8439000000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/100517/000119312516739859/,-798000000,https://www.sec.gov/Archives/edgar/data/100517/000119312517313831/,13
United Airlines,UAL,2016Q3,2016-09-30,분기말 지배지분 자본,재작성 반영,8439000000,공시,https://www.sec.gov/Archives/edgar/data/100517/000119312516739859/,-798000000,https://www.sec.gov/Archives/edgar/data/100517/000119312517313831/,13
United Airlines,UAL,2016Q4,2016-12-31,분기별 영업이익,재작성 반영,1005000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/100517/000119312517054129/ ; https://www.sec.gov/Archives/edgar/data/100517/000119312516739859/,1011000000,https://www.sec.gov/Archives/edgar/data/100517/000010051719000009/ ; https://www.sec.gov/Archives/edgar/data/100517/000119312516739859/,13
United Airlines,UAL,2016Q4,2016-12-31,분기별 당기순이익(지배),재작성 반영,397000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/100517/000119312517054129/ ; https://www.sec.gov/Archives/edgar/data/100517/000119312516739859/,368000000,https://www.sec.gov/Archives/edgar/data/100517/000010051719000009/ ; https://www.sec.gov/Archives/edgar/data/100517/000119312516739859/,13
United Airlines,UAL,2016Q4,2016-12-31,분기말 부채총계,재작성 반영,31481000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/100517/000119312517054129/,31566000000,https://www.sec.gov/Archives/edgar/data/100517/000119312517054129/,13
United Airlines,UAL,2016Q4,2016-12-31,분기말 총자본(자기자본),재작성 반영,8659000000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/100517/000119312517054129/,8574000000,https://www.sec.gov/Archives/edgar/data/100517/000010051720000010/,13
United Airlines,UAL,2016Q4,2016-12-31,분기말 지배지분 자본,재작성 반영,8659000000,공시,https://www.sec.gov/Archives/edgar/data/100517/000119312517054129/,8574000000,https://www.sec.gov/Archives/edgar/data/100517/000010051720000010/,13
United Airlines,UAL,2017Q1,2017-03-31,분기별 매출액,재작성 반영,8420000000,공시,https://www.sec.gov/Archives/edgar/data/100517/000119312517127429/,8426000000,https://www.sec.gov/Archives/edgar/data/100517/000119312518121112/,13
United Airlines,UAL,2017Q1,2017-03-31,분기별 영업이익,재작성 반영,278000000,공시,https://www.sec.gov/Archives/edgar/data/100517/000119312517127429/,320000000,https://www.sec.gov/Archives/edgar/data/100517/000010051719000009/,13
United Airlines,UAL,2017Q1,2017-03-31,분기별 당기순이익(지배),재작성 반영,96000000,공시,https://www.sec.gov/Archives/edgar/data/100517/000119312517127429/,99000000,https://www.sec.gov/Archives/edgar/data/100517/000010051719000009/,13
United Airlines,UAL,2017Q2,2017-06-30,분기별 매출액,재작성 반영,10000000000,공시,https://www.sec.gov/Archives/edgar/data/100517/000119312517231250/,10008000000,https://www.sec.gov/Archives/edgar/data/100517/000010051718000012/,13
United Airlines,UAL,2017Q2,2017-06-30,분기별 영업이익,재작성 반영,1399000000,공시,https://www.sec.gov/Archives/edgar/data/100517/000119312517231250/,1437000000,https://www.sec.gov/Archives/edgar/data/100517/000010051719000009/,13
United Airlines,UAL,2017Q2,2017-06-30,분기별 당기순이익(지배),재작성 반영,818000000,공시,https://www.sec.gov/Archives/edgar/data/100517/000119312517231250/,821000000,https://www.sec.gov/Archives/edgar/data/100517/000010051719000009/,13
United Airlines,UAL,2017Q3,2017-09-30,분기별 영업이익,재작성 반영,1092000000,공시,https://www.sec.gov/Archives/edgar/data/100517/000119312517313831/,1138000000,https://www.sec.gov/Archives/edgar/data/100517/000010051719000009/,13
United Airlines,UAL,2017Q3,2017-09-30,분기별 당기순이익(지배),재작성 반영,637000000,공시,https://www.sec.gov/Archives/edgar/data/100517/000119312517313831/,645000000,https://www.sec.gov/Archives/edgar/data/100517/000010051719000009/,13
United Airlines,UAL,2017Q4,2017-12-31,분기별 영업이익,재작성 반영,729000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/100517/000119312518054235/ ; https://www.sec.gov/Archives/edgar/data/100517/000119312517313831/,723000000,https://www.sec.gov/Archives/edgar/data/100517/000010051720000010/ ; https://www.sec.gov/Archives/edgar/data/100517/000010051718000028/,13
United Airlines,UAL,2017Q4,2017-12-31,분기별 당기순이익(지배),재작성 반영,580000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/100517/000119312518054235/ ; https://www.sec.gov/Archives/edgar/data/100517/000119312517313831/,578000000,https://www.sec.gov/Archives/edgar/data/100517/000010051720000010/ ; https://www.sec.gov/Archives/edgar/data/100517/000010051718000028/,13
United Airlines,UAL,2017Q4,2017-12-31,분기말 자산총계,재작성 반영,42326000000,공시,https://www.sec.gov/Archives/edgar/data/100517/000119312518054235/,42346000000,https://www.sec.gov/Archives/edgar/data/100517/000010051719000009/,13
United Airlines,UAL,2017Q4,2017-12-31,분기말 부채총계,재작성 반영,33520000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/100517/000119312518054235/,33558000000,https://www.sec.gov/Archives/edgar/data/100517/000010051719000009/,13
