기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Ulta Beauty,ULTA,2010Q1,2010-05-01,분기별 매출액,320196000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1403568/000095012311057275/,SalesRevenueNet ; 그 분기 보고서에 연결 총계가 없어 2011-06-07 제출본의 비교기간에서 읽었다,16
Ulta Beauty,ULTA,2010Q1,2010-05-01,분기별 영업이익,23332000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1403568/000095012311057275/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-06-07 제출본의 비교기간에서 읽었다,16
Ulta Beauty,ULTA,2010Q1,2010-05-01,분기별 당기순이익(지배),13661000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1403568/000095012311057275/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-06-07 제출본의 비교기간에서 읽었다,16
Ulta Beauty,ULTA,2010Q1,2010-05-01,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1403568/000095012310055636/,,16
Ulta Beauty,ULTA,2010Q1,2010-05-01,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1403568/000095012310055636/,,16
Ulta Beauty,ULTA,2010Q1,2010-05-01,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1403568/000095012310055636/,,16
Ulta Beauty,ULTA,2010Q1,2010-05-01,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1403568/000095012310055636/,,16
Ulta Beauty,ULTA,2010Q1,2010-05-01,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1403568/000095012310055636/,,16
Ulta Beauty,ULTA,2010Q1,2010-04-30,분기말 종가,23.12,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ULTA?interval=1d&events=splits (2010-04-30),,16
Ulta Beauty,ULTA,2010Q1,2010-05-01,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,16
Ulta Beauty,ULTA,2010Q1,2010-05-01,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,16
Ulta Beauty,ULTA,2010Q2,2010-07-31,분기별 매출액,321804000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1403568/000095012311083432/,SalesRevenueNet ; 그 분기 보고서에 연결 총계가 없어 2011-09-08 제출본의 비교기간에서 읽었다,16
Ulta Beauty,ULTA,2010Q2,2010-07-31,분기별 영업이익,22256000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1403568/000095012311083432/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-09-08 제출본의 비교기간에서 읽었다,16
Ulta Beauty,ULTA,2010Q2,2010-07-31,분기별 당기순이익(지배),13062000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1403568/000095012311083432/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-09-08 제출본의 비교기간에서 읽었다,16
Ulta Beauty,ULTA,2010Q2,2010-07-31,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1403568/000095012310083459/,,16
Ulta Beauty,ULTA,2010Q2,2010-07-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1403568/000095012310083459/,,16
Ulta Beauty,ULTA,2010Q2,2010-07-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1403568/000095012310083459/,,16
Ulta Beauty,ULTA,2010Q2,2010-07-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1403568/000095012310083459/,,16
Ulta Beauty,ULTA,2010Q2,2010-07-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1403568/000095012310083459/,,16
Ulta Beauty,ULTA,2010Q2,2010-07-30,분기말 종가,25.26,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ULTA?interval=1d&events=splits (2010-07-30),,16
Ulta Beauty,ULTA,2010Q2,2010-07-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,16
Ulta Beauty,ULTA,2010Q2,2010-07-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,16
Ulta Beauty,ULTA,2010Q3,2010-10-30,분기별 매출액,339179000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1403568/000119312511327525/,SalesRevenueNet ; 그 분기 보고서에 연결 총계가 없어 2011-12-01 제출본의 비교기간에서 읽었다,16
Ulta Beauty,ULTA,2010Q3,2010-10-30,분기별 영업이익,24292000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1403568/000119312511327525/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-12-01 제출본의 비교기간에서 읽었다,16
Ulta Beauty,ULTA,2010Q3,2010-10-30,분기별 당기순이익(지배),14203000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1403568/000119312511327525/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-12-01 제출본의 비교기간에서 읽었다,16
Ulta Beauty,ULTA,2010Q3,2010-10-30,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1403568/000095012310110429/,,16
Ulta Beauty,ULTA,2010Q3,2010-10-30,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1403568/000095012310110429/,,16
Ulta Beauty,ULTA,2010Q3,2010-10-30,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1403568/000095012310110429/,,16
Ulta Beauty,ULTA,2010Q3,2010-10-30,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1403568/000095012310110429/,,16
Ulta Beauty,ULTA,2010Q3,2010-10-30,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1403568/000095012310110429/,,16
Ulta Beauty,ULTA,2010Q3,2010-10-29,분기말 종가,30.69,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/ULTA?interval=1d&events=splits (2010-10-29),,16
Ulta Beauty,ULTA,2010Q3,2010-10-30,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,16
Ulta Beauty,ULTA,2010Q3,2010-10-30,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,16
Ulta Beauty,ULTA,2010Q4,2011-01-29,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1403568/000095012311030900/,,16
Ulta Beauty,ULTA,2010Q4,2011-01-29,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1403568/000095012311030900/,,16
Ulta Beauty,ULTA,2010Q4,2011-01-29,분기별 당기순이익(지배),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1403568/000095012311030900/,,16
