기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
United Parcel Service,UPS,2010Q1,2010-03-31,분기별 영업이익,재작성 반영,1042000000,공시,https://www.sec.gov/Archives/edgar/data/1090727/000119312510112914/,1012000000,https://www.sec.gov/Archives/edgar/data/1090727/000119312512081067/,7
United Parcel Service,UPS,2010Q1,2010-03-31,분기별 당기순이익(지배),재작성 반영,533000000,공시,https://www.sec.gov/Archives/edgar/data/1090727/000119312510112914/,515000000,https://www.sec.gov/Archives/edgar/data/1090727/000119312512081067/,7
United Parcel Service,UPS,2010Q2,2010-06-30,분기별 영업이익,재작성 반영,1402000000,공시,https://www.sec.gov/Archives/edgar/data/1090727/000119312510182606/,1371000000,https://www.sec.gov/Archives/edgar/data/1090727/000119312512081067/,7
United Parcel Service,UPS,2010Q2,2010-06-30,분기별 당기순이익(지배),재작성 반영,845000000,공시,https://www.sec.gov/Archives/edgar/data/1090727/000119312510182606/,826000000,https://www.sec.gov/Archives/edgar/data/1090727/000119312512081067/,7
United Parcel Service,UPS,2010Q3,2010-09-30,분기별 영업이익,재작성 반영,1616000000,공시,https://www.sec.gov/Archives/edgar/data/1090727/000119312510250170/,1586000000,https://www.sec.gov/Archives/edgar/data/1090727/000119312512081067/,7
United Parcel Service,UPS,2010Q3,2010-09-30,분기별 당기순이익(지배),재작성 반영,991000000,공시,https://www.sec.gov/Archives/edgar/data/1090727/000119312510250170/,972000000,https://www.sec.gov/Archives/edgar/data/1090727/000119312512081067/,7
United Parcel Service,UPS,2010Q4,2010-12-31,분기별 영업이익,재작성 반영,1814000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1090727/000119312511049356/ ; https://www.sec.gov/Archives/edgar/data/1090727/000119312510250170/,1581000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072713000005/ ; https://www.sec.gov/Archives/edgar/data/1090727/000119312510250170/,7
United Parcel Service,UPS,2010Q4,2010-12-31,분기별 당기순이익(지배),재작성 반영,1119000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1090727/000119312511049356/ ; https://www.sec.gov/Archives/edgar/data/1090727/000119312510250170/,969000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072713000005/ ; https://www.sec.gov/Archives/edgar/data/1090727/000119312510250170/,7
United Parcel Service,UPS,2011Q1,2011-03-31,분기별 영업이익,재작성 반영,1426000000,공시,https://www.sec.gov/Archives/edgar/data/1090727/000119312511128327/,1472000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072713000005/,7
United Parcel Service,UPS,2011Q1,2011-03-31,분기별 당기순이익(지배),재작성 반영,885000000,공시,https://www.sec.gov/Archives/edgar/data/1090727/000119312511128327/,915000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072713000005/,7
United Parcel Service,UPS,2011Q2,2011-06-30,분기별 영업이익,재작성 반영,1698000000,공시,https://www.sec.gov/Archives/edgar/data/1090727/000119312511211659/,1745000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072713000005/,7
United Parcel Service,UPS,2011Q2,2011-06-30,분기별 당기순이익(지배),재작성 반영,1063000000,공시,https://www.sec.gov/Archives/edgar/data/1090727/000119312511211659/,1092000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072713000005/,7
United Parcel Service,UPS,2011Q3,2011-09-30,분기별 영업이익,재작성 반영,1619000000,공시,https://www.sec.gov/Archives/edgar/data/1090727/000119312511297241/,1666000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072713000005/,7
United Parcel Service,UPS,2011Q3,2011-09-30,분기별 당기순이익(지배),재작성 반영,1042000000,공시,https://www.sec.gov/Archives/edgar/data/1090727/000119312511297241/,1072000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072713000005/,7
United Parcel Service,UPS,2011Q4,2011-12-31,분기별 영업이익,재작성 반영,1337000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1090727/000119312512081067/ ; https://www.sec.gov/Archives/edgar/data/1090727/000119312511297241/,1197000000,https://www.sec.gov/Archives/edgar/data/1090727/000119312512081067/ ; https://www.sec.gov/Archives/edgar/data/1090727/000109072712000026/,7
United Parcel Service,UPS,2011Q4,2011-12-31,분기별 당기순이익(지배),재작성 반영,814000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1090727/000119312512081067/ ; https://www.sec.gov/Archives/edgar/data/1090727/000119312511297241/,725000000,https://www.sec.gov/Archives/edgar/data/1090727/000119312512081067/ ; https://www.sec.gov/Archives/edgar/data/1090727/000109072712000026/,7
United Parcel Service,UPS,2013Q4,2013-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),36212000000,공시,https://www.sec.gov/Archives/edgar/data/1090727/000109072714000009/,,https://www.sec.gov/Archives/edgar/data/1090727/000109072714000009/,7
United Parcel Service,UPS,2013Q4,2013-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),29724000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1090727/000109072714000009/,,https://www.sec.gov/Archives/edgar/data/1090727/000109072714000009/,7
United Parcel Service,UPS,2013Q4,2013-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),6488000000,공시,https://www.sec.gov/Archives/edgar/data/1090727/000109072714000009/,,https://www.sec.gov/Archives/edgar/data/1090727/000109072714000009/,7
United Parcel Service,UPS,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,35471000000,공시,https://www.sec.gov/Archives/edgar/data/1090727/000109072715000008/,35440000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072717000011/,7
United Parcel Service,UPS,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,33313000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1090727/000109072715000008/,33282000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072716000053/,7
United Parcel Service,UPS,2016Q4,2016-12-31,분기별 영업이익,재작성 반영,-428000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1090727/000109072717000011/ ; https://www.sec.gov/Archives/edgar/data/1090727/000109072716000086/,1793000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000006/ ; https://www.sec.gov/Archives/edgar/data/1090727/000109072716000086/,7
United Parcel Service,UPS,2016Q4,2016-12-31,분기별 당기순이익(지배),재작성 반영,-239000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1090727/000109072717000011/ ; https://www.sec.gov/Archives/edgar/data/1090727/000109072716000086/,-248000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000006/ ; https://www.sec.gov/Archives/edgar/data/1090727/000109072716000086/,7
United Parcel Service,UPS,2016Q4,2016-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),40377000000,공시,https://www.sec.gov/Archives/edgar/data/1090727/000109072717000011/,,https://www.sec.gov/Archives/edgar/data/1090727/000109072717000011/,7
United Parcel Service,UPS,2016Q4,2016-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),39948000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1090727/000109072717000011/,,https://www.sec.gov/Archives/edgar/data/1090727/000109072717000011/,7
United Parcel Service,UPS,2016Q4,2016-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),429000000,공시,https://www.sec.gov/Archives/edgar/data/1090727/000109072717000011/,,https://www.sec.gov/Archives/edgar/data/1090727/000109072717000011/,7
United Parcel Service,UPS,2017Q1,2017-03-31,분기별 매출액,재작성 반영,15315000000,공시,https://www.sec.gov/Archives/edgar/data/1090727/000109072717000020/,15510000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072718000020/,7
United Parcel Service,UPS,2017Q1,2017-03-31,분기별 영업이익,재작성 반영,1784000000,공시,https://www.sec.gov/Archives/edgar/data/1090727/000109072717000020/,1617000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000006/,7
United Parcel Service,UPS,2017Q1,2017-03-31,분기별 당기순이익(지배),재작성 반영,1158000000,공시,https://www.sec.gov/Archives/edgar/data/1090727/000109072717000020/,1166000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000006/,7
United Parcel Service,UPS,2017Q2,2017-06-30,분기별 매출액,재작성 반영,15750000000,공시,https://www.sec.gov/Archives/edgar/data/1090727/000109072717000029/,15927000000,https://www.sec.gov/Archives/edgar/data/1090727/000109072718000032/,7
