기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
United Parcel Service,UPS,2010Q1,2010-03-31,분기별 매출액,11728000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090727/000119312510112914/,,7
United Parcel Service,UPS,2010Q1,2010-03-31,분기별 영업이익,1012000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/1090727/000119312512081067/,원 공시 1042000000 (https://www.sec.gov/Archives/edgar/data/1090727/000119312510112914/),7
United Parcel Service,UPS,2010Q1,2010-03-31,분기별 당기순이익(지배),515000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/1090727/000119312512081067/,원 공시 533000000 (https://www.sec.gov/Archives/edgar/data/1090727/000119312510112914/),7
United Parcel Service,UPS,2010Q1,2010-03-31,분기별 영업활동현금흐름,1549000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090727/000119312510112914/,,7
United Parcel Service,UPS,2010Q1,2010-03-31,분기말 자산총계,32504000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090727/000119312510112914/,,7
United Parcel Service,UPS,2010Q1,2010-03-31,분기말 부채총계,24891000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1090727/000119312510112914/,부채및자본 32504000000 − 총자본 7613000000,7
United Parcel Service,UPS,2010Q1,2010-03-31,분기말 총자본(자기자본),7613000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090727/000119312510112914/,,7
United Parcel Service,UPS,2010Q1,2010-03-31,분기말 지배지분 자본,7547000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090727/000119312510112914/,,7
United Parcel Service,UPS,2010Q1,2010-03-31,분기말 종가,64.41,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/UPS?interval=1d&events=splits (2010-03-31),,7
United Parcel Service,UPS,2010Q1,2010-03-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,7
United Parcel Service,UPS,2010Q1,2010-03-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,7
United Parcel Service,UPS,2010Q2,2010-06-30,분기별 매출액,12204000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090727/000119312510182606/,,7
United Parcel Service,UPS,2010Q2,2010-06-30,분기별 영업이익,1371000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/1090727/000119312512081067/,원 공시 1402000000 (https://www.sec.gov/Archives/edgar/data/1090727/000119312510182606/),7
United Parcel Service,UPS,2010Q2,2010-06-30,분기별 당기순이익(지배),826000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/1090727/000119312512081067/,원 공시 845000000 (https://www.sec.gov/Archives/edgar/data/1090727/000119312510182606/),7
United Parcel Service,UPS,2010Q2,2010-06-30,분기별 영업활동현금흐름,1463000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1090727/000119312510182606/ ; https://www.sec.gov/Archives/edgar/data/1090727/000119312510112914/,누적 3012000000 − 직전누적 1549000000 (시작 2010-01-01),7
United Parcel Service,UPS,2010Q2,2010-06-30,분기말 자산총계,33269000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090727/000119312510182606/,,7
United Parcel Service,UPS,2010Q2,2010-06-30,분기말 부채총계,25339000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1090727/000119312510182606/,부채및자본 33269000000 − 총자본 7930000000,7
United Parcel Service,UPS,2010Q2,2010-06-30,분기말 총자본(자기자본),7930000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090727/000119312510182606/,,7
United Parcel Service,UPS,2010Q2,2010-06-30,분기말 지배지분 자본,7865000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090727/000119312510182606/,,7
United Parcel Service,UPS,2010Q2,2010-06-30,분기말 종가,56.89,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/UPS?interval=1d&events=splits (2010-06-30),,7
United Parcel Service,UPS,2010Q2,2010-06-30,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,7
United Parcel Service,UPS,2010Q2,2010-06-30,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,7
United Parcel Service,UPS,2010Q3,2010-09-30,분기별 매출액,12192000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090727/000119312510250170/,,7
United Parcel Service,UPS,2010Q3,2010-09-30,분기별 영업이익,1586000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/1090727/000119312512081067/,원 공시 1616000000 (https://www.sec.gov/Archives/edgar/data/1090727/000119312510250170/),7
United Parcel Service,UPS,2010Q3,2010-09-30,분기별 당기순이익(지배),972000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/1090727/000119312512081067/,원 공시 991000000 (https://www.sec.gov/Archives/edgar/data/1090727/000119312510250170/),7
United Parcel Service,UPS,2010Q3,2010-09-30,분기별 영업활동현금흐름,911000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1090727/000119312510250170/ ; https://www.sec.gov/Archives/edgar/data/1090727/000119312510182606/,누적 3923000000 − 직전누적 3012000000 (시작 2010-01-01),7
United Parcel Service,UPS,2010Q3,2010-09-30,분기말 자산총계,32907000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090727/000119312510250170/,,7
United Parcel Service,UPS,2010Q3,2010-09-30,분기말 부채총계,24381000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1090727/000119312510250170/,부채및자본 32907000000 − 총자본 8526000000,7
United Parcel Service,UPS,2010Q3,2010-09-30,분기말 총자본(자기자본),8526000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1090727/000119312510250170/,,7
