기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
United Rentals,URI,2011Q4,2011-12-31,분기별 영업활동현금흐름,재분류(미반영),155000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1067701/000106770112000005/ ; https://www.sec.gov/Archives/edgar/data/1067701/000119312511273899/,159000000,https://www.sec.gov/Archives/edgar/data/1067701/000106770114000004/ ; https://www.sec.gov/Archives/edgar/data/1067701/000119312511273899/,9
United Rentals,URI,2013Q4,2013-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),11231000000,공시,https://www.sec.gov/Archives/edgar/data/1067701/000106770114000004/,,https://www.sec.gov/Archives/edgar/data/1067701/000106770114000004/,9
United Rentals,URI,2013Q4,2013-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),9383000000,공시,https://www.sec.gov/Archives/edgar/data/1067701/000106770114000004/,,https://www.sec.gov/Archives/edgar/data/1067701/000106770114000004/,9
United Rentals,URI,2013Q4,2013-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),1828000000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1067701/000106770114000004/,,https://www.sec.gov/Archives/edgar/data/1067701/000106770114000004/,9
United Rentals,URI,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,12467000000,공시,https://www.sec.gov/Archives/edgar/data/1067701/000106770115000006/,12129000000,https://www.sec.gov/Archives/edgar/data/1067701/000106770117000006/,9
United Rentals,URI,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,10669000000,공시,https://www.sec.gov/Archives/edgar/data/1067701/000106770115000006/,10331000000,https://www.sec.gov/Archives/edgar/data/1067701/000106770116000039/,9
United Rentals,URI,2016Q4,2016-12-31,분기별 영업활동현금흐름,재작성 반영,323000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1067701/000106770117000006/ ; https://www.sec.gov/Archives/edgar/data/1067701/000106770116000065/,311000000,https://www.sec.gov/Archives/edgar/data/1067701/000106770119000007/ ; https://www.sec.gov/Archives/edgar/data/1067701/000106770116000065/,9
United Rentals,URI,2017Q1,2017-03-31,분기별 영업활동현금흐름,재작성 반영,623000000,공시,https://www.sec.gov/Archives/edgar/data/1067701/000106770117000014/,622000000,https://www.sec.gov/Archives/edgar/data/1067701/000106770118000015/,9
United Rentals,URI,2017Q2,2017-06-30,분기별 영업활동현금흐름,재작성 반영,714000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1067701/000106770117000022/ ; https://www.sec.gov/Archives/edgar/data/1067701/000106770117000014/,707000000,https://www.sec.gov/Archives/edgar/data/1067701/000106770118000024/ ; https://www.sec.gov/Archives/edgar/data/1067701/000106770118000015/,9
United Rentals,URI,2017Q3,2017-09-30,분기별 영업활동현금흐름,재작성 반영,429000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1067701/000106770117000030/ ; https://www.sec.gov/Archives/edgar/data/1067701/000106770117000022/,427000000,https://www.sec.gov/Archives/edgar/data/1067701/000106770118000031/ ; https://www.sec.gov/Archives/edgar/data/1067701/000106770118000024/,9
United Rentals,URI,2017Q4,2017-12-31,분기별 영업활동현금흐름,재작성 반영,464000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1067701/000106770118000006/ ; https://www.sec.gov/Archives/edgar/data/1067701/000106770117000030/,453000000,https://www.sec.gov/Archives/edgar/data/1067701/000106770120000008/ ; https://www.sec.gov/Archives/edgar/data/1067701/000106770118000031/,9
