기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Visa,V,2010Q1,2010-03-31,분기별 매출액,1959000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1403161/000119312510102602/,,2
Visa,V,2010Q1,2010-03-31,분기별 영업이익,1122000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1403161/000119312510102602/,,2
Visa,V,2010Q1,2010-03-31,분기별 당기순이익(지배),713000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1403161/000119312510102602/,,2
Visa,V,2010Q1,2010-03-31,분기별 영업활동현금흐름,609000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1403161/000119312510102602/ ; https://www.sec.gov/Archives/edgar/data/1403161/000119312510020834/,누적 580000000 − 직전누적 -29000000 (시작 2009-10-01),2
Visa,V,2010Q1,2010-03-31,분기말 자산총계,32068000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1403161/000119312510102602/,,2
Visa,V,2010Q1,2010-03-31,분기말 부채총계,8081000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1403161/000119312510102602/,,2
Visa,V,2010Q1,2010-03-31,분기말 총자본(자기자본),23987000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1403161/000119312510102602/,,2
Visa,V,2010Q1,2010-03-31,분기말 지배지분 자본,23983000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1403161/000119312510102602/,,2
Visa,V,2010Q1,2010-03-31,분기말 종가,91.03,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/V?interval=1d&events=splits (2010-03-31),분할조정 종가 22.7575 × 이후 분할계수 4,2
Visa,V,2010Q1,2010-03-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,2
Visa,V,2010Q1,2010-03-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,2
Visa,V,2010Q2,2010-06-30,분기별 매출액,2029000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1403161/000119312510172477/,,2
Visa,V,2010Q2,2010-06-30,분기별 영업이익,1137000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1403161/000119312510172477/,,2
Visa,V,2010Q2,2010-06-30,분기별 당기순이익(지배),716000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1403161/000119312510172477/,,2
Visa,V,2010Q2,2010-06-30,분기별 영업활동현금흐름,1218000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1403161/000119312510172477/ ; https://www.sec.gov/Archives/edgar/data/1403161/000119312510102602/,누적 1798000000 − 직전누적 580000000 (시작 2009-10-01),2
Visa,V,2010Q2,2010-06-30,분기말 자산총계,32696000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1403161/000119312510172477/,,2
Visa,V,2010Q2,2010-06-30,분기말 부채총계,8016000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1403161/000119312510172477/,,2
Visa,V,2010Q2,2010-06-30,분기말 총자본(자기자본),24680000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1403161/000119312510172477/,,2
Visa,V,2010Q2,2010-06-30,분기말 지배지분 자본,24676000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1403161/000119312510172477/,,2
Visa,V,2010Q2,2010-06-30,분기말 종가,70.75,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/V?interval=1d&events=splits (2010-06-30),분할조정 종가 17.6875 × 이후 분할계수 4,2
Visa,V,2010Q2,2010-06-30,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,2
Visa,V,2010Q2,2010-06-30,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,2
Visa,V,2010Q3,2010-09-30,분기별 매출액,2117000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1403161/000119312510265236/ ; https://www.sec.gov/Archives/edgar/data/1403161/000119312510172477/,연간 8065000000 − 9개월누적 5948000000 (Revenues),2
Visa,V,2010Q3,2010-09-30,분기별 영업이익,1113000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1403161/000119312510265236/ ; https://www.sec.gov/Archives/edgar/data/1403161/000119312510172477/,연간 4589000000 − 9개월누적 3476000000 (OperatingIncomeLoss),2
Visa,V,2010Q3,2010-09-30,분기별 당기순이익(지배),774000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1403161/000119312510265236/ ; https://www.sec.gov/Archives/edgar/data/1403161/000119312510172477/,연간 2966000000 − 9개월누적 2192000000 (NetIncomeLoss),2
