기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Vulcan Materials,VMC,2010Q1,2010-03-31,분기말 자산총계,재작성 반영,8474882000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000095012310043169/,8466803000,https://www.sec.gov/Archives/edgar/data/1396009/000095012311046260/,13
Vulcan Materials,VMC,2010Q1,2010-03-31,분기말 부채총계,재작성 반영,4411882000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000095012310043169/,4418588000,https://www.sec.gov/Archives/edgar/data/1396009/000095012311046260/,13
Vulcan Materials,VMC,2010Q1,2010-03-31,분기말 총자본(자기자본),재작성 반영,4063000000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1396009/000095012310043169/,4048215000,https://www.sec.gov/Archives/edgar/data/1396009/000095012311046260/,13
Vulcan Materials,VMC,2010Q1,2010-03-31,분기말 지배지분 자본,재작성 반영,4063000000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000095012310043169/,4048215000,https://www.sec.gov/Archives/edgar/data/1396009/000095012311046260/,13
Vulcan Materials,VMC,2010Q2,2010-06-30,분기말 자산총계,재작성 반영,8495044000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000095012310072467/,8486965000,https://www.sec.gov/Archives/edgar/data/1396009/000095012311072749/,13
Vulcan Materials,VMC,2010Q2,2010-06-30,분기말 부채총계,재작성 반영,4450940000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000095012310072467/,4457646000,https://www.sec.gov/Archives/edgar/data/1396009/000095012311072749/,13
Vulcan Materials,VMC,2010Q2,2010-06-30,분기말 총자본(자기자본),재작성 반영,4044104000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1396009/000095012310072467/,4029319000,https://www.sec.gov/Archives/edgar/data/1396009/000095012311072749/,13
Vulcan Materials,VMC,2010Q2,2010-06-30,분기말 지배지분 자본,재작성 반영,4044104000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000095012310072467/,4029319000,https://www.sec.gov/Archives/edgar/data/1396009/000095012311072749/,13
Vulcan Materials,VMC,2010Q3,2010-09-30,분기말 자산총계,재작성 반영,8529597000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000095012310100046/,8521518000,https://www.sec.gov/Archives/edgar/data/1396009/000095012311095159/,13
Vulcan Materials,VMC,2010Q3,2010-09-30,분기말 부채총계,재작성 반영,4490743000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000095012310100046/,4497449000,https://www.sec.gov/Archives/edgar/data/1396009/000095012311095159/,13
Vulcan Materials,VMC,2010Q3,2010-09-30,분기말 총자본(자기자본),재작성 반영,4038854000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1396009/000095012310100046/,4024069000,https://www.sec.gov/Archives/edgar/data/1396009/000095012311095159/,13
Vulcan Materials,VMC,2010Q3,2010-09-30,분기말 지배지분 자본,재작성 반영,4038854000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000095012310100046/,4024069000,https://www.sec.gov/Archives/edgar/data/1396009/000095012311095159/,13
Vulcan Materials,VMC,2010Q4,2010-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),8337891000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000095012311019699/,,https://www.sec.gov/Archives/edgar/data/1396009/000095012311019699/,13
Vulcan Materials,VMC,2010Q4,2010-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),4372911000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000095012311019699/,,https://www.sec.gov/Archives/edgar/data/1396009/000095012311019699/,13
Vulcan Materials,VMC,2010Q4,2010-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),3964980000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1396009/000095012311019699/,,https://www.sec.gov/Archives/edgar/data/1396009/000095012311019699/,13
Vulcan Materials,VMC,2011Q1,2011-03-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),8298791000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000095012311046260/,,https://www.sec.gov/Archives/edgar/data/1396009/000095012311046260/,13
Vulcan Materials,VMC,2011Q1,2011-03-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),4393174000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000095012311046260/,,https://www.sec.gov/Archives/edgar/data/1396009/000095012311046260/,13
Vulcan Materials,VMC,2011Q1,2011-03-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),3905617000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1396009/000095012311046260/,,https://www.sec.gov/Archives/edgar/data/1396009/000095012311046260/,13
Vulcan Materials,VMC,2011Q2,2011-06-30,분기말 자산총계,재작성 반영,8385610000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000095012311072749/,8387255000,https://www.sec.gov/Archives/edgar/data/1396009/000119312512343684/,13
Vulcan Materials,VMC,2011Q2,2011-06-30,분기말 부채총계,재작성 반영,4504345000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000095012311072749/,4515172000,https://www.sec.gov/Archives/edgar/data/1396009/000119312512343684/,13
Vulcan Materials,VMC,2011Q2,2011-06-30,분기말 총자본(자기자본),재작성 반영,3881265000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000095012311072749/,3872083000,https://www.sec.gov/Archives/edgar/data/1396009/000119312512343684/,13
Vulcan Materials,VMC,2011Q2,2011-06-30,분기말 지배지분 자본,재작성 반영,3881265000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1396009/000095012311072749/,3872083000,https://www.sec.gov/Archives/edgar/data/1396009/000119312512343684/,13
Vulcan Materials,VMC,2011Q3,2011-09-30,분기말 자산총계,재작성 반영,8381881000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000095012311095159/,8383526000,https://www.sec.gov/Archives/edgar/data/1396009/000119312512460335/,13
Vulcan Materials,VMC,2011Q3,2011-09-30,분기말 부채총계,재작성 반영,4505782000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000095012311095159/,4516609000,https://www.sec.gov/Archives/edgar/data/1396009/000119312512460335/,13
Vulcan Materials,VMC,2011Q3,2011-09-30,분기말 총자본(자기자본),재작성 반영,3876099000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000095012311095159/,3866917000,https://www.sec.gov/Archives/edgar/data/1396009/000119312512460335/,13
Vulcan Materials,VMC,2011Q3,2011-09-30,분기말 지배지분 자본,재작성 반영,3876099000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1396009/000095012311095159/,3866917000,https://www.sec.gov/Archives/edgar/data/1396009/000119312512460335/,13
Vulcan Materials,VMC,2013Q4,2013-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),8259143000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000139600914000006/,,https://www.sec.gov/Archives/edgar/data/1396009/000139600914000006/,13
Vulcan Materials,VMC,2013Q4,2013-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),4321037000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000139600914000006/,,https://www.sec.gov/Archives/edgar/data/1396009/000139600914000006/,13
Vulcan Materials,VMC,2013Q4,2013-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),3938106000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000139600914000006/,,https://www.sec.gov/Archives/edgar/data/1396009/000139600914000006/,13
Vulcan Materials,VMC,2014Q2,2014-06-30,분기말 자산총계,재작성 반영,7933898000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000139600914000031/,7910838000,https://www.sec.gov/Archives/edgar/data/1396009/000139600915000030/,13
Vulcan Materials,VMC,2014Q2,2014-06-30,분기말 부채총계,재작성 반영,3847711000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000139600914000031/,3824651000,https://www.sec.gov/Archives/edgar/data/1396009/000139600915000030/,13
Vulcan Materials,VMC,2014Q3,2014-09-30,분기말 자산총계,재작성 반영,8091538000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000139600914000037/,8069645000,https://www.sec.gov/Archives/edgar/data/1396009/000139600915000036/,13
Vulcan Materials,VMC,2014Q3,2014-09-30,분기말 부채총계,재작성 반영,3890439000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000139600914000037/,3868546000,https://www.sec.gov/Archives/edgar/data/1396009/000139600915000036/,13
Vulcan Materials,VMC,2014Q4,2014-12-31,분기별 영업활동현금흐름,재분류(미반영),110610000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1396009/000139600915000005/ ; https://www.sec.gov/Archives/edgar/data/1396009/000139600914000037/,111281000,https://www.sec.gov/Archives/edgar/data/1396009/000139600917000005/ ; https://www.sec.gov/Archives/edgar/data/1396009/000139600914000037/,13
Vulcan Materials,VMC,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,8061902000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000139600915000005/,8041097000,https://www.sec.gov/Archives/edgar/data/1396009/000139600917000005/,13
Vulcan Materials,VMC,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,3885203000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000139600915000005/,3864398000,https://www.sec.gov/Archives/edgar/data/1396009/000139600916000044/,13
Vulcan Materials,VMC,2015Q1,2015-03-31,분기말 자산총계,재작성 반영,8350615000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000139600915000014/,8326525000,https://www.sec.gov/Archives/edgar/data/1396009/000139600916000053/,13
Vulcan Materials,VMC,2015Q1,2015-03-31,분기말 부채총계,재작성 반영,4190448000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000139600915000014/,4166358000,https://www.sec.gov/Archives/edgar/data/1396009/000139600916000053/,13
Vulcan Materials,VMC,2015Q4,2015-12-31,분기별 영업활동현금흐름,재분류(미반영),222041000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1396009/000139600916000044/ ; https://www.sec.gov/Archives/edgar/data/1396009/000139600915000036/,238201000,https://www.sec.gov/Archives/edgar/data/1396009/000139600918000011/ ; https://www.sec.gov/Archives/edgar/data/1396009/000139600915000036/,13
Vulcan Materials,VMC,2016Q1,2016-03-31,분기별 당기순이익(지배),재분류(미반영),18924000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000139600916000053/,40158000,https://www.sec.gov/Archives/edgar/data/1396009/000139600918000011/,13
Vulcan Materials,VMC,2016Q1,2016-03-31,분기별 영업활동현금흐름,재분류(미반영),42857000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000139600916000053/,88728000,https://www.sec.gov/Archives/edgar/data/1396009/000139600917000011/,13
Vulcan Materials,VMC,2016Q2,2016-06-30,분기별 당기순이익(지배),재분류(미반영),123750000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000139600916000071/,124709000,https://www.sec.gov/Archives/edgar/data/1396009/000139600918000011/,13
Vulcan Materials,VMC,2016Q2,2016-06-30,분기별 영업활동현금흐름,재분류(미반영),59676000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1396009/000139600916000071/ ; https://www.sec.gov/Archives/edgar/data/1396009/000139600916000053/,66274000,https://www.sec.gov/Archives/edgar/data/1396009/000139600917000033/ ; https://www.sec.gov/Archives/edgar/data/1396009/000139600917000011/,13
Vulcan Materials,VMC,2016Q3,2016-09-30,분기별 당기순이익(지배),재분류(미반영),139765000,공시,https://www.sec.gov/Archives/edgar/data/1396009/000139600916000076/,142024000,https://www.sec.gov/Archives/edgar/data/1396009/000139600918000011/,13
Vulcan Materials,VMC,2016Q3,2016-09-30,분기별 영업활동현금흐름,재분류(미반영),242915000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1396009/000139600916000076/ ; https://www.sec.gov/Archives/edgar/data/1396009/000139600916000071/,249607000,https://www.sec.gov/Archives/edgar/data/1396009/000139600917000042/ ; https://www.sec.gov/Archives/edgar/data/1396009/000139600917000033/,13
