기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Vertiv Holdings,VRT,2020Q1,2020-03-31,분기별 당기순이익(지배),재작성 반영,-268900000,공시,https://www.sec.gov/Archives/edgar/data/1674101/000162828020006768/,-208300000,https://www.sec.gov/Archives/edgar/data/1674101/000162828021015172/,6
Vertiv Holdings,VRT,2020Q1,2020-03-31,분기말 부채총계,재작성 반영,4298000000,공시,https://www.sec.gov/Archives/edgar/data/1674101/000162828020006768/,4353700000,https://www.sec.gov/Archives/edgar/data/1674101/000162828021008318/,6
Vertiv Holdings,VRT,2020Q1,2020-03-31,분기말 총자본(자기자본),재작성 반영,331900000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1674101/000162828020006768/,276200000,https://www.sec.gov/Archives/edgar/data/1674101/000162828021020992/,6
Vertiv Holdings,VRT,2020Q1,2020-03-31,분기말 지배지분 자본,재작성 반영,331900000,공시,https://www.sec.gov/Archives/edgar/data/1674101/000162828020006768/,276200000,https://www.sec.gov/Archives/edgar/data/1674101/000162828021020992/,6
Vertiv Holdings,VRT,2020Q2,2020-06-30,분기별 당기순이익(지배),재작성 반영,26200000,공시,https://www.sec.gov/Archives/edgar/data/1674101/000162828020011825/,-56000000,https://www.sec.gov/Archives/edgar/data/1674101/000162828021015172/,6
Vertiv Holdings,VRT,2020Q2,2020-06-30,분기말 부채총계,재작성 반영,4379000000,공시,https://www.sec.gov/Archives/edgar/data/1674101/000162828020011825/,4516900000,https://www.sec.gov/Archives/edgar/data/1674101/000162828021008318/,6
Vertiv Holdings,VRT,2020Q2,2020-06-30,분기말 총자본(자기자본),재작성 반영,350900000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1674101/000162828020011825/,213000000,https://www.sec.gov/Archives/edgar/data/1674101/000162828021020992/,6
Vertiv Holdings,VRT,2020Q2,2020-06-30,분기말 지배지분 자본,재작성 반영,350900000,공시,https://www.sec.gov/Archives/edgar/data/1674101/000162828020011825/,213000000,https://www.sec.gov/Archives/edgar/data/1674101/000162828021020992/,6
Vertiv Holdings,VRT,2020Q3,2020-09-30,분기별 당기순이익(지배),재분류(미반영),-15800000,공시,https://www.sec.gov/Archives/edgar/data/1674101/000162828020015793/,-103500000,https://www.sec.gov/Archives/edgar/data/1674101/000162828021020992/,6
Vertiv Holdings,VRT,2020Q3,2020-09-30,분기말 부채총계,재작성 반영,4400000000,공시,https://www.sec.gov/Archives/edgar/data/1674101/000162828020015793/,4625600000,https://www.sec.gov/Archives/edgar/data/1674101/000162828021008318/,6
Vertiv Holdings,VRT,2020Q3,2020-09-30,분기말 총자본(자기자본),재작성 반영,371700000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1674101/000162828020015793/,146100000,https://www.sec.gov/Archives/edgar/data/1674101/000162828021020992/,6
Vertiv Holdings,VRT,2020Q3,2020-09-30,분기말 지배지분 자본,재작성 반영,371700000,공시,https://www.sec.gov/Archives/edgar/data/1674101/000162828020015793/,146100000,https://www.sec.gov/Archives/edgar/data/1674101/000162828021020992/,6
Vertiv Holdings,VRT,2020Q4,2020-12-31,분기별 당기순이익(지배),재분류(미반영),-68800000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1674101/000162828021008318/ ; https://www.sec.gov/Archives/edgar/data/1674101/000162828020015793/,40500000,https://www.sec.gov/Archives/edgar/data/1674101/000162828021008318/ ; https://www.sec.gov/Archives/edgar/data/1674101/000162828021020992/,6
Vertiv Holdings,VRT,2024Q2,2024-06-30,분기별 영업활동현금흐름,재작성 반영,378400000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1674101/000162828024033173/ ; https://www.sec.gov/Archives/edgar/data/1674101/000162828024018417/,381500000,https://www.sec.gov/Archives/edgar/data/1674101/000167410125000008/ ; https://www.sec.gov/Archives/edgar/data/1674101/000162828024018417/,6
Vertiv Holdings,VRT,2024Q3,2024-09-30,분기별 영업활동현금흐름,재작성 반영,378200000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1674101/000162828024043698/ ; https://www.sec.gov/Archives/edgar/data/1674101/000162828024033173/,375100000,https://www.sec.gov/Archives/edgar/data/1674101/000162828024043698/ ; https://www.sec.gov/Archives/edgar/data/1674101/000167410125000008/,6
