기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Verizon,VZ,2010Q1,2010-03-31,분기별 매출액,26913000000,USD,공시,https://www.sec.gov/Archives/edgar/data/732712/000119312510096291/,,4
Verizon,VZ,2010Q1,2010-03-31,분기별 영업이익,4441000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/732712/000119312512077846/,원 공시 4351000000 (https://www.sec.gov/Archives/edgar/data/732712/000119312510096291/),4
Verizon,VZ,2010Q1,2010-03-31,분기별 당기순이익(지배),443000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/732712/000119312512077846/,원 공시 409000000 (https://www.sec.gov/Archives/edgar/data/732712/000119312510096291/),4
Verizon,VZ,2010Q1,2010-03-31,분기별 영업활동현금흐름,7084000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/732712/000119312511113952/,원 공시 7117000000 (https://www.sec.gov/Archives/edgar/data/732712/000119312510096291/),4
Verizon,VZ,2010Q1,2010-03-31,분기말 자산총계,227347000000,USD,공시,https://www.sec.gov/Archives/edgar/data/732712/000119312510096291/,,4
Verizon,VZ,2010Q1,2010-03-31,분기말 부채총계,142695000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/732712/000119312510096291/,부채및자본 227347000000 − 총자본 84652000000,4
Verizon,VZ,2010Q1,2010-03-31,분기말 총자본(자기자본),84652000000,USD,공시,https://www.sec.gov/Archives/edgar/data/732712/000119312510096291/,,4
Verizon,VZ,2010Q1,2010-03-31,분기말 지배지분 자본,40462000000,USD,계산(총자본-비지배),https://www.sec.gov/Archives/edgar/data/732712/000119312510096291/,총자본 84652000000 − 비지배 44190000000,4
Verizon,VZ,2010Q1,2010-03-31,분기말 종가,31.02,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/VZ?interval=1d&events=splits (2010-03-31),분할조정 종가 29.0933 × 이후 분할계수 1.06622,4
Verizon,VZ,2010Q1,2010-03-31,분기말 상장주식수,2826732438,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/732712/000119312510096291/,dei:EntityCommonStockSharesOutstanding 클래스 합,4
Verizon,VZ,2010Q1,2010-03-31,분기말 시가총액,87685240227,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/VZ?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/732712/000119312510096291/,종가 31.02 × 주식수 2826732438,4
Verizon,VZ,2010Q2,2010-06-30,분기별 매출액,26773000000,USD,공시,https://www.sec.gov/Archives/edgar/data/732712/000119312510170567/,,4
Verizon,VZ,2010Q2,2010-06-30,분기별 영업이익,410000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/732712/000119312512077846/,원 공시 2039000000 (https://www.sec.gov/Archives/edgar/data/732712/000119312510170567/),4
Verizon,VZ,2010Q2,2010-06-30,분기별 당기순이익(지배),-1192000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/732712/000119312512077846/,원 공시 -198000000 (https://www.sec.gov/Archives/edgar/data/732712/000119312510170567/),4
Verizon,VZ,2010Q2,2010-06-30,분기별 영업활동현금흐름,9723000000,USD,계산(누적차감)(재작성 반영),https://www.sec.gov/Archives/edgar/data/732712/000119312511201011/ ; https://www.sec.gov/Archives/edgar/data/732712/000119312511113952/,누적 16807000000 − 직전누적 7084000000 (시작 2010-01-01) ; 원 공시 9756000000 (https://www.sec.gov/Archives/edgar/data/732712/000119312510170567/ ; https://www.sec.gov/Archives/edgar/data/732712/000119312510096291/),4
Verizon,VZ,2010Q2,2010-06-30,분기말 자산총계,226251000000,USD,공시,https://www.sec.gov/Archives/edgar/data/732712/000119312510170567/,,4
Verizon,VZ,2010Q2,2010-06-30,분기말 부채총계,141778000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/732712/000119312510170567/,부채및자본 226251000000 − 총자본 84473000000,4
Verizon,VZ,2010Q2,2010-06-30,분기말 총자본(자기자본),84473000000,USD,공시,https://www.sec.gov/Archives/edgar/data/732712/000119312510170567/,,4
Verizon,VZ,2010Q2,2010-06-30,분기말 지배지분 자본,39254000000,USD,계산(총자본-비지배),https://www.sec.gov/Archives/edgar/data/732712/000119312510170567/,총자본 84473000000 − 비지배 45219000000,4
Verizon,VZ,2010Q2,2010-06-30,분기말 종가,28.02,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/VZ?interval=1d&events=splits (2010-06-30),분할조정 종가 26.2796 × 이후 분할계수 1.06622,4
Verizon,VZ,2010Q2,2010-06-30,분기말 상장주식수,2826741689,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/732712/000119312510170567/,dei:EntityCommonStockSharesOutstanding 클래스 합,4
