기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Westinghouse Air Brake,WAB,2010Q3,2010-09-30,분기별 영업활동현금흐름,재작성 반영,45787000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/943452/000119312510251301/ ; https://www.sec.gov/Archives/edgar/data/943452/000119312510179157/,50861000,https://www.sec.gov/Archives/edgar/data/943452/000119312510251301/ ; https://www.sec.gov/Archives/edgar/data/943452/000119312511209950/,11
Westinghouse Air Brake,WAB,2013Q4,2013-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),2821997000,공시,https://www.sec.gov/Archives/edgar/data/943452/000156459014000306/,,https://www.sec.gov/Archives/edgar/data/943452/000156459014000306/,11
Westinghouse Air Brake,WAB,2013Q4,2013-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),1234830000,공시,https://www.sec.gov/Archives/edgar/data/943452/000156459014000306/,,https://www.sec.gov/Archives/edgar/data/943452/000156459014000306/,11
Westinghouse Air Brake,WAB,2013Q4,2013-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),1587167000,공시,https://www.sec.gov/Archives/edgar/data/943452/000156459014000306/,,https://www.sec.gov/Archives/edgar/data/943452/000156459014000306/,11
Westinghouse Air Brake,WAB,2013Q4,2013-12-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),1585259000,공시,https://www.sec.gov/Archives/edgar/data/943452/000156459014000306/,,https://www.sec.gov/Archives/edgar/data/943452/000156459014000306/,11
Westinghouse Air Brake,WAB,2014Q4,2014-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),3303841000,공시,https://www.sec.gov/Archives/edgar/data/943452/000156459015000794/,,https://www.sec.gov/Archives/edgar/data/943452/000156459015000794/,11
Westinghouse Air Brake,WAB,2014Q4,2014-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),1495543000,공시,https://www.sec.gov/Archives/edgar/data/943452/000156459015000794/,,https://www.sec.gov/Archives/edgar/data/943452/000156459015000794/,11
Westinghouse Air Brake,WAB,2014Q4,2014-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),1808298000,공시,https://www.sec.gov/Archives/edgar/data/943452/000156459015000794/,,https://www.sec.gov/Archives/edgar/data/943452/000156459015000794/,11
Westinghouse Air Brake,WAB,2014Q4,2014-12-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),1807242000,공시,https://www.sec.gov/Archives/edgar/data/943452/000156459015000794/,,https://www.sec.gov/Archives/edgar/data/943452/000156459015000794/,11
Westinghouse Air Brake,WAB,2015Q4,2015-12-31,분기말 자산총계,재작성 반영,3300335000,공시,https://www.sec.gov/Archives/edgar/data/943452/000162828016011421/,3229513000,https://www.sec.gov/Archives/edgar/data/943452/000162828018002245/,11
Westinghouse Air Brake,WAB,2015Q4,2015-12-31,분기말 부채총계,재작성 반영,1598996000,공시,https://www.sec.gov/Archives/edgar/data/943452/000162828016011421/,1528174000,https://www.sec.gov/Archives/edgar/data/943452/000162828017001863/,11
Westinghouse Air Brake,WAB,2016Q4,2016-12-31,분기별 영업이익,재분류(미반영),62800000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/943452/000162828017001863/ ; https://www.sec.gov/Archives/edgar/data/943452/000162828016020920/,61046000,https://www.sec.gov/Archives/edgar/data/943452/000162828019002095/ ; https://www.sec.gov/Archives/edgar/data/943452/000162828016020920/,11
Westinghouse Air Brake,WAB,2016Q4,2016-12-31,분기별 영업활동현금흐름,재작성 반영,202414000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/943452/000162828017001863/ ; https://www.sec.gov/Archives/edgar/data/943452/000162828016020920/,203637000,https://www.sec.gov/Archives/edgar/data/943452/000162828018002245/ ; https://www.sec.gov/Archives/edgar/data/943452/000162828016020920/,11
Westinghouse Air Brake,WAB,2017Q1,2017-03-31,분기별 영업이익,재작성 반영,114858000,공시,https://www.sec.gov/Archives/edgar/data/943452/000162828017004956/,114512000,https://www.sec.gov/Archives/edgar/data/943452/000162828018005984/,11
Westinghouse Air Brake,WAB,2017Q3,2017-09-30,분기별 영업이익,재작성 반영,102011000,공시,https://www.sec.gov/Archives/edgar/data/943452/000162828017010480/,101666000,https://www.sec.gov/Archives/edgar/data/943452/000162828018013088/,11
Westinghouse Air Brake,WAB,2017Q4,2017-12-31,분기별 영업이익,재작성 반영,91163000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/943452/000162828018002245/ ; https://www.sec.gov/Archives/edgar/data/943452/000162828017010480/,92198000,https://www.sec.gov/Archives/edgar/data/943452/000162828018002245/ ; https://www.sec.gov/Archives/edgar/data/943452/000162828018013088/,11
Westinghouse Air Brake,WAB,2019Q2,2019-06-30,분기별 당기순이익(지배),재작성 반영,104235000,공시,https://www.sec.gov/Archives/edgar/data/943452/000162828019009750/,104100000,https://www.sec.gov/Archives/edgar/data/943452/000162828020010768/,11
Westinghouse Air Brake,WAB,2019Q2,2019-06-30,분기별 영업활동현금흐름,재작성 반영,412586000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/943452/000162828019009750/ ; https://www.sec.gov/Archives/edgar/data/943452/000162828019006382/,412462000,https://www.sec.gov/Archives/edgar/data/943452/000162828020010768/ ; https://www.sec.gov/Archives/edgar/data/943452/000162828019006382/,11
Westinghouse Air Brake,WAB,2019Q2,2019-06-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),18942593000,공시,https://www.sec.gov/Archives/edgar/data/943452/000162828019009750/,,https://www.sec.gov/Archives/edgar/data/943452/000162828019009750/,11
Westinghouse Air Brake,WAB,2019Q2,2019-06-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),9107436000,공시,https://www.sec.gov/Archives/edgar/data/943452/000162828019009750/,,https://www.sec.gov/Archives/edgar/data/943452/000162828019009750/,11
Westinghouse Air Brake,WAB,2019Q2,2019-06-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),9835157000,공시,https://www.sec.gov/Archives/edgar/data/943452/000162828019009750/,,https://www.sec.gov/Archives/edgar/data/943452/000162828019009750/,11
Westinghouse Air Brake,WAB,2019Q2,2019-06-30,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),9801760000,공시,https://www.sec.gov/Archives/edgar/data/943452/000162828019009750/,,https://www.sec.gov/Archives/edgar/data/943452/000162828019009750/,11
Westinghouse Air Brake,WAB,2019Q3,2019-09-30,분기별 영업활동현금흐름,재작성 반영,123776000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/943452/000162828019013038/ ; https://www.sec.gov/Archives/edgar/data/943452/000162828019009750/,123900000,https://www.sec.gov/Archives/edgar/data/943452/000162828019013038/ ; https://www.sec.gov/Archives/edgar/data/943452/000162828020010768/,11
