기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Waters,WAT,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,3877934000,공시,https://www.sec.gov/Archives/edgar/data/1000697/000119312515067900/,3874690000,https://www.sec.gov/Archives/edgar/data/1000697/000119312516480594/,12
Waters,WAT,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,1983268000,공시,https://www.sec.gov/Archives/edgar/data/1000697/000119312515067900/,1980024000,https://www.sec.gov/Archives/edgar/data/1000697/000119312516480594/,12
Waters,WAT,2015Q4,2015-12-31,분기별 영업활동현금흐름,재작성 반영,153651000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1000697/000119312516480594/ ; https://www.sec.gov/Archives/edgar/data/1000697/000119312515369900/,166606000,https://www.sec.gov/Archives/edgar/data/1000697/000119312518060830/ ; https://www.sec.gov/Archives/edgar/data/1000697/000119312515369900/,12
Waters,WAT,2016Q1,2016-04-02,분기별 영업활동현금흐름,재작성 반영,159886000,공시,https://www.sec.gov/Archives/edgar/data/1000697/000119312516581284/,161505000,https://www.sec.gov/Archives/edgar/data/1000697/000119312517160261/,12
Waters,WAT,2016Q2,2016-07-02,분기별 영업활동현금흐름,재작성 반영,157019000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1000697/000119312516672751/ ; https://www.sec.gov/Archives/edgar/data/1000697/000119312516581284/,158917000,https://www.sec.gov/Archives/edgar/data/1000697/000119312517248224/ ; https://www.sec.gov/Archives/edgar/data/1000697/000119312517160261/,12
Waters,WAT,2016Q3,2016-10-01,분기별 영업활동현금흐름,재작성 반영,139198000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1000697/000119312516761414/ ; https://www.sec.gov/Archives/edgar/data/1000697/000119312516672751/,148595000,https://www.sec.gov/Archives/edgar/data/1000697/000119312517332011/ ; https://www.sec.gov/Archives/edgar/data/1000697/000119312517248224/,12
Waters,WAT,2016Q4,2016-12-31,분기별 영업이익,재작성 반영,208335000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1000697/000119312517056239/ ; https://www.sec.gov/Archives/edgar/data/1000697/000119312516761414/,209035000,https://www.sec.gov/Archives/edgar/data/1000697/000119312519060858/ ; https://www.sec.gov/Archives/edgar/data/1000697/000119312516761414/,12
Waters,WAT,2016Q4,2016-12-31,분기별 영업활동현금흐름,재작성 반영,172973000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1000697/000119312517056239/ ; https://www.sec.gov/Archives/edgar/data/1000697/000119312516761414/,173903000,https://www.sec.gov/Archives/edgar/data/1000697/000119312518060830/ ; https://www.sec.gov/Archives/edgar/data/1000697/000119312517332011/,12
Waters,WAT,2017Q1,2017-04-01,분기별 영업이익,재작성 반영,118869000,공시,https://www.sec.gov/Archives/edgar/data/1000697/000119312517160261/,118720000,https://www.sec.gov/Archives/edgar/data/1000697/000119312518152532/,12
Waters,WAT,2017Q2,2017-07-01,분기별 영업이익,재작성 반영,153785000,공시,https://www.sec.gov/Archives/edgar/data/1000697/000119312517248224/,153882000,https://www.sec.gov/Archives/edgar/data/1000697/000119312518237475/,12
Waters,WAT,2017Q4,2017-12-31,분기별 영업이익,재작성 반영,230170000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1000697/000119312518060830/ ; https://www.sec.gov/Archives/edgar/data/1000697/000119312517332011/,230574000,https://www.sec.gov/Archives/edgar/data/1000697/000119312520048303/ ; https://www.sec.gov/Archives/edgar/data/1000697/000119312518316594/,12
