기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Warner Bros. Discovery,WBD,2010Q1,2010-03-31,분기별 매출액,879000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1437107/000119312510100744/,,9
Warner Bros. Discovery,WBD,2010Q1,2010-03-31,분기별 영업이익,283000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1437107/000119312510100744/,,9
Warner Bros. Discovery,WBD,2010Q1,2010-03-31,분기별 당기순이익(지배),169000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1437107/000119312510100744/,,9
Warner Bros. Discovery,WBD,2010Q1,2010-03-31,분기별 영업활동현금흐름,126000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1437107/000119312510100744/,,9
Warner Bros. Discovery,WBD,2010Q1,2010-03-31,분기말 자산총계,10952000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1437107/000119312510100744/,,9
Warner Bros. Discovery,WBD,2010Q1,2010-03-31,분기말 부채총계,4568000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1437107/000119312510100744/,부채및자본 10952000000 − 총자본 6384000000,9
Warner Bros. Discovery,WBD,2010Q1,2010-03-31,분기말 총자본(자기자본),6384000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1437107/000119312510100744/,,9
Warner Bros. Discovery,WBD,2010Q1,2010-03-31,분기말 지배지분 자본,6359000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1437107/000119312510100744/,,9
Warner Bros. Discovery,WBD,2010Q1,2010-03-31,분기말 종가,33.79,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/WBD?interval=1d&events=splits (2010-03-31),분할조정 종가 17.2662 × 이후 분할계수 1.957,9
Warner Bros. Discovery,WBD,2010Q1,2010-03-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,9
Warner Bros. Discovery,WBD,2010Q1,2010-03-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,9
Warner Bros. Discovery,WBD,2010Q2,2010-06-30,분기별 매출액,963000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1437107/000119312510175470/,,9
Warner Bros. Discovery,WBD,2010Q2,2010-06-30,분기별 영업이익,372000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1437107/000119312510175470/,,9
Warner Bros. Discovery,WBD,2010Q2,2010-06-30,분기별 당기순이익(지배),107000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1437107/000119312510175470/,,9
Warner Bros. Discovery,WBD,2010Q2,2010-06-30,분기별 영업활동현금흐름,-36000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1437107/000119312510175470/ ; https://www.sec.gov/Archives/edgar/data/1437107/000119312510100744/,누적 90000000 − 직전누적 126000000 (시작 2010-01-01),9
Warner Bros. Discovery,WBD,2010Q2,2010-06-30,분기말 자산총계,11074000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1437107/000119312510175470/,,9
Warner Bros. Discovery,WBD,2010Q2,2010-06-30,분기말 부채총계,4560000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1437107/000119312510175470/,부채및자본 11074000000 − 총자본 6514000000,9
Warner Bros. Discovery,WBD,2010Q2,2010-06-30,분기말 총자본(자기자본),6514000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1437107/000119312510175470/,,9
Warner Bros. Discovery,WBD,2010Q2,2010-06-30,분기말 지배지분 자본,6486000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1437107/000119312510175470/,,9
Warner Bros. Discovery,WBD,2010Q2,2010-06-30,분기말 종가,35.71,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/WBD?interval=1d&events=splits (2010-06-30),분할조정 종가 18.2473 × 이후 분할계수 1.957,9
