기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Waste Management,WM,2010Q1,2010-03-31,분기별 매출액,2935000000,USD,공시,https://www.sec.gov/Archives/edgar/data/823768/000095012310040250/,,7
Waste Management,WM,2010Q1,2010-03-31,분기별 영업이익,412000000,USD,공시,https://www.sec.gov/Archives/edgar/data/823768/000095012310040250/,,7
Waste Management,WM,2010Q1,2010-03-31,분기별 당기순이익(지배),182000000,USD,공시,https://www.sec.gov/Archives/edgar/data/823768/000095012310040250/,,7
Waste Management,WM,2010Q1,2010-03-31,분기별 영업활동현금흐름,496000000,USD,공시,https://www.sec.gov/Archives/edgar/data/823768/000095012310040250/,,7
Waste Management,WM,2010Q1,2010-03-31,분기말 자산총계,20995000000,USD,공시,https://www.sec.gov/Archives/edgar/data/823768/000095012310040250/,,7
Waste Management,WM,2010Q1,2010-03-31,분기말 부채총계,14454000000,USD,공시,https://www.sec.gov/Archives/edgar/data/823768/000095012310040250/,,7
Waste Management,WM,2010Q1,2010-03-31,분기말 총자본(자기자본),6541000000,USD,공시,https://www.sec.gov/Archives/edgar/data/823768/000095012310040250/,,7
Waste Management,WM,2010Q1,2010-03-31,분기말 지배지분 자본,6233000000,USD,공시,https://www.sec.gov/Archives/edgar/data/823768/000095012310040250/,,7
Waste Management,WM,2010Q1,2010-03-31,분기말 종가,34.43,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/WM?interval=1d&events=splits (2010-03-31),,7
Waste Management,WM,2010Q1,2010-04-26,분기말 상장주식수,483019919,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/823768/000095012310040250/,dei:EntityCommonStockSharesOutstanding 클래스 합,7
Waste Management,WM,2010Q1,2010-03-31,분기말 시가총액,16630375811,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/WM?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/823768/000095012310040250/,종가 34.43 × 주식수 483019919,7
Waste Management,WM,2010Q2,2010-06-30,분기별 매출액,3158000000,USD,공시,https://www.sec.gov/Archives/edgar/data/823768/000095012310070947/,,7
Waste Management,WM,2010Q2,2010-06-30,분기별 영업이익,586000000,USD,공시,https://www.sec.gov/Archives/edgar/data/823768/000095012310070947/,,7
Waste Management,WM,2010Q2,2010-06-30,분기별 당기순이익(지배),246000000,USD,공시,https://www.sec.gov/Archives/edgar/data/823768/000095012310070947/,,7
