기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Williams Companies,WMB,2010Q1,2010-03-31,분기별 매출액,2596000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012310044054/,,7
Williams Companies,WMB,2010Q1,2010-03-31,분기별 영업이익,478000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012310044054/,,7
Williams Companies,WMB,2010Q1,2010-03-31,분기별 당기순이익(지배),-193000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012310044054/,,7
Williams Companies,WMB,2010Q1,2010-03-31,분기별 영업활동현금흐름,617000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012310044054/,,7
Williams Companies,WMB,2010Q1,2010-03-31,분기말 자산총계,25129000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012310044054/,,7
Williams Companies,WMB,2010Q1,2010-03-31,분기말 부채총계,16167000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/107263/000095012310044054/,부채및자본 25129000000 − 총자본 8962000000,7
Williams Companies,WMB,2010Q1,2010-03-31,분기말 총자본(자기자본),8962000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012310044054/,,7
Williams Companies,WMB,2010Q1,2010-03-31,분기말 지배지분 자본,7573000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012310044054/,,7
Williams Companies,WMB,2010Q1,2010-03-31,분기말 종가,23.1,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/WMB?interval=1d&events=splits (2010-03-31),분할조정 종가 18.8311 × 이후 분할계수 1.22669,7
Williams Companies,WMB,2010Q1,2010-04-30,분기말 상장주식수,584272911,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/107263/000095012310044054/,dei:EntityCommonStockSharesOutstanding 클래스 합,7
Williams Companies,WMB,2010Q1,2010-03-31,분기말 시가총액,13496704244,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/WMB?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/107263/000095012310044054/,종가 23.1 × 주식수 584272911,7
Williams Companies,WMB,2010Q2,2010-06-30,분기별 매출액,2292000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012310077419/,,7
Williams Companies,WMB,2010Q2,2010-06-30,분기별 영업이익,415000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012310077419/,,7
Williams Companies,WMB,2010Q2,2010-06-30,분기별 당기순이익(지배),185000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012310077419/,,7
Williams Companies,WMB,2010Q2,2010-06-30,분기별 영업활동현금흐름,680000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/107263/000095012310077419/ ; https://www.sec.gov/Archives/edgar/data/107263/000095012310044054/,누적 1297000000 − 직전누적 617000000 (시작 2010-01-01),7
Williams Companies,WMB,2010Q2,2010-06-30,분기말 자산총계,24947000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012310077419/,,7
Williams Companies,WMB,2010Q2,2010-06-30,분기말 부채총계,15921000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/107263/000095012310077419/,부채및자본 24947000000 − 총자본 9026000000,7
Williams Companies,WMB,2010Q2,2010-06-30,분기말 총자본(자기자본),9026000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012310077419/,,7
Williams Companies,WMB,2010Q2,2010-06-30,분기말 지배지분 자본,7633000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012310077419/,,7
Williams Companies,WMB,2010Q2,2010-06-30,분기말 종가,18.28,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/WMB?interval=1d&events=splits (2010-06-30),분할조정 종가 14.9019 × 이후 분할계수 1.22669,7
Williams Companies,WMB,2010Q2,2010-07-26,분기말 상장주식수,584669618,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/107263/000095012310077419/,dei:EntityCommonStockSharesOutstanding 클래스 합,7
Williams Companies,WMB,2010Q2,2010-06-30,분기말 시가총액,10687760617,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/WMB?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/107263/000095012310077419/,종가 18.28 × 주식수 584669618,7
Williams Companies,WMB,2010Q3,2010-09-30,분기별 매출액,2304000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012310097204/,,7
Williams Companies,WMB,2010Q3,2010-09-30,분기별 영업이익,-1291000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012310097204/,,7
Williams Companies,WMB,2010Q3,2010-09-30,분기별 당기순이익(지배),-1263000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012310097204/,,7
Williams Companies,WMB,2010Q3,2010-09-30,분기별 영업활동현금흐름,644000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/107263/000095012310097204/ ; https://www.sec.gov/Archives/edgar/data/107263/000095012310077419/,누적 1941000000 − 직전누적 1297000000 (시작 2010-01-01),7
Williams Companies,WMB,2010Q3,2010-09-30,분기말 자산총계,23848000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012310097204/,,7
Williams Companies,WMB,2010Q3,2010-09-30,분기말 부채총계,15672000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/107263/000095012310097204/,부채및자본 23848000000 − 총자본 8176000000,7
Williams Companies,WMB,2010Q3,2010-09-30,분기말 총자본(자기자본),8176000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012310097204/,,7
Williams Companies,WMB,2010Q3,2010-09-30,분기말 지배지분 자본,7025000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012310097204/,,7
Williams Companies,WMB,2010Q3,2010-09-30,분기말 종가,19.11,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/WMB?interval=1d&events=splits (2010-09-30),분할조정 종가 15.5785 × 이후 분할계수 1.22669,7
Williams Companies,WMB,2010Q3,2010-10-25,분기말 상장주식수,584774635,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/107263/000095012310097204/,dei:EntityCommonStockSharesOutstanding 클래스 합,7
Williams Companies,WMB,2010Q3,2010-09-30,분기말 시가총액,11175043275,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/WMB?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/107263/000095012310097204/,종가 19.11 × 주식수 584774635,7
Williams Companies,WMB,2010Q4,2010-12-31,분기별 매출액,2424000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/107263/000095012311018126/ ; https://www.sec.gov/Archives/edgar/data/107263/000095012310097204/,연간 9616000000 − 9개월누적 7192000000 (Revenues),7
Williams Companies,WMB,2010Q4,2010-12-31,분기별 영업이익,442000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/107263/000095012311018126/ ; https://www.sec.gov/Archives/edgar/data/107263/000095012310097204/,연간 44000000 − 9개월누적 -398000000 (OperatingIncomeLoss),7
Williams Companies,WMB,2010Q4,2010-12-31,분기별 당기순이익(지배),174000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/107263/000095012311018126/ ; https://www.sec.gov/Archives/edgar/data/107263/000095012310097204/,연간 -1097000000 − 9개월누적 -1271000000 (NetIncomeLoss),7
Williams Companies,WMB,2010Q4,2010-12-31,분기별 영업활동현금흐름,710000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/107263/000095012311018126/ ; https://www.sec.gov/Archives/edgar/data/107263/000095012310097204/,누적 2651000000 − 직전누적 1941000000 (시작 2010-01-01),7
Williams Companies,WMB,2010Q4,2010-12-31,분기말 자산총계,24972000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012311018126/,,7
Williams Companies,WMB,2010Q4,2010-12-31,분기말 부채총계,16838000000,USD,계산(부채및자본-총자본)(재작성 반영),https://www.sec.gov/Archives/edgar/data/107263/000095012311018126/,부채및자본 24972000000 − 총자본 8134000000 ; 원 공시 16353000000 (https://www.sec.gov/Archives/edgar/data/107263/000095012311018126/),7
Williams Companies,WMB,2010Q4,2010-12-31,분기말 총자본(자기자본),8134000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/107263/000010726314000003/,원 공시 8619000000 (https://www.sec.gov/Archives/edgar/data/107263/000095012311018126/),7
Williams Companies,WMB,2010Q4,2010-12-31,분기말 지배지분 자본,6803000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/107263/000119312512200819/,원 공시 7288000000 (https://www.sec.gov/Archives/edgar/data/107263/000095012311018126/),7
Williams Companies,WMB,2010Q4,2010-12-31,분기말 종가,24.72,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/WMB?interval=1d&events=splits (2010-12-31),분할조정 종가 20.1517 × 이후 분할계수 1.22669,7
Williams Companies,WMB,2010Q4,2011-02-21,분기말 상장주식수,586207919,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/107263/000095012311018126/,dei:EntityCommonStockSharesOutstanding 클래스 합,7
Williams Companies,WMB,2010Q4,2010-12-31,분기말 시가총액,14491059758,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/WMB?interval=1d&events=splits (2010-12-31) ; https://www.sec.gov/Archives/edgar/data/107263/000095012311018126/,종가 24.72 × 주식수 586207919,7
Williams Companies,WMB,2011Q1,2011-03-31,분기별 매출액,2575000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012311045402/,,7
Williams Companies,WMB,2011Q1,2011-03-31,분기별 영업이익,480000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012311045402/,,7
Williams Companies,WMB,2011Q1,2011-03-31,분기별 당기순이익(지배),321000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012311045402/,,7
Williams Companies,WMB,2011Q1,2011-03-31,분기별 영업활동현금흐름,811000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012311045402/,,7
Williams Companies,WMB,2011Q1,2011-03-31,분기말 자산총계,25083000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012311045402/,,7
Williams Companies,WMB,2011Q1,2011-03-31,분기말 부채총계,16204000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/107263/000095012311045402/,부채및자본 25083000000 − 총자본 8879000000,7
Williams Companies,WMB,2011Q1,2011-03-31,분기말 총자본(자기자본),8879000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012311045402/,,7
Williams Companies,WMB,2011Q1,2011-03-31,분기말 지배지분 자본,7537000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012311045402/,,7
Williams Companies,WMB,2011Q1,2011-03-31,분기말 종가,31.18,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/WMB?interval=1d&events=splits (2011-03-31),분할조정 종가 25.4179 × 이후 분할계수 1.22669,7
Williams Companies,WMB,2011Q1,2011-05-02,분기말 상장주식수,588146154,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/107263/000095012311045402/,dei:EntityCommonStockSharesOutstanding 클래스 합,7
Williams Companies,WMB,2011Q1,2011-03-31,분기말 시가총액,18338397082,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/WMB?interval=1d&events=splits (2011-03-31) ; https://www.sec.gov/Archives/edgar/data/107263/000095012311045402/,종가 31.18 × 주식수 588146154,7
Williams Companies,WMB,2011Q2,2011-06-30,분기별 매출액,2669000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012311072497/,,7
Williams Companies,WMB,2011Q2,2011-06-30,분기별 영업이익,547000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012311072497/,,7
Williams Companies,WMB,2011Q2,2011-06-30,분기별 당기순이익(지배),227000000,USD,공시,https://www.sec.gov/Archives/edgar/data/107263/000095012311072497/,,7
