기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Walmart,WMT,2010Q1,2010-04-30,분기별 매출액,재분류(미반영),99848000000,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312510132759/,99811000000,https://www.sec.gov/Archives/edgar/data/104169/000119312511158587/,2
Walmart,WMT,2010Q1,2010-04-30,분기별 영업이익,재분류(미반영),5772000000,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312510132759/,5737000000,https://www.sec.gov/Archives/edgar/data/104169/000119312511158587/,2
Walmart,WMT,2010Q1,2010-04-30,분기별 당기순이익(지배),재분류(미반영),3324000000,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312510132759/,3301000000,https://www.sec.gov/Archives/edgar/data/104169/000119312512134679/,2
Walmart,WMT,2010Q1,2010-04-30,분기말 자산총계,재작성 반영,174371000000,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312510132759/,174043000000,https://www.sec.gov/Archives/edgar/data/104169/000119312511158587/,2
Walmart,WMT,2010Q1,2010-04-30,분기말 부채총계,재작성 반영,105769000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/104169/000119312510132759/,105747000000,https://www.sec.gov/Archives/edgar/data/104169/000119312511158587/,2
Walmart,WMT,2010Q1,2010-04-30,분기말 총자본(자기자본),재작성 반영,68602000000,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312510132759/,68296000000,https://www.sec.gov/Archives/edgar/data/104169/000119312511158587/,2
Walmart,WMT,2010Q1,2010-04-30,분기말 지배지분 자본,재작성 반영,66329000000,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312510132759/,66023000000,https://www.sec.gov/Archives/edgar/data/104169/000119312511158587/,2
Walmart,WMT,2010Q4,2011-01-31,분기말 자산총계,재작성 반영,180663000000,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312511083157/,180782000000,https://www.sec.gov/Archives/edgar/data/104169/000010416913000011/,2
Walmart,WMT,2010Q4,2011-01-31,분기말 부채총계,재작성 반영,109416000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/104169/000119312511083157/,109535000000,https://www.sec.gov/Archives/edgar/data/104169/000119312512134679/,2
Walmart,WMT,2011Q1,2011-04-30,분기말 자산총계,재작성 반영,186065000000,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312511158587/,186225000000,https://www.sec.gov/Archives/edgar/data/104169/000144530512001926/,2
Walmart,WMT,2011Q1,2011-04-30,분기말 부채총계,재작성 반영,118073000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/104169/000119312511158587/,118233000000,https://www.sec.gov/Archives/edgar/data/104169/000144530512001926/,2
Walmart,WMT,2011Q2,2011-07-31,분기말 자산총계,재작성 반영,193656000000,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312511238857/,193872000000,https://www.sec.gov/Archives/edgar/data/104169/000010416912000014/,2
Walmart,WMT,2011Q2,2011-07-31,분기말 부채총계,재작성 반영,120808000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/104169/000119312511238857/,121024000000,https://www.sec.gov/Archives/edgar/data/104169/000010416912000014/,2
Walmart,WMT,2011Q3,2011-10-31,분기말 자산총계,재작성 반영,195039000000,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312511335177/,195244000000,https://www.sec.gov/Archives/edgar/data/104169/000010416912000018/,2
Walmart,WMT,2011Q3,2011-10-31,분기말 부채총계,재작성 반영,123648000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/104169/000119312511335177/,123853000000,https://www.sec.gov/Archives/edgar/data/104169/000010416912000018/,2
Walmart,WMT,2011Q4,2012-01-31,분기별 매출액,재분류(미반영),123169000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/104169/000119312512134679/ ; https://www.sec.gov/Archives/edgar/data/104169/000119312511335177/,122728000000,https://www.sec.gov/Archives/edgar/data/104169/000010416914000019/ ; https://www.sec.gov/Archives/edgar/data/104169/000119312511335177/,2
