기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Walmart,WMT,2010Q1,2010-04-30,분기별 매출액,99848000000,USD,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312510132759/,,2
Walmart,WMT,2010Q1,2010-04-30,분기별 영업이익,5772000000,USD,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312510132759/,,2
Walmart,WMT,2010Q1,2010-04-30,분기별 당기순이익(지배),3324000000,USD,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312510132759/,,2
Walmart,WMT,2010Q1,2010-04-30,분기별 영업활동현금흐름,973000000,USD,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312510132759/,,2
Walmart,WMT,2010Q1,2010-04-30,분기말 자산총계,174043000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/104169/000119312511158587/,원 공시 174371000000 (https://www.sec.gov/Archives/edgar/data/104169/000119312510132759/),2
Walmart,WMT,2010Q1,2010-04-30,분기말 부채총계,105747000000,USD,계산(부채및자본-총자본)(재작성 반영),https://www.sec.gov/Archives/edgar/data/104169/000119312511158587/,부채및자본 174043000000 − 총자본 68296000000 ; 원 공시 105769000000 (https://www.sec.gov/Archives/edgar/data/104169/000119312510132759/),2
Walmart,WMT,2010Q1,2010-04-30,분기말 총자본(자기자본),68296000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/104169/000119312511158587/,원 공시 68602000000 (https://www.sec.gov/Archives/edgar/data/104169/000119312510132759/),2
Walmart,WMT,2010Q1,2010-04-30,분기말 지배지분 자본,66023000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/104169/000119312511158587/,원 공시 66329000000 (https://www.sec.gov/Archives/edgar/data/104169/000119312510132759/),2
Walmart,WMT,2010Q1,2010-04-30,분기말 종가,53.64,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/WMT?interval=1d&events=splits (2010-04-30),분할조정 종가 17.88 × 이후 분할계수 3,2
Walmart,WMT,2010Q1,2010-06-01,분기말 상장주식수,3709648571,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/104169/000119312510132759/,dei:EntityCommonStockSharesOutstanding 클래스 합,2
Walmart,WMT,2010Q1,2010-04-30,분기말 시가총액,198985549348,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/WMT?interval=1d&events=splits (2010-04-30) ; https://www.sec.gov/Archives/edgar/data/104169/000119312510132759/,종가 53.64 × 주식수 3709648571,2
Walmart,WMT,2010Q2,2010-07-31,분기별 매출액,103726000000,USD,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312510202779/,,2
Walmart,WMT,2010Q2,2010-07-31,분기별 영업이익,6190000000,USD,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312510202779/,,2
Walmart,WMT,2010Q2,2010-07-31,분기별 당기순이익(지배),3596000000,USD,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312510202779/,,2
Walmart,WMT,2010Q2,2010-07-31,분기별 영업활동현금흐름,9046000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/104169/000119312510202779/ ; https://www.sec.gov/Archives/edgar/data/104169/000119312510132759/,누적 10019000000 − 직전누적 973000000 (시작 2010-02-01),2
Walmart,WMT,2010Q2,2010-07-31,분기말 자산총계,176944000000,USD,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312510202779/,,2
Walmart,WMT,2010Q2,2010-07-31,분기말 부채총계,110048000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/104169/000119312510202779/,부채및자본 176944000000 − 총자본 66896000000,2
Walmart,WMT,2010Q2,2010-07-31,분기말 총자본(자기자본),66896000000,USD,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312510202779/,,2
Walmart,WMT,2010Q2,2010-07-31,분기말 지배지분 자본,64646000000,USD,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312510202779/,,2
Walmart,WMT,2010Q2,2010-07-30,분기말 종가,51.19,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/WMT?interval=1d&events=splits (2010-07-30),분할조정 종가 17.0633 × 이후 분할계수 3,2
Walmart,WMT,2010Q2,2010-08-27,분기말 상장주식수,3636547192,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/104169/000119312510202779/,dei:EntityCommonStockSharesOutstanding 클래스 합,2
Walmart,WMT,2010Q2,2010-07-30,분기말 시가총액,186154850758,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/WMT?interval=1d&events=splits (2010-07-30) ; https://www.sec.gov/Archives/edgar/data/104169/000119312510202779/,종가 51.19 × 주식수 3636547192,2
Walmart,WMT,2010Q3,2010-10-31,분기별 매출액,101952000000,USD,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312510274171/,,2
Walmart,WMT,2010Q3,2010-10-31,분기별 영업이익,5611000000,USD,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312510274171/,,2
Walmart,WMT,2010Q3,2010-10-31,분기별 당기순이익(지배),3436000000,USD,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312510274171/,,2
Walmart,WMT,2010Q3,2010-10-31,분기별 영업활동현금흐름,2246000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/104169/000119312510274171/ ; https://www.sec.gov/Archives/edgar/data/104169/000119312510202779/,누적 12265000000 − 직전누적 10019000000 (시작 2010-02-01),2
Walmart,WMT,2010Q3,2010-10-31,분기말 자산총계,186890000000,USD,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312510274171/,,2
Walmart,WMT,2010Q3,2010-10-31,분기말 부채총계,118870000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/104169/000119312510274171/,부채및자본 186890000000 − 총자본 68020000000,2
Walmart,WMT,2010Q3,2010-10-31,분기말 총자본(자기자본),68020000000,USD,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312510274171/,,2
Walmart,WMT,2010Q3,2010-10-31,분기말 지배지분 자본,65525000000,USD,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312510274171/,,2
Walmart,WMT,2010Q3,2010-10-29,분기말 종가,54.17,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/WMT?interval=1d&events=splits (2010-10-29),분할조정 종가 18.0567 × 이후 분할계수 3,2
Walmart,WMT,2010Q3,2010-11-30,분기말 상장주식수,3561994294,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/104169/000119312510274171/,dei:EntityCommonStockSharesOutstanding 클래스 합,2
Walmart,WMT,2010Q3,2010-10-29,분기말 시가총액,192953230906,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/WMT?interval=1d&events=splits (2010-10-29) ; https://www.sec.gov/Archives/edgar/data/104169/000119312510274171/,종가 54.17 × 주식수 3561994294,2
Walmart,WMT,2010Q4,2011-01-31,분기별 매출액,116360000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/104169/000119312511083157/ ; https://www.sec.gov/Archives/edgar/data/104169/000119312510274171/,연간 421849000000 − 9개월누적 305489000000 (Revenues),2
Walmart,WMT,2010Q4,2011-01-31,분기별 영업이익,8004000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/104169/000119312511083157/ ; https://www.sec.gov/Archives/edgar/data/104169/000119312510274171/,연간 25542000000 − 9개월누적 17538000000 (OperatingIncomeLoss),2
Walmart,WMT,2010Q4,2011-01-31,분기별 당기순이익(지배),6056000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/104169/000119312511083157/ ; https://www.sec.gov/Archives/edgar/data/104169/000119312510274171/,연간 16389000000 − 9개월누적 10333000000 (NetIncomeLoss),2
Walmart,WMT,2010Q4,2011-01-31,분기별 영업활동현금흐름,11378000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/104169/000119312511083157/ ; https://www.sec.gov/Archives/edgar/data/104169/000119312510274171/,누적 23643000000 − 직전누적 12265000000 (시작 2010-02-01),2
Walmart,WMT,2010Q4,2011-01-31,분기말 자산총계,180782000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/104169/000010416913000011/,원 공시 180663000000 (https://www.sec.gov/Archives/edgar/data/104169/000119312511083157/),2
Walmart,WMT,2010Q4,2011-01-31,분기말 부채총계,109535000000,USD,계산(부채및자본-총자본)(재작성 반영),https://www.sec.gov/Archives/edgar/data/104169/000119312512134679/,부채및자본 180782000000 − 총자본 71247000000 ; 원 공시 109416000000 (https://www.sec.gov/Archives/edgar/data/104169/000119312511083157/),2
Walmart,WMT,2010Q4,2011-01-31,분기말 총자본(자기자본),71247000000,USD,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312511083157/,,2
Walmart,WMT,2010Q4,2011-01-31,분기말 지배지분 자본,68542000000,USD,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312511083157/,,2
Walmart,WMT,2010Q4,2011-01-31,분기말 종가,56.07,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/WMT?interval=1d&events=splits (2011-01-31),분할조정 종가 18.69 × 이후 분할계수 3,2
Walmart,WMT,2010Q4,2011-03-21,분기말 상장주식수,3491198520,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/104169/000119312511083157/,dei:EntityCommonStockSharesOutstanding 클래스 합,2
Walmart,WMT,2010Q4,2011-01-31,분기말 시가총액,195751501016,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/WMT?interval=1d&events=splits (2011-01-31) ; https://www.sec.gov/Archives/edgar/data/104169/000119312511083157/,종가 56.07 × 주식수 3491198520,2
Walmart,WMT,2011Q1,2011-04-30,분기별 매출액,104189000000,USD,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312511158587/,,2
Walmart,WMT,2011Q1,2011-04-30,분기별 영업이익,5896000000,USD,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312511158587/,,2
Walmart,WMT,2011Q1,2011-04-30,분기별 당기순이익(지배),3399000000,USD,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312511158587/,,2
Walmart,WMT,2011Q1,2011-04-30,분기별 영업활동현금흐름,1974000000,USD,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312511158587/,,2
Walmart,WMT,2011Q1,2011-04-30,분기말 자산총계,186225000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/104169/000144530512001926/,원 공시 186065000000 (https://www.sec.gov/Archives/edgar/data/104169/000119312511158587/),2
Walmart,WMT,2011Q1,2011-04-30,분기말 부채총계,118233000000,USD,계산(부채및자본-총자본)(재작성 반영),https://www.sec.gov/Archives/edgar/data/104169/000144530512001926/,부채및자본 186225000000 − 총자본 67992000000 ; 원 공시 118073000000 (https://www.sec.gov/Archives/edgar/data/104169/000119312511158587/),2
Walmart,WMT,2011Q1,2011-04-30,분기말 총자본(자기자본),67992000000,USD,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312511158587/,,2
Walmart,WMT,2011Q1,2011-04-30,분기말 지배지분 자본,65006000000,USD,공시,https://www.sec.gov/Archives/edgar/data/104169/000119312511158587/,,2
