기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Williams-Sonoma,WSM,2010Q1,2010-05-02,분기별 매출액,717637000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/719955/000119312511162733/,SalesRevenueNet ; 그 분기 보고서에 연결 총계가 없어 2011-06-10 제출본의 비교기간에서 읽었다,15
Williams-Sonoma,WSM,2010Q1,2010-05-02,분기별 영업이익,32461000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/719955/000119312512140070/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2012-03-29 제출본의 비교기간에서 읽었다,15
Williams-Sonoma,WSM,2010Q1,2010-05-02,분기별 당기순이익(지배),19538000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/719955/000119312511162733/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-06-10 제출본의 비교기간에서 읽었다,15
Williams-Sonoma,WSM,2010Q1,2010-05-02,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/719955/000119312510137676/,,15
Williams-Sonoma,WSM,2010Q1,2010-05-02,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/719955/000119312510137676/,,15
Williams-Sonoma,WSM,2010Q1,2010-05-02,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/719955/000119312510137676/,,15
Williams-Sonoma,WSM,2010Q1,2010-05-02,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/719955/000119312510137676/,,15
Williams-Sonoma,WSM,2010Q1,2010-05-02,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/719955/000119312510137676/,,15
Williams-Sonoma,WSM,2010Q1,2010-04-30,분기말 종가,28.8,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/WSM?interval=1d&events=splits (2010-04-30),분할조정 종가 14.4 × 이후 분할계수 2,15
Williams-Sonoma,WSM,2010Q1,2010-05-02,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,15
Williams-Sonoma,WSM,2010Q1,2010-05-02,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,15
Williams-Sonoma,WSM,2010Q2,2010-08-01,분기별 매출액,775554000,USD,공시,https://www.sec.gov/Archives/edgar/data/719955/000119312510208171/,,15
Williams-Sonoma,WSM,2010Q2,2010-08-01,분기별 영업이익,51197000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/719955/000119312512140070/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2012-03-29 제출본의 비교기간에서 읽었다,15
Williams-Sonoma,WSM,2010Q2,2010-08-01,분기별 당기순이익(지배),30759000,USD,공시,https://www.sec.gov/Archives/edgar/data/719955/000119312510208171/,,15
Williams-Sonoma,WSM,2010Q2,2010-08-01,분기별 영업활동현금흐름,데이터 없음(직전 분기 누적 보고서 없음),USD,데이터 없음(직전 보고서 없음),https://www.sec.gov/Archives/edgar/data/719955/000119312510208171/,,15
Williams-Sonoma,WSM,2010Q2,2010-08-01,분기말 자산총계,1995493000,USD,공시,https://www.sec.gov/Archives/edgar/data/719955/000119312510208171/,,15
