기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
West Pharmaceutical,WST,2010Q1,2010-05-06,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/105770/000010577010000019/,,15
West Pharmaceutical,WST,2010Q1,2010-05-06,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/105770/000010577010000019/,,15
West Pharmaceutical,WST,2010Q1,2010-05-06,분기별 당기순이익(지배),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/105770/000010577010000019/,,15
West Pharmaceutical,WST,2010Q1,2010-05-06,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/105770/000010577010000019/,,15
West Pharmaceutical,WST,2010Q1,2010-05-06,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/105770/000010577010000019/,,15
West Pharmaceutical,WST,2010Q1,2010-05-06,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/105770/000010577010000019/,,15
West Pharmaceutical,WST,2010Q1,2010-05-06,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/105770/000010577010000019/,,15
West Pharmaceutical,WST,2010Q1,2010-05-06,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/105770/000010577010000019/,,15
West Pharmaceutical,WST,2010Q1,2010-05-06,분기말 종가,41.01,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/WST?interval=1d&events=splits (2010-05-06),분할조정 종가 20.505 × 이후 분할계수 2,15
West Pharmaceutical,WST,2010Q1,2010-05-06,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,15
West Pharmaceutical,WST,2010Q1,2010-05-06,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,15
West Pharmaceutical,WST,2010Q2,2010-06-30,분기별 매출액,281800000,USD,공시,https://www.sec.gov/Archives/edgar/data/105770/000010577010000032/,,15
West Pharmaceutical,WST,2010Q2,2010-06-30,분기별 영업이익,30500000,USD,공시,https://www.sec.gov/Archives/edgar/data/105770/000010577010000032/,,15
West Pharmaceutical,WST,2010Q2,2010-06-30,분기별 당기순이익(지배),21700000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/105770/000010577010000032/,,15
West Pharmaceutical,WST,2010Q2,2010-06-30,분기별 영업활동현금흐름,데이터 없음(직전 분기 누적 보고서 없음),USD,데이터 없음(직전 보고서 없음),https://www.sec.gov/Archives/edgar/data/105770/000010577010000032/,,15
West Pharmaceutical,WST,2010Q2,2010-06-30,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/105770/000010577010000032/,자체 검증 실패: 자산 1222100000 ≠ 부채 651100000 + 총자본 641500000 + 메자닌 0 (차이 -70500000),15
West Pharmaceutical,WST,2010Q2,2010-06-30,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/105770/000010577010000032/,자체 검증 실패: 자산 1222100000 ≠ 부채 651100000 + 총자본 641500000 + 메자닌 0 (차이 -70500000),15
West Pharmaceutical,WST,2010Q2,2010-06-30,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/105770/000010577010000032/,자체 검증 실패: 자산 1222100000 ≠ 부채 651100000 + 총자본 641500000 + 메자닌 0 (차이 -70500000),15
West Pharmaceutical,WST,2010Q2,2010-06-30,분기말 지배지분 자본,641500000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/105770/000010577010000032/,"StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest, MinorityInterest 태그 없음",15
West Pharmaceutical,WST,2010Q2,2010-06-30,분기말 종가,36.49,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/WST?interval=1d&events=splits (2010-06-30),분할조정 종가 18.245 × 이후 분할계수 2,15
West Pharmaceutical,WST,2010Q2,2010-07-31,분기말 상장주식수,33275616000000,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/105770/000010577010000032/,dei:EntityCommonStockSharesOutstanding 클래스 합,15
West Pharmaceutical,WST,2010Q2,2010-06-30,분기말 시가총액,1214227227840000,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/WST?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/105770/000010577010000032/,종가 36.49 × 주식수 33275616000000,15
West Pharmaceutical,WST,2010Q3,2010-09-30,분기별 매출액,271400000,USD,공시,https://www.sec.gov/Archives/edgar/data/105770/000010577010000045/,,15
West Pharmaceutical,WST,2010Q3,2010-09-30,분기별 영업이익,25300000,USD,공시,https://www.sec.gov/Archives/edgar/data/105770/000010577010000045/,,15
West Pharmaceutical,WST,2010Q3,2010-09-30,분기별 당기순이익(지배),17800000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/105770/000010577010000045/,,15
West Pharmaceutical,WST,2010Q3,2010-09-30,분기별 영업활동현금흐름,48000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/105770/000010577010000045/ ; https://www.sec.gov/Archives/edgar/data/105770/000010577010000032/,누적 91100000 − 직전누적 43100000 (시작 2010-01-01),15
West Pharmaceutical,WST,2010Q3,2010-09-30,분기말 자산총계,1299600000,USD,공시,https://www.sec.gov/Archives/edgar/data/105770/000010577010000045/,,15
West Pharmaceutical,WST,2010Q3,2010-09-30,분기말 부채총계,667500000,USD,공시,https://www.sec.gov/Archives/edgar/data/105770/000010577010000045/,,15
West Pharmaceutical,WST,2010Q3,2010-09-30,분기말 총자본(자기자본),632100000,USD,공시,https://www.sec.gov/Archives/edgar/data/105770/000010577010000045/,,15
West Pharmaceutical,WST,2010Q3,2010-09-30,분기말 지배지분 자본,632100000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/105770/000010577010000045/,"StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest, MinorityInterest 태그 없음",15
West Pharmaceutical,WST,2010Q3,2010-09-30,분기말 종가,34.31,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/WST?interval=1d&events=splits (2010-09-30),분할조정 종가 17.155 × 이후 분할계수 2,15
West Pharmaceutical,WST,2010Q3,2010-10-31,분기말 상장주식수,33298173,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/105770/000010577010000045/,dei:EntityCommonStockSharesOutstanding 클래스 합,15
West Pharmaceutical,WST,2010Q3,2010-09-30,분기말 시가총액,1142460316,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/WST?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/105770/000010577010000045/,종가 34.31 × 주식수 33298173,15
West Pharmaceutical,WST,2010Q4,2010-12-31,분기별 매출액,276800000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/105770/000010577011000016/ ; https://www.sec.gov/Archives/edgar/data/105770/000010577010000045/,연간 1104700000 − 9개월누적 827900000 (SalesRevenueNet),15
West Pharmaceutical,WST,2010Q4,2010-12-31,분기별 영업이익,5900000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/105770/000010577011000016/ ; https://www.sec.gov/Archives/edgar/data/105770/000010577010000045/,연간 90700000 − 9개월누적 84800000 (OperatingIncomeLoss),15
West Pharmaceutical,WST,2010Q4,2010-12-31,분기별 당기순이익(지배),6000000,USD,계산(연간(연결-비지배)-3분기누적),https://www.sec.gov/Archives/edgar/data/105770/000010577011000016/ ; https://www.sec.gov/Archives/edgar/data/105770/000010577010000045/,"연간 연결 65300000 − 비지배 0 − (9개월 연결 59300000, 비지배 태그 없음)",15
West Pharmaceutical,WST,2010Q4,2010-12-31,분기별 영업활동현금흐름,47200000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/105770/000010577011000016/ ; https://www.sec.gov/Archives/edgar/data/105770/000010577010000045/,누적 138300000 − 직전누적 91100000 (시작 2010-01-01),15
West Pharmaceutical,WST,2010Q4,2010-12-31,분기말 자산총계,1294300000,USD,공시,https://www.sec.gov/Archives/edgar/data/105770/000010577011000016/,,15
West Pharmaceutical,WST,2010Q4,2010-12-31,분기말 부채총계,668600000,USD,공시,https://www.sec.gov/Archives/edgar/data/105770/000010577011000016/,,15
West Pharmaceutical,WST,2010Q4,2010-12-31,분기말 총자본(자기자본),625700000,USD,공시,https://www.sec.gov/Archives/edgar/data/105770/000010577011000016/,,15
West Pharmaceutical,WST,2010Q4,2010-12-31,분기말 지배지분 자본,625700000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/105770/000010577011000016/,"StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest, MinorityInterest 태그 없음",15
West Pharmaceutical,WST,2010Q4,2010-12-31,분기말 종가,41.2,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/WST?interval=1d&events=splits (2010-12-31),분할조정 종가 20.6 × 이후 분할계수 2,15
West Pharmaceutical,WST,2010Q4,2011-01-31,분기말 상장주식수,33346217,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/105770/000010577011000016/,dei:EntityCommonStockSharesOutstanding 클래스 합,15
West Pharmaceutical,WST,2010Q4,2010-12-31,분기말 시가총액,1373864140,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/WST?interval=1d&events=splits (2010-12-31) ; https://www.sec.gov/Archives/edgar/data/105770/000010577011000016/,종가 41.2 × 주식수 33346217,15
West Pharmaceutical,WST,2011Q1,2011-03-31,분기별 매출액,295400000,USD,공시,https://www.sec.gov/Archives/edgar/data/105770/000010577011000022/,,15
West Pharmaceutical,WST,2011Q1,2011-03-31,분기별 영업이익,28800000,USD,공시,https://www.sec.gov/Archives/edgar/data/105770/000010577011000022/,,15
West Pharmaceutical,WST,2011Q1,2011-03-31,분기별 당기순이익(지배),19600000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/105770/000010577011000022/,,15
West Pharmaceutical,WST,2011Q1,2011-03-31,분기별 영업활동현금흐름,9500000,USD,공시,https://www.sec.gov/Archives/edgar/data/105770/000010577011000022/,,15
West Pharmaceutical,WST,2011Q1,2011-03-31,분기말 자산총계,1366100000,USD,공시,https://www.sec.gov/Archives/edgar/data/105770/000010577011000022/,,15
West Pharmaceutical,WST,2011Q1,2011-03-31,분기말 부채총계,703000000,USD,공시,https://www.sec.gov/Archives/edgar/data/105770/000010577011000022/,,15
West Pharmaceutical,WST,2011Q1,2011-03-31,분기말 총자본(자기자본),663100000,USD,공시,https://www.sec.gov/Archives/edgar/data/105770/000010577011000022/,,15
West Pharmaceutical,WST,2011Q1,2011-03-31,분기말 지배지분 자본,663100000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/105770/000010577011000022/,"StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest, MinorityInterest 태그 없음",15
West Pharmaceutical,WST,2011Q1,2011-03-31,분기말 종가,44.77,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/WST?interval=1d&events=splits (2011-03-31),분할조정 종가 22.385 × 이후 분할계수 2,15
West Pharmaceutical,WST,2011Q1,2011-04-30,분기말 상장주식수,33487904,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/105770/000010577011000022/,dei:EntityCommonStockSharesOutstanding 클래스 합,15
West Pharmaceutical,WST,2011Q1,2011-03-31,분기말 시가총액,1499253462,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/WST?interval=1d&events=splits (2011-03-31) ; https://www.sec.gov/Archives/edgar/data/105770/000010577011000022/,종가 44.77 × 주식수 33487904,15
West Pharmaceutical,WST,2011Q2,2011-06-30,분기별 매출액,307900000,USD,공시,https://www.sec.gov/Archives/edgar/data/105770/000010577011000045/,,15
West Pharmaceutical,WST,2011Q2,2011-06-30,분기별 영업이익,27800000,USD,공시,https://www.sec.gov/Archives/edgar/data/105770/000010577011000045/,,15
West Pharmaceutical,WST,2011Q2,2011-06-30,분기별 당기순이익(지배),20100000,USD,공시,https://www.sec.gov/Archives/edgar/data/105770/000010577011000045/,,15
West Pharmaceutical,WST,2011Q2,2011-06-30,분기별 영업활동현금흐름,39700000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/105770/000010577011000045/ ; https://www.sec.gov/Archives/edgar/data/105770/000010577011000022/,누적 49200000 − 직전누적 9500000 (시작 2011-01-01),15
West Pharmaceutical,WST,2011Q2,2011-06-30,분기말 자산총계,1415300000,USD,공시,https://www.sec.gov/Archives/edgar/data/105770/000010577011000045/,,15
West Pharmaceutical,WST,2011Q2,2011-06-30,분기말 부채총계,719300000,USD,공시,https://www.sec.gov/Archives/edgar/data/105770/000010577011000045/,,15
West Pharmaceutical,WST,2011Q2,2011-06-30,분기말 총자본(자기자본),696000000,USD,공시,https://www.sec.gov/Archives/edgar/data/105770/000010577011000045/,,15
West Pharmaceutical,WST,2011Q2,2011-06-30,분기말 지배지분 자본,696000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/105770/000010577011000045/,"StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest, MinorityInterest 태그 없음",15
