기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Xcel Energy,XEL,2010Q1,2010-03-31,분기별 영업활동현금흐름,재분류(미반영),555539000,공시,https://www.sec.gov/Archives/edgar/data/72903/000110465910024080/,551577000,https://www.sec.gov/Archives/edgar/data/72903/000114036111024012/,11
Xcel Energy,XEL,2010Q2,2010-06-30,분기별 영업활동현금흐름,재분류(미반영),355992000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/72903/000110465910040854/ ; https://www.sec.gov/Archives/edgar/data/72903/000110465910024080/,361638000,https://www.sec.gov/Archives/edgar/data/72903/000114036111038534/ ; https://www.sec.gov/Archives/edgar/data/72903/000114036111024012/,11
Xcel Energy,XEL,2010Q3,2010-09-30,분기별 영업활동현금흐름,재분류(미반영),610198000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/72903/000114036110042720/ ; https://www.sec.gov/Archives/edgar/data/72903/000110465910040854/,613108000,https://www.sec.gov/Archives/edgar/data/72903/000114036111050788/ ; https://www.sec.gov/Archives/edgar/data/72903/000114036111038534/,11
Xcel Energy,XEL,2014Q4,2014-12-31,분기별 영업활동현금흐름,재작성 반영,643851000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/72903/000007290315000011/ ; https://www.sec.gov/Archives/edgar/data/72903/000007290314000085/,655145000,https://www.sec.gov/Archives/edgar/data/72903/000007290317000008/ ; https://www.sec.gov/Archives/edgar/data/72903/000007290314000085/,11
Xcel Energy,XEL,2015Q4,2015-12-31,분기별 영업활동현금흐름,재작성 반영,535917000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/72903/000007290316000123/ ; https://www.sec.gov/Archives/edgar/data/72903/000007290315000098/,548078000,https://www.sec.gov/Archives/edgar/data/72903/000007290318000009/ ; https://www.sec.gov/Archives/edgar/data/72903/000007290315000098/,11
Xcel Energy,XEL,2015Q4,2015-12-31,분기말 자산총계,재작성 반영,39053535000,공시,https://www.sec.gov/Archives/edgar/data/72903/000007290316000123/,38821477000,https://www.sec.gov/Archives/edgar/data/72903/000007290317000008/,11
Xcel Energy,XEL,2015Q4,2015-12-31,분기말 부채총계,재작성 반영,28452615000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/72903/000007290316000123/,28220557000,https://www.sec.gov/Archives/edgar/data/72903/000007290317000008/,11
Xcel Energy,XEL,2016Q1,2016-03-31,분기별 영업활동현금흐름,재작성 반영,790063000,공시,https://www.sec.gov/Archives/edgar/data/72903/000007290316000136/,802550000,https://www.sec.gov/Archives/edgar/data/72903/000007290317000017/,11
Xcel Energy,XEL,2016Q4,2016-12-31,분기별 영업이익,재작성 반영,465350000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/72903/000007290317000008/ ; https://www.sec.gov/Archives/edgar/data/72903/000007290316000171/,491495000,https://www.sec.gov/Archives/edgar/data/72903/000007290319000010/ ; https://www.sec.gov/Archives/edgar/data/72903/000007290316000171/,11
Xcel Energy,XEL,2016Q4,2016-12-31,분기별 영업활동현금흐름,재작성 반영,639445000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/72903/000007290317000008/ ; https://www.sec.gov/Archives/edgar/data/72903/000007290316000171/,626958000,https://www.sec.gov/Archives/edgar/data/72903/000007290317000008/ ; https://www.sec.gov/Archives/edgar/data/72903/000007290317000064/,11
Xcel Energy,XEL,2017Q1,2017-03-31,분기별 영업이익,재작성 반영,486219000,공시,https://www.sec.gov/Archives/edgar/data/72903/000007290317000017/,492000000,https://www.sec.gov/Archives/edgar/data/72903/000007290319000010/,11
Xcel Energy,XEL,2017Q1,2017-03-31,분기말 부채총계,재작성 반영,30215230000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/72903/000007290317000017/,30216341000,https://www.sec.gov/Archives/edgar/data/72903/000007290317000017/,11
Xcel Energy,XEL,2017Q1,2017-03-31,분기말 총자본(자기자본),재작성 반영,11070111000,공시,https://www.sec.gov/Archives/edgar/data/72903/000007290317000017/,11069000000,https://www.sec.gov/Archives/edgar/data/72903/000007290318000042/,11
Xcel Energy,XEL,2017Q2,2017-06-30,분기별 영업이익,재작성 반영,459692000,공시,https://www.sec.gov/Archives/edgar/data/72903/000007290317000043/,466000000,https://www.sec.gov/Archives/edgar/data/72903/000007290319000010/,11
Xcel Energy,XEL,2017Q3,2017-09-30,분기별 영업이익,재작성 반영,818359000,공시,https://www.sec.gov/Archives/edgar/data/72903/000007290317000064/,824000000,https://www.sec.gov/Archives/edgar/data/72903/000007290319000010/,11
Xcel Energy,XEL,2017Q4,2017-12-31,분기별 영업이익,재작성 반영,425730000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/72903/000007290318000009/ ; https://www.sec.gov/Archives/edgar/data/72903/000007290317000064/,439000000,https://www.sec.gov/Archives/edgar/data/72903/000007290320000011/ ; https://www.sec.gov/Archives/edgar/data/72903/000007290318000056/,11
