기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Exxon Mobil,XOM,2010Q1,2010-03-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/34088/000119312510110539/,,2
Exxon Mobil,XOM,2010Q1,2010-03-31,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000034088: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000034088: OperatingIncomeLoss 태그 없음(영업이익 미공시),,2
Exxon Mobil,XOM,2010Q1,2010-03-31,분기별 당기순이익(지배),6300000000,USD,공시,https://www.sec.gov/Archives/edgar/data/34088/000119312510110539/,,2
Exxon Mobil,XOM,2010Q1,2010-03-31,분기별 영업활동현금흐름,13046000000,USD,공시,https://www.sec.gov/Archives/edgar/data/34088/000119312510110539/,,2
Exxon Mobil,XOM,2010Q1,2010-03-31,분기말 자산총계,242748000000,USD,공시,https://www.sec.gov/Archives/edgar/data/34088/000119312510110539/,,2
Exxon Mobil,XOM,2010Q1,2010-03-31,분기말 부채총계,125082000000,USD,공시,https://www.sec.gov/Archives/edgar/data/34088/000119312510110539/,,2
Exxon Mobil,XOM,2010Q1,2010-03-31,분기말 총자본(자기자본),117666000000,USD,공시,https://www.sec.gov/Archives/edgar/data/34088/000119312510110539/,,2
Exxon Mobil,XOM,2010Q1,2010-03-31,분기말 지배지분 자본,112541000000,USD,공시,https://www.sec.gov/Archives/edgar/data/34088/000119312510110539/,,2
Exxon Mobil,XOM,2010Q1,2010-03-31,분기말 종가,66.98,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/XOM?interval=1d&events=splits (2010-03-31),,2
Exxon Mobil,XOM,2010Q1,2010-03-31,분기말 상장주식수,4698053742,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/34088/000119312510110539/,dei:EntityCommonStockSharesOutstanding 클래스 합,2
Exxon Mobil,XOM,2010Q1,2010-03-31,분기말 시가총액,314675639639,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/XOM?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/34088/000119312510110539/,종가 66.98 × 주식수 4698053742,2
Exxon Mobil,XOM,2010Q2,2010-06-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/34088/000119312510177038/,,2
Exxon Mobil,XOM,2010Q2,2010-06-30,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000034088: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000034088: OperatingIncomeLoss 태그 없음(영업이익 미공시),,2
Exxon Mobil,XOM,2010Q2,2010-06-30,분기별 당기순이익(지배),7560000000,USD,공시,https://www.sec.gov/Archives/edgar/data/34088/000119312510177038/,,2
Exxon Mobil,XOM,2010Q2,2010-06-30,분기별 영업활동현금흐름,9235000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/34088/000119312510177038/ ; https://www.sec.gov/Archives/edgar/data/34088/000119312510110539/,누적 22281000000 − 직전누적 13046000000 (시작 2010-01-01),2
Exxon Mobil,XOM,2010Q2,2010-06-30,분기말 자산총계,291068000000,USD,공시,https://www.sec.gov/Archives/edgar/data/34088/000119312510177038/,,2
Exxon Mobil,XOM,2010Q2,2010-06-30,분기말 부채총계,145701000000,USD,공시,https://www.sec.gov/Archives/edgar/data/34088/000119312510177038/,,2
Exxon Mobil,XOM,2010Q2,2010-06-30,분기말 총자본(자기자본),145367000000,USD,공시,https://www.sec.gov/Archives/edgar/data/34088/000119312510177038/,,2
Exxon Mobil,XOM,2010Q2,2010-06-30,분기말 지배지분 자본,140172000000,USD,공시,https://www.sec.gov/Archives/edgar/data/34088/000119312510177038/,,2
Exxon Mobil,XOM,2010Q2,2010-06-30,분기말 종가,57.07,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/XOM?interval=1d&events=splits (2010-06-30),,2
Exxon Mobil,XOM,2010Q2,2010-06-30,분기말 상장주식수,5091804265,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/34088/000119312510177038/,dei:EntityCommonStockSharesOutstanding 클래스 합,2
Exxon Mobil,XOM,2010Q2,2010-06-30,분기말 시가총액,290589269404,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/XOM?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/34088/000119312510177038/,종가 57.07 × 주식수 5091804265,2
Exxon Mobil,XOM,2010Q3,2010-09-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/34088/000119312510246050/,,2
Exxon Mobil,XOM,2010Q3,2010-09-30,분기별 영업이익,미확인,USD,미확인,SEC companyfacts CIK0000034088: 해당 보고서에 OperatingIncomeLoss 태그 없음(영업이익 미공시) ; SEC companyfacts CIK0000034088: OperatingIncomeLoss 태그 없음(영업이익 미공시),,2
Exxon Mobil,XOM,2010Q3,2010-09-30,분기별 당기순이익(지배),7350000000,USD,공시,https://www.sec.gov/Archives/edgar/data/34088/000119312510246050/,,2
Exxon Mobil,XOM,2010Q3,2010-09-30,분기별 영업활동현금흐름,13077000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/34088/000119312510246050/ ; https://www.sec.gov/Archives/edgar/data/34088/000119312510177038/,누적 35358000000 − 직전누적 22281000000 (시작 2010-01-01),2
Exxon Mobil,XOM,2010Q3,2010-09-30,분기말 자산총계,299994000000,USD,공시,https://www.sec.gov/Archives/edgar/data/34088/000119312510246050/,,2
Exxon Mobil,XOM,2010Q3,2010-09-30,분기말 부채총계,149394000000,USD,공시,https://www.sec.gov/Archives/edgar/data/34088/000119312510246050/,,2
Exxon Mobil,XOM,2010Q3,2010-09-30,분기말 총자본(자기자본),150600000000,USD,공시,https://www.sec.gov/Archives/edgar/data/34088/000119312510246050/,,2
Exxon Mobil,XOM,2010Q3,2010-09-30,분기말 지배지분 자본,145031000000,USD,공시,https://www.sec.gov/Archives/edgar/data/34088/000119312510246050/,,2
Exxon Mobil,XOM,2010Q3,2010-09-30,분기말 종가,61.79,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/XOM?interval=1d&events=splits (2010-09-30),,2
Exxon Mobil,XOM,2010Q3,2010-09-30,분기말 상장주식수,5042556546,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/34088/000119312510246050/,dei:EntityCommonStockSharesOutstanding 클래스 합,2
