기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Yum! Brands,YUM,2012Q1,2012-03-24,분기별 영업활동현금흐름,재작성 반영,484000000,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106112000013/,473000000,https://www.sec.gov/Archives/edgar/data/1041061/000104106113000020/,12
Yum! Brands,YUM,2012Q2,2012-06-16,분기별 영업활동현금흐름,재작성 반영,440000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1041061/000104106112000035/ ; https://www.sec.gov/Archives/edgar/data/1041061/000104106112000013/,451000000,https://www.sec.gov/Archives/edgar/data/1041061/000104106112000035/ ; https://www.sec.gov/Archives/edgar/data/1041061/000104106113000020/,12
Yum! Brands,YUM,2012Q4,2012-12-29,분기말 자산총계,재작성 반영,9011000000,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106113000007/,9013000000,https://www.sec.gov/Archives/edgar/data/1041061/000104106114000007/,12
Yum! Brands,YUM,2012Q4,2012-12-29,분기말 부채총계,재작성 반영,6699000000,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106113000007/,6701000000,https://www.sec.gov/Archives/edgar/data/1041061/000104106114000007/,12
Yum! Brands,YUM,2014Q4,2014-12-27,분기별 영업이익,재작성 반영,-43000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1041061/000104106115000007/ ; https://www.sec.gov/Archives/edgar/data/1041061/000104106114000031/,-83000000,https://www.sec.gov/Archives/edgar/data/1041061/000104106117000016/ ; https://www.sec.gov/Archives/edgar/data/1041061/000104106114000031/,12
Yum! Brands,YUM,2014Q4,2014-12-27,분기말 자산총계,재작성 반영,8345000000,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106115000007/,8334000000,https://www.sec.gov/Archives/edgar/data/1041061/000104106116000056/,12
Yum! Brands,YUM,2014Q4,2014-12-27,분기말 부채총계,재작성 반영,6732000000,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106115000007/,6721000000,https://www.sec.gov/Archives/edgar/data/1041061/000104106116000056/,12
Yum! Brands,YUM,2015Q4,2015-12-26,분기별 영업이익,재작성 반영,441000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1041061/000104106116000056/ ; https://www.sec.gov/Archives/edgar/data/1041061/000104106115000033/,-78000000,https://www.sec.gov/Archives/edgar/data/1041061/000104106117000016/ ; https://www.sec.gov/Archives/edgar/data/1041061/000104106115000033/,12
Yum! Brands,YUM,2015Q4,2015-12-26,분기말 자산총계,재작성 반영,8075000000,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106116000056/,8061000000,https://www.sec.gov/Archives/edgar/data/1041061/000104106117000016/,12
Yum! Brands,YUM,2015Q4,2015-12-26,분기말 부채총계,재작성 반영,7100000000,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106116000056/,7086000000,https://www.sec.gov/Archives/edgar/data/1041061/000104106117000016/,12
Yum! Brands,YUM,2016Q4,2016-12-31,분기말 자산총계,재작성 반영,5478000000,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106117000016/,5453000000,https://www.sec.gov/Archives/edgar/data/1041061/000104106118000013/,12
Yum! Brands,YUM,2016Q4,2016-12-31,분기말 부채총계,재작성 반영,11134000000,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106117000016/,11068000000,https://www.sec.gov/Archives/edgar/data/1041061/000104106118000013/,12
Yum! Brands,YUM,2016Q4,2016-12-31,분기말 총자본(자기자본),재작성 반영,-5656000000,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106117000016/,-5615000000,https://www.sec.gov/Archives/edgar/data/1041061/000104106118000013/,12
Yum! Brands,YUM,2016Q4,2016-12-31,분기말 지배지분 자본,재작성 반영,-5656000000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1041061/000104106117000016/,-5615000000,https://www.sec.gov/Archives/edgar/data/1041061/000104106118000013/,12
