기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Yum! Brands,YUM,2010Q1,2010-03-20,분기별 매출액,2345000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106110000023/,,12
Yum! Brands,YUM,2010Q1,2010-03-20,분기별 영업이익,364000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106110000023/,,12
Yum! Brands,YUM,2010Q1,2010-03-20,분기별 당기순이익(지배),241000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106110000023/,,12
Yum! Brands,YUM,2010Q1,2010-03-20,분기별 영업활동현금흐름,392000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106110000023/,,12
Yum! Brands,YUM,2010Q1,2010-03-20,분기말 자산총계,7141000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106110000023/,,12
Yum! Brands,YUM,2010Q1,2010-03-20,분기말 부채총계,6024000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106110000023/,,12
Yum! Brands,YUM,2010Q1,2010-03-20,분기말 총자본(자기자본),1117000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106110000023/,,12
Yum! Brands,YUM,2010Q1,2010-03-20,분기말 지배지분 자본,1043000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106110000023/,,12
Yum! Brands,YUM,2010Q1,2010-03-19,분기말 종가,37.94,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/YUM?interval=1d&events=splits (2010-03-19),분할조정 종가 27.2753 × 이후 분할계수 1.391,12
Yum! Brands,YUM,2010Q1,2010-04-15,분기말 상장주식수,467439483,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1041061/000104106110000023/,dei:EntityCommonStockSharesOutstanding 클래스 합,12
Yum! Brands,YUM,2010Q1,2010-03-19,분기말 시가총액,17734653985,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/YUM?interval=1d&events=splits (2010-03-19) ; https://www.sec.gov/Archives/edgar/data/1041061/000104106110000023/,종가 37.94 × 주식수 467439483,12
Yum! Brands,YUM,2010Q2,2010-06-12,분기별 매출액,2574000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106110000035/,,12
Yum! Brands,YUM,2010Q2,2010-06-12,분기별 영업이익,421000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106110000035/,,12
Yum! Brands,YUM,2010Q2,2010-06-12,분기별 당기순이익(지배),286000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106110000035/,,12
Yum! Brands,YUM,2010Q2,2010-06-12,분기별 영업활동현금흐름,441000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1041061/000104106110000035/ ; https://www.sec.gov/Archives/edgar/data/1041061/000104106110000023/,누적 833000000 − 직전누적 392000000 (시작 2009-12-27),12
Yum! Brands,YUM,2010Q2,2010-06-12,분기말 자산총계,7145000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106110000035/,,12
Yum! Brands,YUM,2010Q2,2010-06-12,분기말 부채총계,5919000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106110000035/,,12
Yum! Brands,YUM,2010Q2,2010-06-12,분기말 총자본(자기자본),1226000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106110000035/,,12
Yum! Brands,YUM,2010Q2,2010-06-12,분기말 지배지분 자본,1149000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106110000035/,,12
Yum! Brands,YUM,2010Q2,2010-06-11,분기말 종가,42.0,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/YUM?interval=1d&events=splits (2010-06-11),분할조정 종가 30.1941 × 이후 분할계수 1.391,12
Yum! Brands,YUM,2010Q2,2010-07-12,분기말 상장주식수,467001090,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1041061/000104106110000035/,dei:EntityCommonStockSharesOutstanding 클래스 합,12
Yum! Brands,YUM,2010Q2,2010-06-11,분기말 시가총액,19614045780,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/YUM?interval=1d&events=splits (2010-06-11) ; https://www.sec.gov/Archives/edgar/data/1041061/000104106110000035/,종가 42.0 × 주식수 467001090,12
Yum! Brands,YUM,2010Q3,2010-09-04,분기별 매출액,2862000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106110000047/,,12
Yum! Brands,YUM,2010Q3,2010-09-04,분기별 영업이익,544000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106110000047/,,12
Yum! Brands,YUM,2010Q3,2010-09-04,분기별 당기순이익(지배),357000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106110000047/,,12
Yum! Brands,YUM,2010Q3,2010-09-04,분기별 영업활동현금흐름,664000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1041061/000104106110000047/ ; https://www.sec.gov/Archives/edgar/data/1041061/000104106110000035/,누적 1497000000 − 직전누적 833000000 (시작 2009-12-27),12
Yum! Brands,YUM,2010Q3,2010-09-04,분기말 자산총계,8088000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106110000047/,,12
Yum! Brands,YUM,2010Q3,2010-09-04,분기말 부채총계,6445000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106110000047/,,12
Yum! Brands,YUM,2010Q3,2010-09-04,분기말 총자본(자기자본),1643000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106110000047/,,12
Yum! Brands,YUM,2010Q3,2010-09-04,분기말 지배지분 자본,1556000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106110000047/,,12
Yum! Brands,YUM,2010Q3,2010-09-03,분기말 종가,44.35,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/YUM?interval=1d&events=splits (2010-09-03),분할조정 종가 31.8835 × 이후 분할계수 1.391,12
Yum! Brands,YUM,2010Q3,2010-10-04,분기말 상장주식수,468583606,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1041061/000104106110000047/,dei:EntityCommonStockSharesOutstanding 클래스 합,12
Yum! Brands,YUM,2010Q3,2010-09-03,분기말 시가총액,20781682926,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/YUM?interval=1d&events=splits (2010-09-03) ; https://www.sec.gov/Archives/edgar/data/1041061/000104106110000047/,종가 44.35 × 주식수 468583606,12
Yum! Brands,YUM,2010Q4,2010-12-25,분기별 매출액,3562000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1041061/000104106111000009/ ; https://www.sec.gov/Archives/edgar/data/1041061/000104106110000047/,연간 11343000000 − 9개월누적 7781000000 (Revenues),12
Yum! Brands,YUM,2010Q4,2010-12-25,분기별 영업이익,440000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1041061/000104106111000009/ ; https://www.sec.gov/Archives/edgar/data/1041061/000104106110000047/,연간 1769000000 − 9개월누적 1329000000 (OperatingIncomeLoss),12
Yum! Brands,YUM,2010Q4,2010-12-25,분기별 당기순이익(지배),274000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1041061/000104106111000009/ ; https://www.sec.gov/Archives/edgar/data/1041061/000104106110000047/,연간 1158000000 − 9개월누적 884000000 (NetIncomeLoss),12
Yum! Brands,YUM,2010Q4,2010-12-25,분기별 영업활동현금흐름,471000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1041061/000104106111000009/ ; https://www.sec.gov/Archives/edgar/data/1041061/000104106110000047/,누적 1968000000 − 직전누적 1497000000 (시작 2009-12-27),12
Yum! Brands,YUM,2010Q4,2010-12-25,분기말 자산총계,8316000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106111000009/,,12
Yum! Brands,YUM,2010Q4,2010-12-25,분기말 부채총계,6647000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106111000009/,,12
Yum! Brands,YUM,2010Q4,2010-12-25,분기말 총자본(자기자본),1669000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106111000009/,,12
Yum! Brands,YUM,2010Q4,2010-12-25,분기말 지배지분 자본,1576000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106111000009/,,12
Yum! Brands,YUM,2010Q4,2010-12-23,분기말 종가,49.66,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/YUM?interval=1d&events=splits (2010-12-23),분할조정 종가 35.7009 × 이후 분할계수 1.391,12
Yum! Brands,YUM,2010Q4,2011-02-09,분기말 상장주식수,467446794,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1041061/000104106111000009/,dei:EntityCommonStockSharesOutstanding 클래스 합,12
Yum! Brands,YUM,2010Q4,2010-12-23,분기말 시가총액,23213407790,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/YUM?interval=1d&events=splits (2010-12-23) ; https://www.sec.gov/Archives/edgar/data/1041061/000104106111000009/,종가 49.66 × 주식수 467446794,12
Yum! Brands,YUM,2011Q1,2011-03-19,분기별 매출액,2425000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106111000017/,,12
Yum! Brands,YUM,2011Q1,2011-03-19,분기별 영업이익,401000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106111000017/,,12
Yum! Brands,YUM,2011Q1,2011-03-19,분기별 당기순이익(지배),264000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1041061/000104106111000017/,,12
