기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Zimmer Biomet,ZBH,2012Q4,2012-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),9012400000,공시,https://www.sec.gov/Archives/edgar/data/1136869/000119312513079914/,,https://www.sec.gov/Archives/edgar/data/1136869/000119312513079914/,21
Zimmer Biomet,ZBH,2012Q4,2012-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),3146100000,공시,https://www.sec.gov/Archives/edgar/data/1136869/000119312513079914/,,https://www.sec.gov/Archives/edgar/data/1136869/000119312513079914/,21
Zimmer Biomet,ZBH,2012Q4,2012-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),5866300000,공시,https://www.sec.gov/Archives/edgar/data/1136869/000119312513079914/,,https://www.sec.gov/Archives/edgar/data/1136869/000119312513079914/,21
Zimmer Biomet,ZBH,2012Q4,2012-12-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),5860900000,공시,https://www.sec.gov/Archives/edgar/data/1136869/000119312513079914/,,https://www.sec.gov/Archives/edgar/data/1136869/000119312513079914/,21
Zimmer Biomet,ZBH,2013Q4,2013-12-31,분기별 영업이익,재작성 반영,315300000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1136869/000119312514076641/ ; https://www.sec.gov/Archives/edgar/data/1136869/000119312513437324/,348300000,https://www.sec.gov/Archives/edgar/data/1136869/000119312516485039/ ; https://www.sec.gov/Archives/edgar/data/1136869/000119312513437324/,21
Zimmer Biomet,ZBH,2013Q4,2013-12-31,분기별 당기순이익(지배),재작성 반영,235900000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1136869/000119312514076641/ ; https://www.sec.gov/Archives/edgar/data/1136869/000119312513437324/,255300000,https://www.sec.gov/Archives/edgar/data/1136869/000119312516485039/ ; https://www.sec.gov/Archives/edgar/data/1136869/000119312513437324/,21
Zimmer Biomet,ZBH,2013Q4,2013-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),9580600000,공시,https://www.sec.gov/Archives/edgar/data/1136869/000119312514076641/,,https://www.sec.gov/Archives/edgar/data/1136869/000119312514076641/,21
Zimmer Biomet,ZBH,2013Q4,2013-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),3280500000,공시,https://www.sec.gov/Archives/edgar/data/1136869/000119312514076641/,,https://www.sec.gov/Archives/edgar/data/1136869/000119312514076641/,21
Zimmer Biomet,ZBH,2013Q4,2013-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),6300100000,공시,https://www.sec.gov/Archives/edgar/data/1136869/000119312514076641/,,https://www.sec.gov/Archives/edgar/data/1136869/000119312514076641/,21
Zimmer Biomet,ZBH,2013Q4,2013-12-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),6297300000,공시,https://www.sec.gov/Archives/edgar/data/1136869/000119312514076641/,,https://www.sec.gov/Archives/edgar/data/1136869/000119312514076641/,21
Zimmer Biomet,ZBH,2014Q1,2014-03-31,분기별 영업이익,재작성 반영,298400000,공시,https://www.sec.gov/Archives/edgar/data/1136869/000119312514184471/,300100000,https://www.sec.gov/Archives/edgar/data/1136869/000119312515177116/,21
Zimmer Biomet,ZBH,2014Q2,2014-06-30,분기별 영업이익,재작성 반영,259300000,공시,https://www.sec.gov/Archives/edgar/data/1136869/000119312514300684/,260900000,https://www.sec.gov/Archives/edgar/data/1136869/000119312515285070/,21
Zimmer Biomet,ZBH,2014Q2,2014-06-30,분기별 당기순이익(지배),재작성 반영,176500000,공시,https://www.sec.gov/Archives/edgar/data/1136869/000119312514300684/,172400000,https://www.sec.gov/Archives/edgar/data/1136869/000119312516485039/,21
Zimmer Biomet,ZBH,2014Q3,2014-09-30,분기별 영업이익,재작성 반영,251200000,공시,https://www.sec.gov/Archives/edgar/data/1136869/000119312514397767/,255200000,https://www.sec.gov/Archives/edgar/data/1136869/000119312515372121/,21
Zimmer Biomet,ZBH,2014Q3,2014-09-30,분기별 당기순이익(지배),재작성 반영,165500000,공시,https://www.sec.gov/Archives/edgar/data/1136869/000119312514397767/,173100000,https://www.sec.gov/Archives/edgar/data/1136869/000119312516485039/,21
Zimmer Biomet,ZBH,2014Q4,2014-12-31,분기별 영업이익,재작성 반영,225800000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1136869/000119312515058361/ ; https://www.sec.gov/Archives/edgar/data/1136869/000119312514397767/,226300000,https://www.sec.gov/Archives/edgar/data/1136869/000119312517065632/ ; https://www.sec.gov/Archives/edgar/data/1136869/000119312515372121/,21
Zimmer Biomet,ZBH,2014Q4,2014-12-31,분기별 당기순이익(지배),재작성 반영,156600000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1136869/000119312515058361/ ; https://www.sec.gov/Archives/edgar/data/1136869/000119312514397767/,153800000,https://www.sec.gov/Archives/edgar/data/1136869/000119312517065632/ ; https://www.sec.gov/Archives/edgar/data/1136869/000119312515372121/,21
Zimmer Biomet,ZBH,2014Q4,2014-12-31,분기별 영업활동현금흐름,재작성 반영,354200000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1136869/000119312515058361/ ; https://www.sec.gov/Archives/edgar/data/1136869/000119312514397767/,361900000,https://www.sec.gov/Archives/edgar/data/1136869/000119312517065632/ ; https://www.sec.gov/Archives/edgar/data/1136869/000119312514397767/,21
Zimmer Biomet,ZBH,2014Q4,2014-12-31,분기말 자산총계,재작성 반영,9634700000,공시,https://www.sec.gov/Archives/edgar/data/1136869/000119312515058361/,9658000000,https://www.sec.gov/Archives/edgar/data/1136869/000119312516485039/,21
Zimmer Biomet,ZBH,2014Q4,2014-12-31,분기말 부채총계,재작성 반영,3112100000,공시,https://www.sec.gov/Archives/edgar/data/1136869/000119312515058361/,3106300000,https://www.sec.gov/Archives/edgar/data/1136869/000119312516485039/,21
Zimmer Biomet,ZBH,2014Q4,2014-12-31,분기말 총자본(자기자본),재작성 반영,6522600000,공시,https://www.sec.gov/Archives/edgar/data/1136869/000119312515058361/,6551700000,https://www.sec.gov/Archives/edgar/data/1136869/000156459018003549/,21
Zimmer Biomet,ZBH,2014Q4,2014-12-31,분기말 지배지분 자본,재작성 반영,6520800000,공시,https://www.sec.gov/Archives/edgar/data/1136869/000119312515058361/,6549900000,https://www.sec.gov/Archives/edgar/data/1136869/000119312516485039/,21
Zimmer Biomet,ZBH,2015Q1,2015-03-31,분기별 영업이익,재작성 반영,274900000,공시,https://www.sec.gov/Archives/edgar/data/1136869/000119312515177116/,269900000,https://www.sec.gov/Archives/edgar/data/1136869/000119312516585477/,21
Zimmer Biomet,ZBH,2015Q1,2015-03-31,분기별 당기순이익(지배),재작성 반영,177100000,공시,https://www.sec.gov/Archives/edgar/data/1136869/000119312515177116/,171400000,https://www.sec.gov/Archives/edgar/data/1136869/000119312517065632/,21
Zimmer Biomet,ZBH,2015Q1,2015-03-31,분기말 자산총계,재작성 반영,17190100000,공시,https://www.sec.gov/Archives/edgar/data/1136869/000119312515177116/,17209200000,https://www.sec.gov/Archives/edgar/data/1136869/000119312515372121/,21
Zimmer Biomet,ZBH,2015Q1,2015-03-31,분기말 부채총계,재작성 반영,10607100000,공시,https://www.sec.gov/Archives/edgar/data/1136869/000119312515177116/,10600100000,https://www.sec.gov/Archives/edgar/data/1136869/000119312515372121/,21
Zimmer Biomet,ZBH,2015Q1,2015-03-31,분기말 총자본(자기자본),재작성 반영,6583000000,공시,https://www.sec.gov/Archives/edgar/data/1136869/000119312515177116/,6609100000,https://www.sec.gov/Archives/edgar/data/1136869/000119312515372121/,21
Zimmer Biomet,ZBH,2015Q1,2015-03-31,분기말 지배지분 자본,재작성 반영,6581000000,공시,https://www.sec.gov/Archives/edgar/data/1136869/000119312515177116/,6607100000,https://www.sec.gov/Archives/edgar/data/1136869/000119312515372121/,21
