기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Zebra Technologies,ZBRA,2010Q2,2010-07-03,분기별 매출액,재분류(미반영),235735000,공시,https://www.sec.gov/Archives/edgar/data/877212/000119312510191096/,218558000,https://www.sec.gov/Archives/edgar/data/877212/000119312512075320/,23
Zebra Technologies,ZBRA,2010Q2,2010-07-03,분기별 영업이익,재분류(미반영),32841000,공시,https://www.sec.gov/Archives/edgar/data/877212/000119312510191096/,31913000,https://www.sec.gov/Archives/edgar/data/877212/000119312512075320/,23
Zebra Technologies,ZBRA,2010Q3,2010-10-02,분기별 매출액,재분류(미반영),246507000,공시,https://www.sec.gov/Archives/edgar/data/877212/000119312510249606/,229807000,https://www.sec.gov/Archives/edgar/data/877212/000119312512075320/,23
Zebra Technologies,ZBRA,2010Q3,2010-10-02,분기별 영업이익,재분류(미반영),38857000,공시,https://www.sec.gov/Archives/edgar/data/877212/000119312510249606/,40331000,https://www.sec.gov/Archives/edgar/data/877212/000119312512075320/,23
Zebra Technologies,ZBRA,2010Q4,2010-12-31,분기별 매출액,재분류(미반영),248175000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/877212/000119312511045274/ ; https://www.sec.gov/Archives/edgar/data/877212/000119312510249606/,234019000,https://www.sec.gov/Archives/edgar/data/877212/000119312513069145/ ; https://www.sec.gov/Archives/edgar/data/877212/000119312511301638/,23
Zebra Technologies,ZBRA,2010Q4,2010-12-31,분기별 영업이익,재분류(미반영),40434000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/877212/000119312511045274/ ; https://www.sec.gov/Archives/edgar/data/877212/000119312510249606/,43030000,https://www.sec.gov/Archives/edgar/data/877212/000119312513069145/ ; https://www.sec.gov/Archives/edgar/data/877212/000119312511301638/,23
Zebra Technologies,ZBRA,2010Q4,2010-12-31,분기별 영업활동현금흐름,재분류(미반영),38721000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/877212/000119312511045274/ ; https://www.sec.gov/Archives/edgar/data/877212/000119312510249606/,40099000,https://www.sec.gov/Archives/edgar/data/877212/000119312513069145/ ; https://www.sec.gov/Archives/edgar/data/877212/000119312510249606/,23
Zebra Technologies,ZBRA,2011Q4,2011-12-31,분기별 영업활동현금흐름,재분류(미반영),44898000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/877212/000119312512075320/ ; https://www.sec.gov/Archives/edgar/data/877212/000119312511301638/,43585000,https://www.sec.gov/Archives/edgar/data/877212/000119312514060748/ ; https://www.sec.gov/Archives/edgar/data/877212/000119312511301638/,23
Zebra Technologies,ZBRA,2013Q1,2013-03-30,분기별 영업이익,재작성 반영,28176000,공시,https://www.sec.gov/Archives/edgar/data/877212/000119312513195324/,28175000,https://www.sec.gov/Archives/edgar/data/877212/000119312514184500/,23
Zebra Technologies,ZBRA,2014Q4,2014-12-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),5568851000,공시,https://www.sec.gov/Archives/edgar/data/877212/000119312515095560/,,https://www.sec.gov/Archives/edgar/data/877212/000119312515095560/,23
Zebra Technologies,ZBRA,2014Q4,2014-12-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),4528943000,공시,https://www.sec.gov/Archives/edgar/data/877212/000119312515095560/,,https://www.sec.gov/Archives/edgar/data/877212/000119312515095560/,23
Zebra Technologies,ZBRA,2014Q4,2014-12-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),1039908000,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/877212/000119312515095560/,,https://www.sec.gov/Archives/edgar/data/877212/000119312515095560/,23
Zebra Technologies,ZBRA,2016Q2,2016-07-02,분기별 영업활동현금흐름,재작성 반영,26000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/877212/000087721216000025/ ; https://www.sec.gov/Archives/edgar/data/877212/000087721216000024/,28000000,https://www.sec.gov/Archives/edgar/data/877212/000087721217000026/ ; https://www.sec.gov/Archives/edgar/data/877212/000087721216000024/,23
Zebra Technologies,ZBRA,2016Q3,2016-10-01,분기별 영업활동현금흐름,재작성 반영,123000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/877212/000087721216000027/ ; https://www.sec.gov/Archives/edgar/data/877212/000087721216000025/,128000000,https://www.sec.gov/Archives/edgar/data/877212/000087721217000036/ ; https://www.sec.gov/Archives/edgar/data/877212/000087721217000026/,23
Zebra Technologies,ZBRA,2016Q4,2016-12-31,분기별 영업활동현금흐름,재작성 반영,127000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/877212/000087721217000009/ ; https://www.sec.gov/Archives/edgar/data/877212/000087721216000027/,120000000,https://www.sec.gov/Archives/edgar/data/877212/000087721217000009/ ; https://www.sec.gov/Archives/edgar/data/877212/000087721217000036/,23
