기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산
Hasbro,HAS,2010Q1,2010-03-28,분기별 매출액,672371000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/46080/000119312512072846/,SalesRevenueNet ; 그 분기 보고서에 연결 총계가 없어 2012-02-22 제출본의 비교기간에서 읽었다
Hasbro,HAS,2010Q1,2010-03-28,분기별 영업이익,69327000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/46080/000004608011000045/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-05-04 제출본의 비교기간에서 읽었다
Hasbro,HAS,2010Q1,2010-03-28,분기별 당기순이익(지배),58943000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/46080/000004608011000045/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-05-04 제출본의 비교기간에서 읽었다
Hasbro,HAS,2010Q1,2010-03-28,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/46080/000004608010000052/,
Hasbro,HAS,2010Q1,2010-03-28,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/46080/000004608010000052/,
Hasbro,HAS,2010Q1,2010-03-28,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/46080/000004608010000052/,
Hasbro,HAS,2010Q1,2010-03-28,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/46080/000004608010000052/,
Hasbro,HAS,2010Q1,2010-03-28,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/46080/000004608010000052/,
Hasbro,HAS,2010Q1,2010-03-26,분기말 종가,38.41,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/HAS?interval=1d&events=splits (2010-03-26),
Hasbro,HAS,2010Q1,2010-03-28,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,
Hasbro,HAS,2010Q1,2010-03-28,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,
Hasbro,HAS,2010Q2,2010-06-27,분기별 매출액,737791000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/46080/000119312512072846/,SalesRevenueNet ; 그 분기 보고서에 연결 총계가 없어 2012-02-22 제출본의 비교기간에서 읽었다
Hasbro,HAS,2010Q2,2010-06-27,분기별 영업이익,79726000,USD,공시,https://www.sec.gov/Archives/edgar/data/46080/000004608010000093/,
Hasbro,HAS,2010Q2,2010-06-27,분기별 당기순이익(지배),43631000,USD,공시,https://www.sec.gov/Archives/edgar/data/46080/000004608010000093/,
Hasbro,HAS,2010Q2,2010-06-27,분기별 영업활동현금흐름,데이터 없음(직전 분기 누적 보고서 없음),USD,데이터 없음(직전 보고서 없음),https://www.sec.gov/Archives/edgar/data/46080/000004608010000093/,
Hasbro,HAS,2010Q2,2010-06-27,분기말 자산총계,3973676000,USD,공시,https://www.sec.gov/Archives/edgar/data/46080/000004608010000093/,
Hasbro,HAS,2010Q2,2010-06-27,분기말 부채총계,2384750000,USD,공시,https://www.sec.gov/Archives/edgar/data/46080/000004608010000093/,
Hasbro,HAS,2010Q2,2010-06-27,분기말 총자본(자기자본),1588926000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/46080/000004608010000093/,"StockholdersEquity, MinorityInterest 태그 없음"
Hasbro,HAS,2010Q2,2010-06-27,분기말 지배지분 자본,1588926000,USD,공시,https://www.sec.gov/Archives/edgar/data/46080/000004608010000093/,
Hasbro,HAS,2010Q2,2010-06-25,분기말 종가,43.0,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/HAS?interval=1d&events=splits (2010-06-25),
Hasbro,HAS,2010Q2,2010-07-20,분기말 상장주식수,139824768,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/46080/000004608010000093/,dei:EntityCommonStockSharesOutstanding 클래스 합
Hasbro,HAS,2010Q2,2010-06-25,분기말 시가총액,6012465024,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/HAS?interval=1d&events=splits (2010-06-25) ; https://www.sec.gov/Archives/edgar/data/46080/000004608010000093/,종가 43.0 × 주식수 139824768
Hasbro,HAS,2010Q3,2010-09-26,분기별 매출액,1313302000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/46080/000119312512072846/,SalesRevenueNet ; 그 분기 보고서에 연결 총계가 없어 2012-02-22 제출본의 비교기간에서 읽었다
Hasbro,HAS,2010Q3,2010-09-26,분기별 영업이익,237757000,USD,공시,https://www.sec.gov/Archives/edgar/data/46080/000004608010000121/,
Hasbro,HAS,2010Q3,2010-09-26,분기별 당기순이익(지배),155164000,USD,공시,https://www.sec.gov/Archives/edgar/data/46080/000004608010000121/,
Hasbro,HAS,2010Q3,2010-09-26,분기별 영업활동현금흐름,-167263000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/46080/000004608010000121/ ; https://www.sec.gov/Archives/edgar/data/46080/000004608010000093/,누적 5766000 − 직전누적 173029000 (시작 2009-12-28)
Hasbro,HAS,2010Q3,2010-09-26,분기말 자산총계,4215617000,USD,공시,https://www.sec.gov/Archives/edgar/data/46080/000004608010000121/,
Hasbro,HAS,2010Q3,2010-09-26,분기말 부채총계,2728306000,USD,공시,https://www.sec.gov/Archives/edgar/data/46080/000004608010000121/,
Hasbro,HAS,2010Q3,2010-09-26,분기말 총자본(자기자본),1487311000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/46080/000004608010000121/,"StockholdersEquity, MinorityInterest 태그 없음"
Hasbro,HAS,2010Q3,2010-09-26,분기말 지배지분 자본,1487311000,USD,공시,https://www.sec.gov/Archives/edgar/data/46080/000004608010000121/,
Hasbro,HAS,2010Q3,2010-09-24,분기말 종가,44.38,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/HAS?interval=1d&events=splits (2010-09-24),
Hasbro,HAS,2010Q3,2010-10-15,분기말 상장주식수,136195062,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/46080/000004608010000121/,dei:EntityCommonStockSharesOutstanding 클래스 합
Hasbro,HAS,2010Q3,2010-09-24,분기말 시가총액,6044336852,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/HAS?interval=1d&events=splits (2010-09-24) ; https://www.sec.gov/Archives/edgar/data/46080/000004608010000121/,종가 44.38 × 주식수 136195062
Hasbro,HAS,2010Q4,2010-12-26,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/46080/000095012311017113/,
Hasbro,HAS,2010Q4,2010-12-26,분기별 영업이익,201049000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/46080/000095012311017113/ ; https://www.sec.gov/Archives/edgar/data/46080/000004608010000121/,연간 587859000 − 9개월누적 386810000 (OperatingIncomeLoss)
Hasbro,HAS,2010Q4,2010-12-26,분기별 당기순이익(지배),140014000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/46080/000095012311017113/ ; https://www.sec.gov/Archives/edgar/data/46080/000004608010000121/,연간 397752000 − 9개월누적 257738000 (NetIncomeLoss)
Hasbro,HAS,2010Q4,2010-12-26,분기별 영업활동현금흐름,362215000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/46080/000095012311017113/ ; https://www.sec.gov/Archives/edgar/data/46080/000004608010000121/,누적 367981000 − 직전누적 5766000 (시작 2009-12-28)
Hasbro,HAS,2010Q4,2010-12-26,분기말 자산총계,4093226000,USD,공시,https://www.sec.gov/Archives/edgar/data/46080/000095012311017113/,
Hasbro,HAS,2010Q4,2010-12-26,분기말 부채총계,2477806000,USD,공시,https://www.sec.gov/Archives/edgar/data/46080/000095012311017113/,
Hasbro,HAS,2010Q4,2010-12-26,분기말 총자본(자기자본),1615420000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/46080/000095012311017113/,"StockholdersEquity, MinorityInterest 태그 없음"
Hasbro,HAS,2010Q4,2010-12-26,분기말 지배지분 자본,1615420000,USD,공시,https://www.sec.gov/Archives/edgar/data/46080/000095012311017113/,
Hasbro,HAS,2010Q4,2010-12-23,분기말 종가,48.52,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/HAS?interval=1d&events=splits (2010-12-23),
