기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처
Cintas,CTAS,2023Q2,2023-05-31,분기별 영업활동현금흐름,재작성 반영,553623000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/723254/000072325423000025/ ; https://www.sec.gov/Archives/edgar/data/723254/000072325423000008/,542037000,https://www.sec.gov/Archives/edgar/data/723254/000072325425000017/ ; https://www.sec.gov/Archives/edgar/data/723254/000072325423000008/
Cintas,CTAS,2024Q2,2024-05-31,분기별 영업활동현금흐름,재작성 반영,693040000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/723254/000072325424000036/ ; https://www.sec.gov/Archives/edgar/data/723254/000072325424000018/,681759000,https://www.sec.gov/Archives/edgar/data/723254/000072325426000028/ ; https://www.sec.gov/Archives/edgar/data/723254/000072325424000018/
Cintas,CTAS,2024Q3,2024-08-31,분기별 영업활동현금흐름,재작성 반영,466732000,공시,https://www.sec.gov/Archives/edgar/data/723254/000072325424000053/,460357000,https://www.sec.gov/Archives/edgar/data/723254/000072325425000033/
Cintas,CTAS,2024Q4,2024-11-30,분기별 영업활동현금흐름,재작성 반영,441404000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/723254/000072325425000003/ ; https://www.sec.gov/Archives/edgar/data/723254/000072325424000053/,444734000,https://www.sec.gov/Archives/edgar/data/723254/000072325426000002/ ; https://www.sec.gov/Archives/edgar/data/723254/000072325425000033/
Cintas,CTAS,2025Q1,2025-02-28,분기별 영업활동현금흐름,재작성 반영,622020000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/723254/000162828025016483/ ; https://www.sec.gov/Archives/edgar/data/723254/000072325425000003/,620496000,https://www.sec.gov/Archives/edgar/data/723254/000072325426000012/ ; https://www.sec.gov/Archives/edgar/data/723254/000072325426000002/
Cintas,CTAS,2025Q2,2025-05-31,분기별 영업활동현금흐름,재작성 반영,635749000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/723254/000072325425000017/ ; https://www.sec.gov/Archives/edgar/data/723254/000162828025016483/,640318000,https://www.sec.gov/Archives/edgar/data/723254/000072325425000017/ ; https://www.sec.gov/Archives/edgar/data/723254/000072325426000012/
Mondelez International,MDLZ,2019Q1,2019-03-31,분기별 당기순이익(지배),재분류(미반영),914000000,공시,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000010/,967000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398221000004/
Mondelez International,MDLZ,2019Q1,2019-03-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),64162000000,공시,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000010/,,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000010/
Mondelez International,MDLZ,2019Q1,2019-03-31,분기말 부채총계,재작성 검증 실패(원 공시 유지),38253000000,공시,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000010/,,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000010/
Mondelez International,MDLZ,2019Q1,2019-03-31,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),25909000000,공시,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000010/,,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000010/
Mondelez International,MDLZ,2019Q1,2019-03-31,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),25828000000,공시,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000010/,,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000010/
Mondelez International,MDLZ,2019Q2,2019-06-30,분기별 당기순이익(지배),재분류(미반영),807000000,공시,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000014/,803000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398221000004/
Mondelez International,MDLZ,2019Q2,2019-06-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),63573000000,공시,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000014/,,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000014/
Mondelez International,MDLZ,2019Q2,2019-06-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),37399000000,공시,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000014/,,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000014/
Mondelez International,MDLZ,2019Q2,2019-06-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),26174000000,공시,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000014/,,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000014/
Mondelez International,MDLZ,2019Q2,2019-06-30,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),26093000000,공시,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000014/,,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000014/
Mondelez International,MDLZ,2019Q3,2019-09-30,분기별 당기순이익(지배),재분류(미반영),1423000000,공시,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000017/,1426000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398221000004/
Mondelez International,MDLZ,2019Q3,2019-09-30,분기말 자산총계,재작성 검증 실패(원 공시 유지),63895000000,공시,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000017/,,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000017/
Mondelez International,MDLZ,2019Q3,2019-09-30,분기말 부채총계,재작성 검증 실패(원 공시 유지),37021000000,공시,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000017/,,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000017/
Mondelez International,MDLZ,2019Q3,2019-09-30,분기말 총자본(자기자본),재작성 검증 실패(원 공시 유지),26874000000,공시,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000017/,,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000017/
Mondelez International,MDLZ,2019Q3,2019-09-30,분기말 지배지분 자본,재작성 검증 실패(원 공시 유지),26806000000,공시,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000017/,,https://www.sec.gov/Archives/edgar/data/1103982/000110398219000017/
Mondelez International,MDLZ,2019Q4,2019-12-31,분기별 당기순이익(지배),재분류(미반영),726000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1103982/000110398220000003/ ; https://www.sec.gov/Archives/edgar/data/1103982/000110398219000017/,733000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398222000003/ ; https://www.sec.gov/Archives/edgar/data/1103982/000110398220000014/
Mondelez International,MDLZ,2019Q4,2019-12-31,분기말 자산총계,재작성 반영,64549000000,공시,https://www.sec.gov/Archives/edgar/data/1103982/000110398220000003/,64515000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398222000003/
Mondelez International,MDLZ,2019Q4,2019-12-31,분기말 총자본(자기자본),재작성 반영,27351000000,공시,https://www.sec.gov/Archives/edgar/data/1103982/000110398220000003/,27317000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398223000006/
Mondelez International,MDLZ,2019Q4,2019-12-31,분기말 지배지분 자본,재작성 반영,27275000000,공시,https://www.sec.gov/Archives/edgar/data/1103982/000110398220000003/,27241000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398221000004/
Mondelez International,MDLZ,2020Q1,2020-03-31,분기별 당기순이익(지배),재분류(미반영),753000000,공시,https://www.sec.gov/Archives/edgar/data/1103982/000110398220000006/,736000000,https://www.sec.gov/Archives/edgar/data/1103982/000110398221000008/
Mondelez International,MDLZ,2020Q1,2020-03-31,분기말 자산총계,재작성 검증 실패(원 공시 유지),63598000000,공시,https://www.sec.gov/Archives/edgar/data/1103982/000110398220000006/,,https://www.sec.gov/Archives/edgar/data/1103982/000110398220000006/
